Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
1,Muserskiy,RUS,94,87,7,0
2,Sánchez B.,CUB,67,62,4,1
3,De Armas,CUB,61,48,5,8
4,Ngapeth,FRA,50,43,5,2
5,Paulo,BRA,49,39,3,7
6,Nimir,NED,45,40,2,3
7,Perrin,CAN,44,39,3,2
8,Lopez,CUB,43,39,2,2
8,Semeniuk,POL,43,36,3,4
9,Plotnytskyi,UKR,39,30,2,7
10,Marcus,BRA,38,33,3,2
11,Herrera,CUB,37,32,2,3
12,K・Fujinaka,JPN,35,29,5,1
13,Renan,BRA,33,27,4,2
14,Matić,TUR,32,26,6,0
15,Onodera,JPN,30,23,5,2
15,Wallace,BRA,30,27,3,0
16,Flavio,BRA,28,17,10,1
17,Sole,ITA,27,14,12,1
18,Sato,JPN,22,16,5,1
19,Doğukan U.,TUR,20,16,4,0
20,Amit,IND,19,18,0,1
21,C. Souza,BRA,15,12,3,0
22,Manoj,IND,14,8,6,0
22,Isac,BRA,14,9,3,2
22,Lucas,BRA,14,9,4,1
23,Angamuthu,IND,13,12,1,0
24,Ma'a,USA,12,6,6,0
24,Rodriguinho,BRA,12,12,0,0
25,Giannelli,ITA,10,4,6,0
26,Held,ITA,8,6,0,2
27,Gustavo,BRA,7,4,2,1
28,Ashwal,IND,6,5,1,0
28,Senica,AUS,6,6,0,0
28,Kelvi,BRA,6,5,1,0
29,Oya,JPN,5,2,3,0
30,M. Lagumdzija,TUR,4,2,2,0
30,Yu Y.T.,CHN,4,2,1,1
30,Ben Tara W,TUN,4,3,1,0
31,Lucas Loh,BRA,3,3,0,0
31,Uriarte,ARG,3,1,2,0
32,Muthusamy,IND,2,1,0,1
32,Bryan,BRA,2,2,0,0
32,Oppenkoski,BRA,2,2,0,0
32,Candellaro,ITA,2,1,1,0
33,Tayaz,TUR,1,1,0,0
33,Oniki,JPN,1,0,1,0
33,Azmath,IND,1,1,0,0
33,Otávio,BRA,1,1,0,0
33,Rodrigo,BRA,1,0,1,0
34,Aslan,TUR,0,0,0,0
34,Ivgen,TUR,0,0,0,0
34,Döne,TUR,0,0,0,0
34,Tuna,TUR,0,0,0,0
34,Ünver,TUR,0,0,0,0
34,Coşkun,TUR,0,0,0,0
34,Atomu,JPN,0,0,0,0
34,Soshi,JPN,0,0,0,0
34,Kiire,JPN,0,0,0,0
34,Nishida,JPN,0,0,0,0
34,Rui,JPN,0,0,0,0
34,Kuwada,JPN,0,0,0,0
34,Srikanth,IND,0,0,0,0
34,Santosh,IND,0,0,0,0
34,Nandagopal,IND,0,0,0,0
34,Ramanathan,IND,0,0,0,0
34,Patel,IND,0,0,0,0
34,Ukkra Pandian,IND,0,0,0,0
34,Shetty,IND,0,0,0,0
34,Wilmot,USA,0,0,0,0
34,M. Radke,BRA,0,0,0,0
34,Samuel,BRA,0,0,0,0
34,Maique,BRA,0,0,0,0
34,Filipe,BRA,0,0,0,0
34,Rech,BRA,0,0,0,0
34,Lukinhas,BRA,0,0,0,0
34,Vaccari,BRA,0,0,0,0
34,Alexandre,BRA,0,0,0,0
34,Carlos,BRA,0,0,0,0
34,Yuito,JPN,0,0,0,0
34,Toscani,ITA,0,0,0,0
34,Leon,POL,0,0,0,0
34,Colaci,ITA,0,0,0,0
34,Russo,ITA,0,0,0,0
34,Ropret,SLO,0,0,0,0
