Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
1,Oya,JPN,88,3,261,22.0,25.0,352
2,Ma'a,USA,60,7,208,15.0,21.82,275
3,Giannelli,ITA,59,1,109,14.75,34.91,169
4,Gustavo,BRA,57,3,167,14.25,25.11,227
5,Uriarte,ARG,31,2,115,15.5,20.95,148
6,Muthusamy,IND,20,2,60,10.0,24.39,82
7,M. Radke,BRA,13,1,43,3.25,22.81,57
7,Ropret,SLO,13,0,25,3.25,34.21,38
8,Aslan,TUR,8,1,25,2.0,23.53,34
8,Rodrigo,BRA,8,1,19,4.0,28.57,28
9,Ukkra Pandian,IND,7,0,9,3.5,43.75,16
10,Nishida,JPN,4,0,3,1.0,57.14,7
11,Ngapeth,FRA,1,1,19,0.25,4.76,21
11,Sánchez B.,CUB,1,1,5,0.25,14.29,7
11,Semeniuk,POL,1,0,9,0.25,10.0,10
12,Perrin,CAN,0,0,12,0.0,0.0,12
12,Ivgen,TUR,0,0,0,,,0
12,Matić,TUR,0,0,2,0.0,0.0,2
12,M. Lagumdzija,TUR,0,0,0,,,0
12,Döne,TUR,0,0,10,0.0,0.0,10
12,Tuna,TUR,0,0,0,,,0
12,Ünver,TUR,0,0,0,,,0
12,Nimir,NED,0,0,3,0.0,0.0,3
12,Doğukan U.,TUR,0,0,1,0.0,0.0,1
12,Coşkun,TUR,0,0,0,,,0
12,Tayaz,TUR,0,0,0,,,0
12,Onodera,JPN,0,0,2,0.0,0.0,2
12,Atomu,JPN,0,0,0,,,0
12,Yu Y.T.,CHN,0,0,1,0.0,0.0,1
12,De Armas,CUB,0,1,9,0.0,0.0,10
12,Soshi,JPN,0,0,25,0.0,0.0,25
12,K・Fujinaka,JPN,0,0,14,0.0,0.0,14
12,Sato,JPN,0,0,2,0.0,0.0,2
12,Muserskiy,RUS,0,0,7,0.0,0.0,7
12,Oniki,JPN,0,0,1,0.0,0.0,1
12,Kiire,JPN,0,0,0,,,0
12,Rui,JPN,0,0,0,,,0
12,Kuwada,JPN,0,0,0,,,0
12,Angamuthu,IND,0,0,1,0.0,0.0,1
12,Amit,IND,0,0,2,0.0,0.0,2
12,Srikanth,IND,0,0,3,0.0,0.0,3
12,Azmath,IND,0,0,0,,,0
12,Santosh,IND,0,0,0,,,0
12,Nandagopal,IND,0,0,0,,,0
12,Ashwal,IND,0,0,1,0.0,0.0,1
12,Ramanathan,IND,0,0,5,0.0,0.0,5
12,Patel,IND,0,0,0,,,0
12,Manoj,IND,0,0,1,0.0,0.0,1
12,Shetty,IND,0,0,0,,,0
12,Senica,AUS,0,0,1,0.0,0.0,1
12,Wilmot,USA,0,0,0,,,0
12,Lucas Loh,BRA,0,0,2,0.0,0.0,2
12,Paulo,BRA,0,0,3,0.0,0.0,3
12,Samuel,BRA,0,0,0,,,0
12,Marcus,BRA,0,0,7,0.0,0.0,7
12,Isac,BRA,0,0,1,0.0,0.0,1
12,Renan,BRA,0,0,0,,,0
12,Maique,BRA,0,0,13,0.0,0.0,13
12,Kelvi,BRA,0,0,0,,,0
12,Bryan,BRA,0,0,2,0.0,0.0,2
12,Filipe,BRA,0,0,0,,,0
12,Oppenkoski,BRA,0,0,0,,,0
12,Otávio,BRA,0,0,1,0.0,0.0,1
12,Rech,BRA,0,0,0,,,0
12,Lukinhas,BRA,0,0,1,0.0,0.0,1
12,Wallace,BRA,0,0,2,0.0,0.0,2
12,C. Souza,BRA,0,0,2,0.0,0.0,2
12,Rodriguinho,BRA,0,0,5,0.0,0.0,5
12,Vaccari,BRA,0,0,0,,,0
12,Lucas,BRA,0,0,1,0.0,0.0,1
12,Alexandre,BRA,0,0,7,0.0,0.0,7
12,Carlos,BRA,0,0,0,,,0
12,Lopez,CUB,0,1,6,0.0,0.0,7
12,Yuito,JPN,0,0,0,,,0
12,Candellaro,ITA,0,0,1,0.0,0.0,1
12,Held,ITA,0,0,0,,,0
12,Herrera,CUB,0,0,2,0.0,0.0,2
12,Toscani,ITA,0,0,0,,,0
12,Leon,POL,0,0,0,,,0
12,Ben Tara W,TUN,0,0,1,0.0,0.0,1
12,Sole,ITA,0,0,1,0.0,0.0,1
12,Colaci,ITA,0,0,5,0.0,0.0,5
12,Flavio,BRA,0,1,3,0.0,0.0,4
12,Plotnytskyi,UKR,0,0,7,0.0,0.0,7
12,Russo,ITA,0,0,0,,,0
