Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
1,De Armas,CUB,8,12,52,2.0,11.11,72
2,Paulo,BRA,7,25,18,1.75,14.0,50
2,Plotnytskyi,UKR,7,13,32,1.75,13.46,52
3,Semeniuk,POL,4,15,36,1.0,7.27,55
4,Nimir,NED,3,21,28,0.75,5.77,52
4,Herrera,CUB,3,13,24,0.75,7.5,40
5,Perrin,CAN,2,17,29,0.5,4.17,48
5,Ngapeth,FRA,2,13,33,0.5,4.17,48
5,Onodera,JPN,2,9,49,0.5,3.33,60
5,Marcus,BRA,2,12,31,0.5,4.44,45
5,Isac,BRA,2,6,22,0.5,6.67,30
5,Renan,BRA,2,10,42,0.5,3.7,54
5,Lopez,CUB,2,11,16,1.0,6.9,29
5,Held,ITA,2,3,13,0.5,11.11,18
6,Yu Y.T.,CHN,1,5,17,0.25,4.35,23
6,K・Fujinaka,JPN,1,7,57,0.25,1.54,65
6,Sato,JPN,1,13,35,0.25,2.04,49
6,Amit,IND,1,5,11,0.5,5.88,17
6,Muthusamy,IND,1,3,16,0.5,5.0,20
6,Gustavo,BRA,1,10,34,0.25,2.22,45
6,Sánchez B.,CUB,1,18,17,0.25,2.78,36
6,Lucas,BRA,1,7,20,0.5,3.57,28
6,Sole,ITA,1,11,25,0.25,2.7,37
6,Flavio,BRA,1,4,40,0.25,2.22,45
7,Aslan,TUR,0,2,10,0.0,0.0,12
7,Ivgen,TUR,0,0,0,,,0
7,Matić,TUR,0,14,32,0.0,0.0,46
7,M. Lagumdzija,TUR,0,1,2,0.0,0.0,3
7,Döne,TUR,0,0,0,,,0
7,Tuna,TUR,0,0,0,,,0
7,Ünver,TUR,0,0,1,0.0,0.0,1
7,Ma'a,USA,0,10,37,0.0,0.0,47
7,Doğukan U.,TUR,0,2,39,0.0,0.0,41
7,Coşkun,TUR,0,0,0,,,0
7,Tayaz,TUR,0,0,4,0.0,0.0,4
7,Atomu,JPN,0,0,0,,,0
7,Soshi,JPN,0,0,0,,,0
7,Oya,JPN,0,6,56,0.0,0.0,62
7,Muserskiy,RUS,0,20,50,0.0,0.0,70
7,Oniki,JPN,0,0,0,,,0
7,Kiire,JPN,0,0,0,,,0
7,Nishida,JPN,0,0,7,0.0,0.0,7
7,Rui,JPN,0,0,0,,,0
7,Kuwada,JPN,0,0,0,,,0
7,Angamuthu,IND,0,2,11,0.0,0.0,13
7,Srikanth,IND,0,0,0,,,0
7,Azmath,IND,0,0,0,,,0
7,Santosh,IND,0,0,0,,,0
7,Nandagopal,IND,0,2,6,0.0,0.0,8
7,Ashwal,IND,0,7,11,0.0,0.0,18
7,Ramanathan,IND,0,0,0,,,0
7,Patel,IND,0,0,0,,,0
7,Manoj,IND,0,1,13,0.0,0.0,14
7,Ukkra Pandian,IND,0,1,4,0.0,0.0,5
7,Shetty,IND,0,0,0,,,0
7,Senica,AUS,0,6,14,0.0,0.0,20
7,Wilmot,USA,0,0,1,0.0,0.0,1
7,Lucas Loh,BRA,0,1,12,0.0,0.0,13
7,M. Radke,BRA,0,4,7,0.0,0.0,11
7,Samuel,BRA,0,0,0,,,0
7,Maique,BRA,0,0,0,,,0
7,Kelvi,BRA,0,3,18,0.0,0.0,21
7,Bryan,BRA,0,2,3,0.0,0.0,5
7,Filipe,BRA,0,0,0,,,0
7,Oppenkoski,BRA,0,2,1,0.0,0.0,3
7,Otávio,BRA,0,0,3,0.0,0.0,3
7,Uriarte,ARG,0,5,22,0.0,0.0,27
7,Rech,BRA,0,1,0,0.0,0.0,1
7,Lukinhas,BRA,0,0,0,,,0
7,Wallace,BRA,0,7,24,0.0,0.0,31
7,C. Souza,BRA,0,4,24,0.0,0.0,28
7,Rodriguinho,BRA,0,9,25,0.0,0.0,34
7,Rodrigo,BRA,0,0,6,0.0,0.0,6
7,Vaccari,BRA,0,0,1,0.0,0.0,1
7,Alexandre,BRA,0,0,0,,,0
7,Carlos,BRA,0,0,0,,,0
7,Yuito,JPN,0,0,0,,,0
7,Candellaro,ITA,0,2,1,0.0,0.0,3
7,Giannelli,ITA,0,3,23,0.0,0.0,26
7,Toscani,ITA,0,0,0,,,0
7,Leon,POL,0,0,0,,,0
7,Ben Tara W,TUN,0,3,11,0.0,0.0,14
7,Colaci,ITA,0,0,0,,,0
7,Russo,ITA,0,0,0,,,0
7,Ropret,SLO,0,4,8,0.0,0.0,12
