Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
1,Arman,IRI,90,16,164,7.5,33.33,270
2,Čebulj,SLO,84,22,237,5.6,24.49,343
3,Kovačič,SLO,78,21,204,5.2,25.74,303
4,Louati,FRA,71,13,204,4.73,24.65,288
5,Thales,BRA,65,15,161,5.0,26.97,241
6,Garcia,CUB,64,31,159,5.33,25.2,254
6,Brand,GER,64,10,168,5.33,26.45,242
7,Bozhilov,BUL,63,11,122,5.25,32.14,196
8,Grebennikov,FRA,61,12,161,4.07,26.07,234
8,Maar,CAN,61,33,245,4.69,17.99,339
9,Clevenot,FRA,58,14,208,4.14,20.71,280
10,Palonsky,ARG,56,13,194,4.31,21.29,263
10,Milad,IRI,56,15,174,4.67,22.86,245
11,Danani,ARG,53,9,171,4.08,22.75,233
12,Yant,CUB,52,14,249,4.33,16.51,315
12,Andringa,NED,52,16,173,4.33,21.58,241
13,Tillie,FRA,50,3,94,3.33,34.01,147
14,Loeppky,CAN,49,22,205,3.77,17.75,276
14,Van Garderen,NED,49,27,224,4.08,16.33,300
15,Urnaut,SLO,47,17,207,3.13,17.34,271
16,Döne,TUR,46,13,131,3.83,24.21,190
16,Kapur,SRB,46,14,141,4.18,22.89,201
16,Ivović,SRB,46,13,101,3.83,28.75,160
17,Mandıracı,TUR,44,21,185,4.0,17.6,250
18,Kujundžić,SRB,43,13,127,3.58,23.5,183
19,Asparuhov,BUL,42,20,164,3.5,18.58,226
20,Lui,CAN,40,20,202,3.08,15.27,262
20,E. Shoji,USA,40,12,79,5.0,30.53,131
21,Tatarov,BUL,38,21,220,3.17,13.62,279
21,Lopez,CUB,38,11,177,3.17,16.81,226
22,Graven,GER,36,10,121,3.0,21.56,167
22,Lavia,ITA,36,11,86,4.5,27.07,133
23,Facu,ARG,34,4,142,2.62,18.89,180
24,Yamamoto,JPN,33,15,152,2.2,16.5,200
24,Balaso,ITA,33,7,99,4.12,23.74,139
25,Fornal,POL,30,10,83,2.73,24.39,123
26,Otsuka,JPN,29,5,150,2.23,15.76,184
26,Śliwka,POL,29,12,79,2.07,24.17,120
26,Reichert,GER,29,5,91,3.62,23.2,125
26,Michieletto,ITA,29,6,121,3.62,18.59,156
26,Jorna,NED,29,8,123,3.62,18.12,160
27,Leal,BRA,28,22,161,2.55,13.27,211
28,Perić,SRB,26,14,113,2.17,16.99,153
28,Ishikawa,JPN,26,15,145,2.36,13.98,186
29,Ewert,USA,25,11,94,3.12,19.23,130
29,Semeniuk,POL,25,9,86,1.79,20.83,120
29,Kovačević,SRB,25,14,83,2.08,20.49,122
30,Ran,JPN,24,4,61,4.8,26.97,89
31,M. Lagumdzija,TUR,22,18,110,1.83,14.67,150
31,Bayram,TUR,22,28,91,1.83,15.6,141
32,Dagostino,USA,21,3,52,1.75,27.63,76
32,Popiwczak,POL,21,5,54,1.91,26.25,80
33,Bednorz,POL,20,6,78,1.43,19.23,104
33,Laurenzano,ITA,20,7,69,1.54,20.83,96
33,Schott,GER,20,5,71,2.5,20.83,96
33,Bottolo,ITA,20,4,66,4.0,22.22,90
34,Vicentin,ARG,19,5,87,1.46,17.12,111
34,Tomita,JPN,19,2,62,1.46,22.89,83
34,Lucarelli,BRA,19,14,188,1.73,8.6,221
35,Ogawa,JPN,18,8,61,1.2,20.69,87
35,Leon,POL,18,7,85,2.57,16.36,110
36,Martinez Franchi,ARG,17,8,37,1.31,27.42,62
36,Morteza,IRI,17,8,94,1.55,14.29,119
36,Anderson,USA,17,2,52,2.12,23.94,71
36,Defalco,USA,17,9,66,2.12,18.48,92
37,Porro L.,ITA,15,11,82,1.15,13.89,108
37,Zenger,GER,15,6,47,3.75,22.06,68
38,Diez,FRA,14,6,36,0.93,25.0,56
38,Mergarejo,CUB,14,7,45,1.17,21.21,66
38,Ter Horst,NED,14,5,56,3.5,18.67,75
39,Kai,JPN,13,7,115,0.87,9.63,135
40,Ngapeth,FRA,12,3,29,2.0,27.27,44
40,Adriano,BRA,12,4,48,1.0,18.75,64
40,Koops,NED,12,8,58,1.0,15.38,78
