Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success Percentage,Total
85,Barbast,IRI,12,6,14,1.09,37.50,32
85,Ahyi,NED,12,3,7,1.50,54.55,22
86,De Cecco,ARG,11,1,12,0.85,45.83,24
86,Bračko,SLO,11,3,8,0.73,50.00,22
86,Champlin,USA,11,6,19,2.75,30.56,36
87,Valchinov,BUL,10,8,15,0.91,30.30,33
87,Koops,NED,10,8,14,0.83,31.25,32
88,Brizard,FRA,9,2,5,0.60,56.25,16
88,Smith,USA,9,5,4,1.29,50.00,18
89,Savaş,TUR,8,2,11,0.73,38.10,21
89,Subaşı,TUR,8,6,6,2.67,40.00,20
89,Vadi,IRI,8,1,14,0.67,34.78,23
89,Christenson,USA,8,2,9,1.00,42.11,19
90,Možič,SLO,7,2,9,1.75,38.89,18
91,Kolev,BUL,6,1,0,1.50,85.71,7
91,Garkov,BUL,6,6,3,0.75,40.00,15
91,Yenipazar,TUR,6,4,6,0.50,37.50,16
91,Wiltenburg,NED,6,1,4,0.50,54.55,11
91,Ropret,SLO,6,1,7,0.40,42.86,14
91,Kaliberda,GER,6,5,15,0.75,23.08,26
91,Jovović,SRB,6,1,5,0.50,50.00,12
91,Aydin,TUR,6,4,6,0.60,37.50,16
92,Nachev,BUL,5,0,3,0.42,62.50,8
92,Keemink,NED,5,4,4,0.42,38.46,13
92,Van Der Ent,NED,5,3,1,0.42,55.56,9
92,Nasri,IRI,5,2,2,0.62,55.56,9
93,Ekşi,TUR,4,0,2,1.00,66.67,6
93,Marshman,USA,4,1,4,1.00,44.44,9
93,Adamczyk,POL,4,3,0,1.00,57.14,7
93,Jakubiszak,POL,4,2,3,1.00,44.44,9
94,Alonso,CUB,3,2,4,0.25,33.33,9
94,Kampa,GER,3,2,1,0.38,50.00,6
94,Caneschi,ITA,3,1,2,0.60,50.00,6
95,Isaacson,USA,2,0,1,0.50,66.67,3
95,Łomacz,POL,2,1,1,0.20,50.00,4
95,Peter,GER,2,1,0,0.50,66.67,3
95,Tille,GER,2,2,3,0.25,28.57,7
95,Petrov,BUL,2,2,2,0.67,33.33,6
95,Stankov,BUL,2,0,1,0.25,66.67,3
95,Esfandiar,IRI,2,1,3,0.50,33.33,6
96,Herr,CAN,1,0,1,0.08,50.00,2
96,Barnes,CAN,1,0,0,0.08,100.00,1
96,Gallego,ARG,1,2,2,0.08,20.00,5
96,Fukatsu,JPN,1,0,0,0.07,100.00,1
96,Takanashi,JPN,1,3,10,0.25,7.14,14
96,Sekita,JPN,1,0,3,0.07,25.00,4
96,Camino,CUB,1,2,0,0.12,33.33,3
96,Fernando,BRA,1,0,6,0.08,14.29,7
96,Z. Štern,SLO,1,1,2,0.07,25.00,4
96,Mujanović,SLO,1,4,2,0.07,14.29,7
96,Tuaniga,USA,1,0,2,0.25,33.33,3
96,Wildman,USA,1,0,0,0.25,100.00,1
96,Wetter,USA,1,0,2,0.25,33.33,3
96,Zimmermann,GER,1,0,3,0.14,25.00,4
96,Sbertoli,ITA,1,1,1,0.08,33.33,3
96,Janusz,POL,1,0,1,0.10,50.00,2
96,Firlej,POL,1,1,3,0.25,20.00,5
96,Arshia,IRI,1,1,1,0.25,33.33,3
97,Bozhilov,BUL,0,0,0,,,0
97,D. Kolev,BUL,0,0,0,,,0
97,Telkiyski,BUL,0,0,0,,,0
97,Grebennikov,FRA,0,0,0,,,0
97,Toniutti,FRA,0,0,8,0.00,0.00,8
97,Diez,FRA,0,0,0,,,0
97,Döne,TUR,0,0,0,,,0
97,Hatipoğlu,TUR,0,0,0,,,0
97,Walsh,CAN,0,1,0,0.00,0.00,1
97,Lui,CAN,0,0,0,,,0
97,Currie,CAN,0,0,0,,,0
97,Sanchez Pages,ARG,0,0,0,,,0
97,Danani,ARG,0,0,0,,,0
97,Ogawa,JPN,0,0,0,,,0
97,Yamamoto,JPN,0,0,0,,,0
97,Garcia,CUB,0,0,0,,,0
97,Taboada,CUB,0,0,1,0.00,0.00,1
97,Gorguet,CUB,0,0,0,,,0
97,Charles,CUB,0,0,0,,,0
97,Bruno,BRA,0,0,3,0.00,0.00,3
97,Honorato,BRA,0,0,0,,,0
97,Thales,BRA,0,0,0,,,0
97,Arthur,BRA,0,0,0,,,0
97,Klok,NED,0,0,0,,,0
97,Andringa,NED,0,0,0,,,0
97,De Weijer,NED,0,0,0,,,0
97,Bak,NED,0,0,0,,,0
97,Toman,SLO,0,0,0,,,0
97,Vinčić,SLO,0,0,0,,,0
97,Kovačič,SLO,0,0,0,,,0
97,Kržič,SLO,0,0,0,,,0
97,Dagostino,USA,0,0,0,,,0
97,Briggs,USA,0,0,0,,,0
97,Komenda,POL,0,1,1,0.00,0.00,2
97,Hawryluk,POL,0,0,0,,,0
97,Szymura,POL,0,0,0,,,0
97,Graven,GER,0,0,0,,,0
97,Kunstmann,GER,0,0,0,,,0
97,Goralik,GER,0,0,2,0.00,0.00,2
97,Burggräf,GER,0,0,0,,,0
97,Balaso,ITA,0,0,0,,,0
97,Laurenzano,ITA,0,0,0,,,0
97,Hazrat,IRI,0,0,0,,,0
97,Javad,IRI,0,0,0,,,0
97,Arman,IRI,0,0,0,,,0
97,Kapur,SRB,0,0,0,,,0
97,Ristić,SRB,0,0,0,,,0
97,Todorović,SRB,0,0,2,0.00,0.00,2
97,Marovt,SLO,0,0,0,,,0
97,Popiwczak,POL,0,0,0,,,0
97,Kartev,BUL,0,0,0,,,0
97,Ma'a,USA,0,0,2,0.00,0.00,2
97,E. Shoji,USA,0,0,0,,,0
97,Hofer,CAN,0,1,0,0.00,0.00,1
97,Bostan,TUR,0,0,1,0.00,0.00,1
97,Meijs,NED,0,0,0,,,0
97,Matheus G.,BRA,0,0,0,,,0
97,Sadati,IRI,0,0,0,,,0
97,Oya,JPN,0,0,0,,,0
97,Dobrev,BUL,0,0,0,,,0
97,Bardarov,BUL,0,0,0,,,0
97,Planinšič,SLO,0,0,0,,,0
97,Zenger,GER,0,0,0,,,0
97,Porro P.,ITA,0,0,0,,,0
97,Cortesia,ITA,0,0,0,,,0
97,Rinaldi,ITA,0,0,0,,,0
97,Gaggini,ITA,0,0,0,,,0
97,Zatorski,POL,0,0,0,,,0
97,Falaschi,ITA,0,0,0,,,0
97,Gardini,ITA,0,0,0,,,0
97,Aslan,TUR,0,0,0,,,0
97,Schnitzer,CAN,0,0,0,,,0
