Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
1,Le Goff,FRA,34,51,53,2.27,-12.32,138
1,Loser Bruno,ARG,34,59,47,2.62,-17.86,140
2,Flavio,BRA,33,68,51,2.75,-23.03,152
3,Zerba,ARG,30,47,52,2.31,-13.18,129
4,Grozdanov,BUL,29,40,55,2.42,-8.87,124
5,Kozamernik,SLO,26,68,64,1.73,-26.58,158
5,Podraščanin,ITA,26,39,39,2.17,-12.5,104
6,McCarthy,CAN,25,41,34,1.92,-16.0,100
7,Concepcion,CUB,24,70,45,2.0,-33.09,139
7,T. Štern,SLO,24,44,50,1.6,-16.95,118
8,Simón,CUB,22,55,38,1.83,-28.7,115
9,Lima B.,ARG,21,43,33,1.62,-22.68,97
9,Thondike,CUB,21,27,28,1.75,-7.89,76
9,Čebulj,SLO,21,36,23,1.4,-18.75,80
9,Kochanowski,POL,21,33,25,1.4,-15.19,79
10,Seddik,FRA,20,58,39,1.33,-32.48,117
10,Mandıracı,TUR,20,31,27,1.82,-14.1,78
10,Plak,NED,20,39,42,1.67,-18.81,101
11,Onodera,JPN,19,48,45,1.27,-25.89,112
11,Alan,BRA,19,25,29,1.46,-8.22,73
11,Parkinson,NED,19,30,35,1.58,-13.1,84
11,Galassi,ITA,19,21,33,2.38,-2.74,73
12,Van Berkel,CAN,18,30,34,1.38,-14.63,82
12,Maase,GER,18,41,58,1.5,-19.66,117
12,Russo,ITA,18,28,28,2.25,-13.51,74
12,Amin,IRI,18,39,35,1.5,-22.83,92
13,Patry,FRA,17,29,31,1.13,-15.58,77
13,Maar,CAN,17,50,39,1.31,-31.13,106
13,Lopez,CUB,17,29,30,1.42,-15.79,76
13,Mohammad,IRI,17,37,42,1.42,-20.83,96
14,S. Nikolov,BUL,16,25,24,1.33,-13.85,65
14,Bedirhan,TUR,16,47,52,1.33,-26.96,115
14,Pajenk,SLO,16,47,67,1.14,-23.85,130
15,Louati,FRA,15,36,21,1.0,-29.17,72
15,Yant,CUB,15,38,35,1.25,-26.14,88
15,Van Garderen,NED,15,32,20,1.25,-25.37,67
15,Michieletto,ITA,15,15,19,1.88,0.0,49
15,Moslehabadi,IRI,15,33,22,1.36,-25.71,70
15,Fornal,POL,15,22,13,1.36,-14.0,50
16,Szwarc,CAN,14,31,44,1.08,-19.1,89
16,Janusz,POL,14,8,19,1.4,14.63,41
17,Yamauchi,JPN,13,40,40,0.87,-29.03,93
17,Darlan,BRA,13,35,29,1.0,-28.57,77
17,Milad,IRI,13,38,26,1.08,-32.47,77
17,Nedeljković,SRB,13,31,54,1.08,-18.37,98
17,Ishikawa,JPN,13,22,30,1.18,-13.85,65
17,Holt,USA,13,22,24,1.86,-15.25,59
18,Matić,TUR,12,35,19,1.0,-34.85,66
18,Güneş,TUR,12,20,38,1.0,-11.43,70
18,Giannelli,ITA,12,15,27,1.5,-5.56,54
19,Clevenot,FRA,11,25,18,0.79,-25.93,54
19,Gürbüz,TUR,11,21,20,0.92,-19.23,52
19,Loeppky,CAN,11,32,36,0.85,-26.58,79
19,Facu,ARG,11,31,21,0.85,-31.75,63
