Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
1,Danani,ARG,123,58,7,9.46,65.43,188
2,Kovačič,SLO,116,63,14,7.73,60.1,193
3,Grebennikov,FRA,114,65,11,7.6,60.0,190
4,Yamamoto,JPN,94,47,5,6.27,64.38,146
5,Thales,BRA,92,33,7,7.08,69.7,132
6,Lui,CAN,87,40,18,6.69,60.0,145
7,Loeppky,CAN,81,24,14,6.23,68.07,119
8,Urnaut,SLO,79,34,8,5.27,65.29,121
9,T. Štern,SLO,77,35,14,5.13,61.11,126
9,Čebulj,SLO,77,32,12,5.13,63.64,121
10,Garcia,CUB,76,43,5,6.33,61.29,124
10,Ropret,SLO,76,32,11,5.07,63.87,119
11,Döne,TUR,73,36,12,6.08,60.33,121
11,Lucarelli,BRA,73,37,13,6.64,59.35,123
11,Andringa,NED,73,38,6,6.08,62.39,117
12,Yant,CUB,70,27,10,5.83,65.42,107
13,Graven,GER,68,42,8,5.67,57.63,118
13,E. Shoji,USA,68,24,5,8.5,70.1,97
14,Bozhilov,BUL,67,41,12,5.58,55.83,120
14,Balaso,ITA,67,32,12,8.38,60.36,111
15,Sekita,JPN,66,32,10,4.71,61.11,108
15,Arman,IRI,66,33,12,5.5,59.46,111
16,Clevenot,FRA,65,22,7,4.64,69.15,94
17,Fernando,BRA,61,33,10,4.69,58.65,104
17,Kapur,SRB,61,54,7,5.55,50.0,122
18,Vadi,IRI,60,30,11,5.0,59.41,101
19,Keemink,NED,56,26,9,4.67,61.54,91
19,Van Garderen,NED,56,26,5,4.67,64.37,87
20,Herr,CAN,55,26,9,4.23,61.11,90
20,Lopez,CUB,55,18,8,4.58,67.9,81
21,Mandıracı,TUR,53,28,8,4.82,59.55,89
21,Maar,CAN,53,23,8,4.08,63.1,84
21,Ogawa,JPN,53,15,7,3.53,70.67,75
21,Nimir,NED,53,22,7,4.42,64.63,82
22,Otsuka,JPN,51,24,5,3.92,63.75,80
23,Nishida,JPN,49,18,9,3.27,64.47,76
23,Leal,BRA,49,25,2,4.45,64.47,76
23,Milad,IRI,49,27,15,4.08,53.85,91
24,Brand,GER,48,32,6,4.0,55.81,86
25,Patry,FRA,47,28,8,3.13,56.63,83
25,Giannelli,ITA,47,18,4,5.88,68.12,69
26,Palonsky,ARG,46,19,5,3.54,65.71,70
26,Ishikawa,JPN,46,15,5,4.18,69.7,66
27,Christenson,USA,45,12,2,5.62,76.27,59
28,Tatarov,BUL,44,28,4,3.67,57.89,76
28,Dagostino,USA,44,20,6,3.67,62.86,70
29,S. Nikolov,BUL,43,36,6,3.58,50.59,85
29,De Cecco,ARG,43,25,7,3.31,57.33,75
30,Kampa,GER,41,18,7,5.12,62.12,66
31,Lima B.,ARG,40,28,6,3.08,54.05,74
31,Thondike,CUB,40,24,5,3.33,57.97,69
32,A. Lagumdzija,TUR,39,19,2,3.25,65.0,60
32,Facu,ARG,39,28,9,3.0,51.32,76
32,Kozamernik,SLO,39,13,9,2.6,63.93,61
33,Louati,FRA,38,23,7,2.53,55.88,68
34,Asparuhov,BUL,37,11,1,3.08,75.51,49
34,Toniutti,FRA,37,24,10,2.47,52.11,71
34,Alan,BRA,37,9,0,2.85,80.43,46
34,Luburić,SRB,37,18,11,3.08,56.06,66
35,Yenipazar,TUR,36,17,6,3.0,61.02,59
35,Amin,IRI,36,20,8,3.0,56.25,64
35,Zenger,GER,36,4,4,9.0,81.82,44
36,Szwarc,CAN,35,16,2,2.69,66.04,53
36,Reichert,GER,35,14,4,4.38,66.04,53
37,Semeniuk,POL,34,8,5,2.43,72.34,47
37,Ivović,SRB,34,22,2,2.83,58.62,58
38,Darlan,BRA,33,22,3,2.54,56.9,58
38,Pajenk,SLO,33,5,4,2.36,78.57,42
38,Lavia,ITA,33,12,2,4.12,70.21,47
38,Janusz,POL,33,19,9,3.3,54.1,61
39,Hazrat,IRI,32,27,3,2.67,51.61,62
39,Popiwczak,POL,32,9,2,2.91,74.42,43
39,Fornal,POL,32,11,2,2.91,71.11,45
40,Diez,FRA,31,10,1,2.07,73.81,42
40,Romanò,ITA,31,16,10,3.88,54.39,57
40,Laurenzano,ITA,31,16,7,2.38,57.41,54
40,Defalco,USA,31,15,8,3.88,57.41,54
41,Mohammad,IRI,30,10,4,2.5,68.18,44
41,Zatorski,POL,30,17,6,4.29,56.6,53
42,Michieletto,ITA,29,12,5,3.62,63.04,46
42,Jovović,SRB,29,27,12,2.42,42.65,68
42,Kujundžić,SRB,29,17,3,2.42,59.18,49
43,Miyaura,JPN,28,13,4,1.87,62.22,45
44,Anderson,USA,27,14,7,3.38,56.25,48
44,Jorna,NED,27,19,4,3.38,54.0,50
45,Brizard,FRA,26,19,11,1.73,46.43,56
45,Bedirhan,TUR,26,7,4,2.17,70.27,37
45,Ewert,USA,26,15,10,3.25,50.98,51
45,Maase,GER,26,11,6,2.17,60.47,43
46,Sánchez B.,CUB,25,21,5,2.08,49.02,51
46,Concepcion,CUB,25,8,2,2.08,71.43,35
46,Sbertoli,ITA,25,11,4,1.92,62.5,40
46,Morteza,IRI,25,18,2,2.27,55.56,45
47,Dimitrov,BUL,24,14,4,2.0,57.14,42
47,Bayram,TUR,24,16,4,2.0,54.55,44
47,Śliwka,POL,24,5,2,1.71,77.42,31
47,Bovolenta,ITA,24,9,6,1.85,61.54,39
48,Grozdanov,BUL,23,14,3,1.92,57.5,40
48,Tillie,FRA,23,13,0,1.53,63.89,36
48,Gürbüz,TUR,23,11,1,1.92,65.71,35
48,Kovačević,SRB,23,13,7,1.92,53.49,43
48,Bottolo,ITA,23,12,3,4.6,60.53,38
49,Onodera,JPN,22,8,4,1.47,64.71,34
49,Tomita,JPN,22,10,2,1.69,64.71,34
49,Zimmermann,GER,22,12,2,3.14,61.11,36
49,Schott,GER,22,4,1,2.75,81.48,27
49,Muagututia,USA,22,2,3,2.75,81.48,27
50,Faure,FRA,21,6,6,1.4,63.64,33
50,Hatipoğlu,TUR,21,15,1,1.75,56.76,37
50,Karlitzek,GER,21,17,4,2.62,50.0,42
51,M. Lagumdzija,TUR,20,7,3,1.67,66.67,30
51,Ran,JPN,20,15,2,4.0,54.05,37
52,Loser Bruno,ARG,19,8,1,1.46,67.86,28
52,Kurek,POL,19,11,5,1.9,54.29,35
53,Le Goff,FRA,18,5,2,1.2,72.0,25
53,Vicentin,ARG,18,19,3,1.38,45.0,40
53,Kai,JPN,18,17,4,1.2,46.15,39
53,Russo,ITA,18,11,4,2.25,54.55,33
54,Fukatsu,JPN,17,8,7,1.13,53.12,32
54,Bołądź,POL,17,12,4,1.7,51.52,33
54,Salehi,IRI,17,12,5,1.55,50.0,34
55,Karyagin,BUL,16,14,1,1.33,51.61,31
55,Güneş,TUR,16,3,2,1.33,76.19,21
55,McCarthy,CAN,16,12,5,1.23,48.48,33
55,Mergarejo,CUB,16,7,2,1.33,64.0,25
55,Adriano,BRA,16,7,2,1.33,64.0,25
55,Koops,NED,16,4,1,1.33,76.19,21
55,Poriya,IRI,16,7,2,1.33,64.0,25
55,Grozer,GER,16,5,2,2.0,69.57,23
55,Russell,USA,16,5,0,4.0,76.19,21
55,Leon,POL,16,8,3,2.29,59.26,27
56,Petkov,BUL,15,9,0,1.25,62.5,24
56,Seddik,FRA,15,4,0,1.0,78.95,19
56,Martinez Franchi,ARG,15,9,1,1.15,60.0,25
56,Zerba,ARG,15,8,4,1.15,55.56,27
56,Fromm,GER,15,6,2,1.25,65.22,23
56,Perić,SRB,15,12,4,1.25,48.39,31
56,Jaeschke,USA,15,5,3,3.75,65.22,23
57,Wassenaar Ketrzynski,CAN,14,10,3,1.08,51.85,27
57,Sanchez Pages,ARG,14,8,6,1.08,50.0,28
58,Valchinov,BUL,13,3,1,1.18,76.47,17
58,Ngapeth,FRA,13,6,3,2.17,59.09,22
58,Lucas,BRA,13,4,4,1.18,61.9,21
58,Mauricio,BRA,13,7,3,1.08,56.52,23
58,Ter Horst,NED,13,6,1,3.25,65.0,20
58,Szymura,POL,13,10,1,1.62,54.17,24
