Rank,Player Name,Team,Serve Points,Errors,Attemps,Average Per Match,Success,Total
1,Nimir,NED,40,56,94,3.33,21.05,190
2,T. Štern,SLO,31,55,178,2.07,11.74,264
3,Luburić,SRB,24,37,92,2.0,15.69,153
4,Nishida,JPN,19,45,99,1.27,11.66,163
5,Ropret,SLO,18,34,161,1.2,8.45,213
5,Čebulj,SLO,18,45,143,1.2,8.74,206
6,Patry,FRA,14,34,109,0.93,8.92,157
6,Mandıracı,TUR,14,19,130,1.27,8.59,163
6,Maar,CAN,14,44,118,1.08,7.95,176
6,Yant,CUB,14,52,139,1.17,6.83,205
6,Michieletto,ITA,14,16,103,1.75,10.53,133
7,S. Nikolov,BUL,13,31,107,1.08,8.61,151
7,Lucarelli,BRA,13,24,154,1.18,6.81,191
7,Kozamernik,SLO,13,29,216,0.87,5.04,258
7,Urnaut,SLO,13,24,165,0.87,6.44,202
7,Kochanowski,POL,13,25,93,0.87,9.92,131
8,Loeppky,CAN,12,35,175,0.92,5.41,222
8,Miyaura,JPN,12,20,56,0.8,13.64,88
8,Simón,CUB,12,23,112,1.0,8.16,147
8,Bołądź,POL,12,24,41,1.2,15.58,77
9,Louati,FRA,11,36,124,0.73,6.43,171
10,Brizard,FRA,10,29,80,0.67,8.4,119
10,Gürbüz,TUR,10,21,49,0.83,12.5,80
10,Bayram,TUR,10,25,69,0.83,9.62,104
10,Szwarc,CAN,10,34,101,0.77,6.9,145
10,Lima B.,ARG,10,51,109,0.77,5.88,170
10,Darlan,BRA,10,51,72,0.77,7.52,133
10,Pajenk,SLO,10,36,122,0.71,5.95,168
10,Brand,GER,10,16,106,0.83,7.58,132
10,Amin,IRI,10,31,122,0.83,6.13,163
10,Ishikawa,JPN,10,22,107,0.91,7.19,139
10,Leon,POL,10,25,42,1.43,12.99,77
11,Asparuhov,BUL,9,37,79,0.75,7.2,125
11,Petkov,BUL,9,29,87,0.75,7.2,125
11,Facu,ARG,9,23,86,0.69,7.63,118
11,Lucas,BRA,9,26,120,0.82,5.81,155
11,Van Garderen,NED,9,42,101,0.75,5.92,152
11,Kujundžić,SRB,9,29,65,0.75,8.74,103
11,Perić,SRB,9,24,41,0.75,12.16,74
12,Tatarov,BUL,8,31,97,0.67,5.88,136
12,Clevenot,FRA,8,26,134,0.57,4.76,168
12,Bedirhan,TUR,8,17,126,0.67,5.3,151
12,Herr,CAN,8,32,104,0.62,5.56,144
12,McCarthy,CAN,8,31,115,0.62,5.19,154
12,Vicentin,ARG,8,19,30,0.62,14.04,57
12,Palonsky,ARG,8,27,111,0.62,5.48,146
