Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
52,Gotsev,BUL,13,3,7,4.33,56.52,23
52,Bedirhan,TUR,13,3,6,3.25,59.09,22
53,Onodera,JPN,12,2,17,3.0,38.71,31
53,Louati,FRA,12,4,3,2.4,63.16,19
53,Maase,GER,12,4,5,3.0,57.14,21
53,Szwarc,CAN,12,7,4,4.0,52.17,23
54,Grozdanov,BUL,11,3,8,3.67,50.0,22
54,Palacios,ARG,11,6,24,2.2,26.83,41
54,Giannelli,ITA,11,2,9,1.57,50.0,22
54,Hoag,CAN,11,4,7,3.67,50.0,22
54,Van Berkel,CAN,11,3,4,3.67,61.11,18
54,Barnes,CAN,11,7,7,3.67,44.0,25
55,Otsuka,JPN,10,3,12,2.5,40.0,25
55,Ensing,USA,10,1,5,2.0,62.5,16
55,Agrebi O,TUN,10,5,5,2.5,50.0,20
56,Muagututia,USA,9,5,5,1.8,47.37,19
56,Rodriguez,MEX,9,7,11,3.0,33.33,27
56,Zhang Z.J.,CHN,9,0,3,3.0,75.0,12
56,Peng S.K.,CHN,9,4,7,3.0,45.0,20
56,A. Seoudy,EGY,9,3,5,3.0,52.94,17
57,Rodriguinho,BRA,8,5,14,1.14,29.63,27
57,Krage,GER,8,2,6,2.0,50.0,16
57,Kofane,CMR,8,0,2,2.67,80.0,10
57,Petric,SRB,8,2,4,2.0,57.14,14
58,Darlan,BRA,7,1,5,1.0,53.85,13
58,Brizard,FRA,7,2,2,1.4,63.64,11
58,Brand,GER,7,1,6,1.75,50.0,14
58,Martinez,MEX,7,1,9,2.33,41.18,17
58,Badawe,CMR,7,5,8,2.33,35.0,20
58,De Cecco,ARG,7,0,5,1.4,58.33,12
58,Kazemi,IRI,7,1,9,1.75,41.18,17
58,Kisiliuk,UKR,7,1,4,1.4,58.33,12
59,Kampa,GER,6,0,2,1.5,75.0,8
59,Christenson,USA,6,1,2,1.2,66.67,9
59,Bitouna,CMR,6,2,2,2.0,60.0,10
59,Keemink,NED,6,1,0,1.5,85.71,7
59,Palonsky,ARG,6,3,4,1.2,46.15,13
59,Zerba,ARG,6,1,3,1.2,60.0,10
59,Kukartsev,ARG,6,0,1,1.2,85.71,7
59,B.Othmen M.,TUN,6,6,10,1.5,27.27,22
60,Adriano,BRA,5,1,9,0.71,33.33,15
60,Mubarak,QAT,5,6,3,1.67,35.71,14
60,Jouffroy,FRA,5,0,4,1.0,55.56,9
60,Dolengombai,CMR,5,1,2,1.67,62.5,8
60,Hossam,EGY,5,3,5,1.67,38.46,13
