Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
15,Seganov,BUL,2,13,3,0.67,-61.11,18
15,Ropret,SLO,2,2,1,0.29,0.0,5
15,Urnaut,SLO,2,13,4,0.29,-57.89,19
15,Možič,SLO,2,2,3,0.29,0.0,7
15,Badawe,CMR,2,3,0,0.67,-20.0,5
15,Kody,CMR,2,2,1,0.67,0.0,5
15,Subaşı,TUR,2,6,0,0.5,-50.0,8
15,M. Lagumdzija,TUR,2,1,1,0.5,25.0,4
15,Ekşi,TUR,2,6,2,0.5,-40.0,10
15,Doğukan U.,TUR,2,0,0,0.5,100.0,2
15,Zhang Z.J.,CHN,2,4,2,0.67,-25.0,8
15,Tuinstra,NED,2,4,1,0.5,-28.57,7
15,Hossam,EGY,2,4,1,0.67,-28.57,7
15,J.Manavi,IRI,2,1,0,0.5,33.33,3
15,Bouguerra.A,TUN,2,5,0,0.5,-42.86,7
15,Molina,PUR,2,2,2,0.67,0.0,6
15,Rodriguez,PUR,2,26,2,0.67,-80.0,30
15,Kovačević,SRB,2,9,5,0.5,-43.75,16
15,Atanasijević,SRB,2,6,4,0.5,-33.33,12
15,Maar,CAN,2,3,0,0.67,-20.0,5
16,Rodriguinho,BRA,1,5,1,0.14,-57.14,7
16,Leandro,BRA,1,0,1,0.14,50.0,2
16,Roque,BRA,1,1,0,0.14,0.0,2
16,Sánchez B.,CUB,1,0,0,0.25,100.0,1
16,Renan,QAT,1,3,2,0.33,-33.33,6
16,Tillie,FRA,1,3,1,0.2,-40.0,5
16,Fromm,GER,1,0,1,0.25,50.0,2
16,Karlitzek,GER,1,2,4,0.25,-14.29,7
16,Weber,GER,1,2,1,0.25,-25.0,4
16,Averill,USA,1,4,1,0.2,-50.0,6
16,Lopez,MEX,1,16,5,0.33,-68.18,22
16,Fuentes,MEX,1,4,1,0.33,-50.0,6
16,Aranda,MEX,1,6,4,0.33,-45.45,11
