Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
40,Tillie,FRA,1,0,4,0.2,20.0,5
40,Le Goff,FRA,1,0,0,0.2,100.0,1
40,Clevenot,FRA,1,0,3,0.2,25.0,4
40,Louati,FRA,1,0,1,0.2,50.0,2
40,Maase,GER,1,0,0,0.25,100.0,1
40,Možič,SLO,1,0,6,0.14,14.29,7
40,Amabaya,CMR,1,0,0,0.33,100.0,1
40,Deffo,CMR,1,0,0,0.33,100.0,1
40,Voukeng,CMR,1,0,0,0.33,100.0,1
40,Güngör,TUR,1,0,1,0.25,50.0,2
40,Güneş,TUR,1,0,0,0.25,100.0,1
40,Bayraktar,TUR,1,0,0,0.25,100.0,1
40,Yu Y.T.,CHN,1,0,0,0.33,100.0,1
40,Zhang Z.J.,CHN,1,0,0,0.33,100.0,1
40,Plak,NED,1,0,1,0.25,50.0,2
40,Parkinson,NED,1,0,0,0.25,100.0,1
40,M.Elmahdy,EGY,1,0,0,0.33,100.0,1
40,A.Said,EGY,1,0,2,0.33,33.33,3
40,Issa,EGY,1,1,1,0.33,33.33,3
40,Palonsky,ARG,1,0,0,0.2,100.0,1
40,Vicentin,ARG,1,0,0,0.2,100.0,1
40,Toukhteh,IRI,1,0,0,0.25,100.0,1
40,Esfandiar,IRI,1,0,1,0.25,50.0,2
40,Agrebi O,TUN,1,0,70,0.25,1.41,71
40,Todorović,SRB,1,0,5,0.25,16.67,6
40,Anzani,ITA,1,0,4,0.14,20.0,5
40,Loeppky,CAN,1,0,0,0.33,100.0,1
41,Adriano,BRA,0,0,0,,,0
41,Rodriguinho,BRA,0,0,0,,,0
41,Maique,BRA,0,0,0,,,0
41,Lucas,BRA,0,0,0,,,0
41,Leandro,BRA,0,0,0,,,0
41,Roque,BRA,0,0,1,0.0,0.0,1
41,Flavio,BRA,0,0,1,0.0,0.0,1
41,Darlan,BRA,0,0,0,,,0
41,Mergarejo,CUB,0,0,0,,,0
41,Sánchez B.,CUB,0,0,0,,,0
41,Concepcion,CUB,0,0,0,,,0
41,Osoria,CUB,0,0,2,0.0,0.0,2
41,Gutierrez,CUB,0,0,0,,,0
41,Herrera,CUB,0,0,0,,,0
41,Simón,CUB,0,0,1,0.0,0.0,1
41,J. Gutierrez,CUB,0,0,0,,,0
41,Yant,CUB,0,0,0,,,0
41,Gorguet,CUB,0,0,0,,,0
41,Onodera,JPN,0,0,1,0.0,0.0,1
41,Yamauchi,JPN,0,0,0,,,0
41,Takanashi,JPN,0,0,0,,,0
41,Ogawa,JPN,0,0,0,,,0
41,Sato,JPN,0,0,0,,,0
41,Murayama,JPN,0,0,0,,,0
41,Y.Oughlaf,QAT,0,0,0,,,0
41,M. Essam,QAT,0,0,0,,,0
41,Bojan,QAT,0,0,0,,,0
41,Ababacar,QAT,0,0,0,,,0
41,Abdullah,QAT,0,0,0,,,0
41,A. Jamal,QAT,0,0,0,,,0
41,Osman,QAT,0,0,0,,,0
41,Chinenyeze,FRA,0,0,0,,,0
41,Patry,FRA,0,1,0,0.0,0.0,1
41,Boyer,FRA,0,0,2,0.0,0.0,2
41,Henry,FRA,0,0,0,,,0
41,Jouffroy,FRA,0,0,0,,,0
41,Fromm,GER,0,0,0,,,0
