Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
27,Otsuka,JPN,5,0,0,1.25,100.0,5
27,Reichert,GER,5,5,1,1.25,45.45,11
27,Muagututia,USA,5,2,0,1.0,71.43,7
27,Zhang J.Y.,CHN,5,4,0,1.67,55.56,9
27,R.Haikal,EGY,5,1,1,1.67,71.43,7
27,Karamosli E,TUN,5,6,1,1.25,41.67,12
27,Katic,SRB,5,2,0,1.25,71.43,7
27,Petkovic,SRB,5,5,0,1.25,50.0,10
27,Galassi,ITA,5,1,0,0.71,83.33,6
27,Van Berkel,CAN,5,2,0,1.67,71.43,7
28,Goide,CUB,4,3,1,1.0,50.0,8
28,Y.Oughlaf,QAT,4,2,0,1.33,66.67,6
28,Nikola,QAT,4,4,1,1.33,44.44,9
28,Louati,FRA,4,2,0,0.8,66.67,6
28,Weber,GER,4,1,0,1.0,80.0,5
28,Łomacz,POL,4,1,0,0.57,80.0,5
28,A. Nikolov,BUL,4,5,1,1.33,40.0,10
28,Bassoko,CMR,4,3,0,1.33,57.14,7
28,Landry,CMR,4,3,0,1.33,57.14,7
28,Kody,CMR,4,2,3,1.33,44.44,9
28,Zhang G.H.,CHN,4,3,0,1.33,57.14,7
28,A. Seoudy,EGY,4,1,0,1.33,80.0,5
28,M. Reda,EGY,4,2,1,1.33,57.14,7
28,A.Said,EGY,4,4,4,1.33,33.33,12
28,Lima B.,ARG,4,3,2,0.8,44.44,9
28,Palonsky,ARG,4,2,1,0.8,57.14,7
28,Mojarad,IRI,4,4,0,1.0,50.0,8
28,Kadhi A,TUN,4,3,0,1.0,57.14,7
28,Torres,PUR,4,0,0,1.33,100.0,4
28,Podraščanin,ITA,4,3,1,1.0,50.0,8
28,Scanferla,ITA,4,0,0,0.57,100.0,4
28,Sclater,CAN,4,4,1,1.33,44.44,9
28,Barnes,CAN,4,3,0,1.33,57.14,7
29,Adriano,BRA,3,0,0,0.43,100.0,3
29,Taboada,CUB,3,2,0,0.75,60.0,5
29,Oya,JPN,3,0,0,0.75,100.0,3
29,Milos,QAT,3,2,2,1.0,42.86,7
29,Patry,FRA,3,5,1,0.6,33.33,9
29,Le Goff,FRA,3,1,0,0.6,75.0,4
29,Jouffroy,FRA,3,0,0,0.6,100.0,3
29,Schott,GER,3,1,0,0.75,75.0,4
29,Karlitzek,GER,3,1,1,0.75,60.0,5
29,Krage,GER,3,0,0,0.75,100.0,3
29,Lopez,MEX,3,4,0,1.0,42.86,7
29,Gotsev,BUL,3,1,0,1.0,75.0,4
29,Dolengombai,CMR,3,0,0,1.0,100.0,3
29,Djam,CMR,3,1,1,1.0,60.0,5
29,Yu Y.T.,CHN,3,2,0,1.0,60.0,5
29,Dola,EGY,3,1,0,1.0,75.0,4
29,Hossam,EGY,3,3,1,1.0,42.86,7
29,Loser Bruno,ARG,3,3,0,0.6,50.0,6
29,Kazemi,IRI,3,0,0,0.75,100.0,3
29,Esfandiar,IRI,3,1,0,0.75,75.0,4
29,B.Othmen M.,TUN,3,4,0,0.75,42.86,7
29,Del Valle,PUR,3,11,0,1.0,21.43,14
29,Poluian,UKR,3,1,0,0.6,75.0,4
29,Drozd,UKR,3,3,1,0.6,42.86,7
29,Sbertoli,ITA,3,0,0,0.43,100.0,3
29,Russo,ITA,3,2,0,0.43,60.0,5
29,Hoag,CAN,3,0,0,1.0,100.0,3
30,Darlan,BRA,2,2,0,0.29,50.0,4
30,Ibrahim,QAT,2,2,0,0.67,50.0,4
30,Toniutti,FRA,2,2,0,0.4,50.0,4
30,Zimmermann,GER,2,0,0,0.5,100.0,2
30,Ensing,USA,2,2,0,0.4,50.0,4
30,K. Russell,USA,2,1,0,0.4,66.67,3
30,Popiwczak,POL,2,1,0,0.29,66.67,3
30,Kłos,POL,2,1,0,0.29,66.67,3
30,Ahmed,CMR,2,2,1,0.67,40.0,5
30,Güneş,TUR,2,1,0,0.5,66.67,3
30,Bedirhan,TUR,2,3,0,0.5,40.0,5
30,Peng S.K.,CHN,2,0,0,0.67,100.0,2
30,Wang B.,CHN,2,0,0,0.67,100.0,2
30,Jorna,NED,2,0,1,0.5,66.67,3
30,Plak,NED,2,2,0,0.5,50.0,4
30,Parkinson,NED,2,3,0,0.5,40.0,5
30,M. Ramadan,EGY,2,0,1,0.67,66.67,3
30,Palacios,ARG,2,1,2,0.4,40.0,5
30,Vicentin,ARG,2,7,1,0.4,20.0,10
30,Ramos,ARG,2,2,2,0.4,33.33,6
30,Zerba,ARG,2,0,0,0.4,100.0,2
30,Morteza,IRI,2,2,0,0.5,50.0,4
30,Agrebi O,TUN,2,2,1,0.5,40.0,5
30,Korbosli T,TUN,2,4,1,0.5,28.57,7
30,Rodriguez,PUR,2,2,0,0.67,50.0,4
30,Lisinac,SRB,2,4,0,0.5,33.33,6
30,Walsh,CAN,2,3,0,0.67,40.0,5
31,Leandro,BRA,1,0,0,0.14,100.0,1
31,Roque,BRA,1,1,0,0.14,50.0,2
31,Gorguet,CUB,1,0,0,0.25,100.0,1
31,M. Essam,QAT,1,3,0,0.33,25.0,4
31,Belal,QAT,1,1,0,0.33,50.0,2
31,Mubarak,QAT,1,0,1,0.33,50.0,2
31,Henry,FRA,1,0,0,0.2,100.0,1
31,Fromm,GER,1,2,1,0.25,25.0,4
31,Brand,GER,1,1,0,0.25,50.0,2
31,Averill,USA,1,1,0,0.2,50.0,2
31,Rodriguez,MEX,1,0,0,0.33,100.0,1
31,Martinez,MEX,1,1,1,0.33,33.33,3
31,Sanay,MEX,1,4,0,0.33,20.0,5
31,Kwolek,POL,1,0,0,0.14,100.0,1
31,Poręba,POL,1,0,0,0.14,100.0,1
31,Kolev,BUL,1,3,0,0.33,25.0,4
31,Grozdanov,BUL,1,0,0,0.33,100.0,1
31,Mandengo,CMR,1,1,0,0.33,50.0,2
31,Bitouna,CMR,1,0,0,0.33,100.0,1
31,Deffo,CMR,1,0,0,0.33,100.0,1
