web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1742813626-186","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Giani","ITA","0","0","0","","","0"
"1742813626-187","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Italy","ITA","0","0","0","","","0"
"1742813626-188","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Menchetti","ITA","0","0","0","","","0"
"1742813626-189","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Starace","ITA","0","0","0","","","0"
"1742813626-190","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Bernardis","ITA","0","1","11","0.00","0.00","12"
"1742813626-191","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Beggiato","ITA","0","0","0","","","0"
"1742813626-192","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Menazza","ITA","0","0","0","","","0"
"1742813626-193","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Radivojevic","ITA","0","0","0","","","0"
"1742813626-194","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Bergamasco","ITA","0","0","0","","","0"
"1742813626-195","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","46","Zillio","ITA","0","0","0","","","0"
