web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1742813626-44","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","31","Loeppky","CAN","15","1","64","0.42","18.75","80"
"1742813626-45","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","32","Massari","ITA","14","0","14","1.00","50.00","28"
"1742813626-46","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","33","Basic","FRA","13","0","6","0.59","68.42","19"
"1742813626-47","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","33","Scanferla","ITA","13","1","116","0.41","10.00","130"
"1742813626-48","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","34","Randazzo","ITA","12","0","12","0.55","50.00","24"
"1742813626-49","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","34","Mergarejo","CUB","12","1","18","0.34","38.71","31"
"1742813626-50","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","34","Lucarelli","BRA","12","1","135","0.36","8.11","148"
"1742813626-51","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","35","Pace","ITA","11","0","5","0.32","68.75","16"
"1742813626-52","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","36","Tondo","ITA","10","1","4","0.45","66.67","15"
"1742813626-53","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","36","Gollini","ITA","10","1","46","0.32","17.54","57"
"1742813626-54","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","37","Plotnytskyi","UKR","9","1","125","0.27","6.67","135"
"1742813626-55","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","37","Mašulović N.","SRB","9","0","6","0.41","60.00","15"
"1742813626-56","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","38","Yant","CUB","8","3","31","0.24","19.05","42"
"1742813626-57","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","38","Gardini","ITA","8","2","43","0.30","15.09","53"
"1742813626-58","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","38","Jendryk","USA","8","1","8","0.36","47.06","17"
"1742813626-59","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","38","Sala","ITA","8","1","16","0.36","32.00","25"
"1742813626-60","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","38","K. Russell","USA","8","3","11","0.36","36.36","22"
"1742813626-61","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","39","Colaci","ITA","7","2","83","0.21","7.61","92"
"1742813626-62","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","39","Santambrogio","ITA","7","0","282","0.32","2.42","289"
"1742813626-63","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","39","Rinaldi","ITA","7","1","53","0.23","11.48","61"
"1742813626-64","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","39","Porro L.","ITA","7","2","31","0.26","17.50","40"
"1742813626-65","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","40","Pierri","ITA","6","0","10","0.29","37.50","16"
"1742813626-66","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","40","Desmet","BEL","6","0","32","0.22","15.79","38"
"1742813626-67","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","41","Thelle","NOR","5","0","23","0.15","17.86","28"
"1742813626-68","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","41","Anzani","ITA","5","1","18","0.15","20.83","24"
"1742813626-69","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","41","Galassi","ITA","5","1","10","0.14","31.25","16"
"1742813626-70","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","41","Gargiulo","ITA","5","0","10","0.23","33.33","15"
"1742813626-71","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","41","Dzavoronok","CZE","5","0","45","0.16","10.00","50"
"1742813626-72","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","42","Ben Tara W","TUN","4","0","37","0.12","9.76","41"
"1742813626-73","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","42","Davyskiba","BLR","4","1","80","0.13","4.71","85"
"1742813626-74","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","42","Kaziyski","BUL","4","1","60","0.12","6.15","65"
"1742813626-75","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","42","Bottolo","ITA","4","4","25","0.12","12.12","33"
"1742813626-76","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","42","Di Martino","ITA","4","2","19","0.11","16.00","25"
"1742813626-77","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","42","Dias","POR","4","0","79","0.12","4.82","83"
"1742813626-78","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","42","Magalini","ITA","4","0","9","0.12","30.77","13"
"1742813626-79","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","42","Keita","MLI","4","0","25","0.14","13.79","29"
"1742813626-80","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Sole","ITA","3","1","17","0.09","14.29","21"
"1742813626-81","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Sanguinetti","ITA","3","1","10","0.10","21.43","14"
"1742813626-82","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Sapozhkov","RUS","3","3","30","0.10","8.33","36"
"1742813626-83","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Vitelli","ITA","3","0","12","0.09","20.00","15"
"1742813626-84","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Reggers","BEL","3","0","41","0.09","6.82","44"
"1742813626-85","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Loser Bruno","ARG","3","2","32","0.09","8.11","37"
"1742813626-86","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Szwarc","CAN","3","4","35","0.08","7.14","42"
"1742813626-87","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Hoffer","ITA","3","0","6","0.09","33.33","9"
"1742813626-88","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Gironi","ITA","3","0","4","0.10","42.86","7"
"1742813626-89","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Ramon","ESP","3","2","49","0.11","5.56","54"
"1742813626-90","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Perić","SRB","3","0","25","0.11","10.71","28"
"1742813626-91","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Nelli","ITA","3","0","4","0.09","42.86","7"
"1742813626-92","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","Možič","SLO","3","1","54","0.09","5.17","58"
"1742813626-93","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","43","GARCIA","FRA","3","0","14","0.27","17.65","17"
"1742813626-94","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Herrera","CUB","2","0","11","0.06","15.38","13"
"1742813626-95","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Russo","ITA","2","0","24","0.06","7.69","26"
"1742813626-96","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Enrico","BRA","2","0","3","0.09","40.00","5"
"1742813626-97","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Stankovic","ITA","2","0","11","0.07","15.38","13"
"1742813626-98","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Dirlic P.","CRO","2","1","16","0.06","10.53","19"
"1742813626-99","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Zaytsev","ITA","2","0","62","0.07","3.12","64"
"1742813626-100","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Romanò","ITA","2","0","44","0.06","4.35","46"
"1742813626-101","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Garcia","USA","2","4","22","0.09","7.14","28"
"1742813626-102","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Truocchio","ITA","2","0","4","0.07","33.33","6"
"1742813626-103","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Bayram","TUR","2","0","36","0.07","5.26","38"
"1742813626-104","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Cavuto","ITA","2","0","1","0.06","66.67","3"
"1742813626-105","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Alletti","ITA","2","0","0","0.10","100.00","2"
"1742813626-106","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Amin","IRI","2","1","24","0.06","7.41","27"
"1742813626-107","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Mosca","ITA","2","0","5","0.06","28.57","7"
"1742813626-108","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","44","Sani","ITA","2","1","7","0.07","20.00","10"
"1742813626-109","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Semeniuk","POL","1","3","98","0.03","0.98","102"
"1742813626-110","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Frumuselu","ITA","1","0","5","0.05","16.67","6"
"1742813626-111","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","J.Manavi","IRI","1","0","1","0.20","50.00","2"
"1742813626-112","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Bossi","ITA","1","0","5","0.05","16.67","6"
"1742813626-113","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Pinali","ITA","1","1","1","0.03","33.33","3"
"1742813626-114","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Piano","ITA","1","1","8","0.03","10.00","10"
"1742813626-115","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","Chinenyeze","FRA","1","1","24","0.03","3.85","26"
"1742813626-116","https://en.volleyballworld.com/volleyball/competitions/superlega/2023-2024/statistics/best-setters/","45","A. Lagumdzija","TUR","1","1","42","0.03","2.27","44"
