Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,TotalTA
56,Thelle,NOR,,2,,0.0,,
56,Motzo,ITA,,1,,0.0,,
56,Bisotto,ITA,,0,,,,
56,Balaso,ITA,,0,,,,
56,Lawani,FRA,,0,,0.0,,
56,Morazzini,ITA,,0,,,,
56,Beretta,ITA,,8,,0.0,,
56,Gaggini,ITA,,0,,,,
56,Scanferla,ITA,,0,,0.0,,
56,Zoppellari,ITA,,9,,0.0,,
56,Zenger,GER,,0,,,,
56,Taniguchi,JPN,,0,,,,
56,De Santis,ITA,,0,,,,
56,Finauri,ITA,,0,,,,
56,Piccinelli,ITA,,0,,,,
56,Pace,ITA,,0,,,,
56,Berger,ITA,,2,,0.0,,
56,Laurenzano,ITA,,0,,,,
56,Luzzi,ITA,,0,,,,
56,Rizzo,ITA,,0,,,,
56,Bonacchi,ITA,,1,,0.0,,
56,Paglialunga,ITA,,0,,,,
56,D'Amico,ITA,,0,,0.0,,
56,Bonisoli,ITA,,0,,,,
56,Zanotti,ITA,,1,,0.0,,
56,Frascio,ITA,,0,,,,
56,Brienza,ITA,,0,,,,
56,Zlatanov,ITA,,0,,,,
56,Labarile,ITA,,0,,,,
56,Tosti,ITA,,0,,,,
56,Mariani,ITA,,0,,,,
56,Beccaro,ITA,,0,,,,
56,Malavasi,ITA,,0,,,,
56,Patanè,ITA,,0,,,,
56,Latella,ITA,,0,,,,
56,Pertoldi,ITA,,0,,,,
56,Melato,ITA,,0,,,,
56,Giani,ITA,,0,,,,
56,Italy,ITA,,0,,,,
56,Menchetti,ITA,,0,,,,
56,Starace,ITA,,0,,,,
56,Bristot,ITA,,1,,0.0,,
56,Beggiato,ITA,,0,,,,
56,GARCIA,FRA,,1,,0.0,,
56,Menazza,ITA,,0,,,,
56,Radivojevic,ITA,,0,,,,
56,Bergamasco,ITA,,0,,,,
56,Zillio,ITA,,0,,,,
