Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
60,Mattei,ITA,1,1,4,0.04,16.67,6
60,Rossi,ITA,1,0,12,0.04,7.69,13
60,Dirlic P.,CRO,1,0,3,0.04,25.0,4
60,Hoffer,ITA,1,0,3,0.03,25.0,4
60,Gironi,ITA,1,3,8,0.03,8.33,12
60,Sapozhkov,RUS,1,2,1,0.03,25.0,4
60,Volpato,ITA,1,0,14,0.03,6.67,15
60,Sala,ITA,1,0,1,0.03,50.0,2
60,Lawani,FRA,1,1,1,0.17,33.33,3
61,Giannelli,ITA,0,2,12,0.0,0.0,14
61,Herrera,CUB,0,0,1,0.0,0.0,1
61,Ropret,SLO,0,0,1,0.0,0.0,1
61,Višić,CRO,0,1,1,0.0,0.0,2
61,Pirazzoli,ITA,0,0,0,,,0
61,Pisoni,ITA,0,0,0,,,0
61,Magliano,ITA,0,0,0,,,0
61,Mariani,ITA,0,0,0,,,0
61,Szwarc,CAN,0,3,4,0.0,0.0,7
61,Nelli,ITA,0,0,0,,,0
61,Sbertoli,ITA,0,4,11,0.0,0.0,15
61,Berger,ITA,0,0,0,,,0
61,Depalma,ITA,0,0,0,,,0
61,Biglino,ITA,0,1,4,0.0,0.0,5
61,Pinelli,ITA,0,0,0,,,0
61,Finoli,ARG,0,1,8,0.0,0.0,9
61,Bonacchi,ITA,0,0,0,,,0
61,Porro P.,ITA,0,0,17,0.0,0.0,17
61,Zanni,ITA,0,0,0,,,0
61,Baranowicz,ITA,0,1,6,0.0,0.0,7
61,Brizard,FRA,0,5,9,0.0,0.0,14
61,Cester,ITA,0,0,1,0.0,0.0,1
61,De Weijer,NED,0,0,0,,,0
61,Raphael,BRA,0,0,5,0.0,0.0,5
61,Jensen,DEN,0,0,0,,,0
61,Spirito,ITA,0,0,3,0.0,0.0,3
61,Zanotti,ITA,0,0,0,,,0
61,Gargiulo,ITA,0,0,14,0.0,0.0,14
61,Falaschi,ITA,0,3,3,0.0,0.0,6
