web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1742812733-88","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","63","Vitelli","ITA","28","14","25","0.80","41.79","67"
"1742812733-89","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","63","Larizza","ITA","28","15","22","1.08","43.08","65"
"1742812733-90","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","64","Piano","ITA","27","17","35","0.79","34.18","79"
"1742812733-91","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","64","Rossi","ITA","27","20","35","1.04","32.93","82"
"1742812733-92","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","64","Zoppellari","ITA","27","28","33","0.90","30.68","88"
"1742812733-93","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","64","Sala","ITA","27","10","13","0.87","54.00","50"
"1742812733-94","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","65","Fernando","BRA","26","21","27","2.00","35.14","74"
"1742812733-95","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","66","Alletti","ITA","25","17","18","0.96","41.67","60"
"1742812733-96","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","67","Andreopoulos","GRE","24","14","7","0.96","53.33","45"
"1742812733-97","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","67","Volpato","ITA","24","12","16","0.77","46.15","52"
"1742812733-98","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","67","Ricci","ITA","24","9","14","1.14","51.06","47"
"1742812733-99","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","68","Lawani","FRA","23","15","9","3.83","48.94","47"
"1742812733-100","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","69","Grozdanov","BUL","21","12","17","0.68","42.00","50"
"1742812733-101","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-diggers/","70","Zingel","ITA","20","18","30","0.77","29.41","68"
