web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
"1742811951-1","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","1","Kaziyski","BUL","567","474","34","59"
"1742811951-2","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","2","Michieletto","ITA","527","437","48","42"
"1742811951-3","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","3","A. Lagumdzija","TUR","507","431","36","40"
"1742811951-4","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","4","Romanò","ITA","499","419","23","57"
"1742811951-5","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","5","Sapozhkov","RUS","498","422","49","27"
"1742811951-6","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","6","Keita","MLI","497","410","26","61"
"1742811951-7","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","7","Maar","CAN","484","398","43","43"
"1742811951-8","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","8","A. Nikolov","BUL","464","385","24","55"
"1742811951-9","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","9","Patry","FRA","462","405","30","27"
"1742811951-10","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","10","Leal","BRA","448","386","35","27"
"1742811951-11","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","11","Ishikawa","JPN","444","380","29","35"
"1742811951-12","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","12","Možič","SLO","437","364","49","24"
"1742811951-13","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","13","Dirlic P.","CRO","434","385","39","10"
"1742811951-14","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","14","Davyskiba","BLR","429","332","37","60"
"1742811951-15","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","15","Lavia","ITA","419","360","37","22"
"1742811951-16","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","16","Zaytsev","ITA","417","353","33","31"
"1742811951-17","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","17","Grozer","GER","395","315","38","42"
"1742811951-18","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","18","Yant","CUB","388","314","36","38"
"1742811951-19","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","19","Leon","POL","373","279","39","55"
"1742811951-20","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","20","Rinaldi","ITA","370","283","29","58"
"1742811951-21","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","21","Mergarejo","CUB","369","326","24","19"
"1742811951-22","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","22","Ngapeth","FRA","368","322","16","30"
"1742811951-23","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","23","Petkovic","SRB","353","309","11","33"
"1742811951-24","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","24","Ran","JPN","338","291","22","25"
"1742811951-25","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","25","Lucarelli","BRA","336","277","16","43"
"1742811951-26","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","26","Simón","CUB","332","206","88","38"
"1742811951-27","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","27","Rychlicki","ITA","313","270","24","19"
"1742811951-28","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","27","Sedlacek","CRO","313","259","37","17"
"1742811951-29","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-scorers/","28","Chinenyeze","FRA","303","255","43","5"
