web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1742812629-40","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","35","Zaytsev","ITA","16","1","67","0.46","19.05","84"
"1742812629-41","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","36","Pesaresi","ITA","15","4","107","0.43","11.90","126"
"1742812629-42","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","36","Catania","ITA","15","0","88","0.58","14.56","103"
"1742812629-43","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","37","Zenger","GER","14","1","116","0.47","10.69","131"
"1742812629-44","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","38","Semeniuk","POL","13","5","74","0.39","14.13","92"
"1742812629-45","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","38","Federici","ITA","13","1","98","0.41","11.61","112"
"1742812629-46","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","38","Sedlacek","CRO","13","3","72","0.52","14.77","88"
"1742812629-47","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","39","Leal","BRA","12","2","34","0.38","25.00","48"
"1742812629-48","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","40","Lisinac","SRB","11","0","12","0.32","47.83","23"
"1742812629-49","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","40","Van Garderen","NED","11","0","24","0.50","31.43","35"
"1742812629-50","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","41","Dzavoronok","CZE","10","0","9","0.28","52.63","19"
"1742812629-51","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","41","Bottolo","ITA","10","1","19","0.27","33.33","30"
"1742812629-52","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","41","Ran","JPN","10","1","67","0.32","12.82","78"
"1742812629-53","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","42","Petric","SRB","9","0","18","0.41","33.33","27"
"1742812629-54","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","42","J. Gutierrez","CUB","9","1","11","0.36","42.86","21"
"1742812629-55","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","43","Grozer","GER","8","1","29","0.30","21.05","38"
"1742812629-56","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","43","Simón","CUB","8","1","24","0.26","24.24","33"
"1742812629-57","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","43","Romanò","ITA","8","3","32","0.23","18.60","43"
"1742812629-58","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","44","Plotnytskyi","UKR","7","1","57","0.21","10.77","65"
"1742812629-59","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","44","Vitelli","ITA","7","1","23","0.20","22.58","31"
"1742812629-60","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","44","Caneschi","ITA","7","2","12","0.20","33.33","21"
"1742812629-61","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","44","Larizza","ITA","7","3","5","0.27","46.67","15"
"1742812629-62","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","44","Rinaldi","ITA","7","2","21","0.22","23.33","30"
"1742812629-63","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","45","Colaci","ITA","6","2","76","0.18","7.14","84"
"1742812629-64","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","45","Bonacchi","ITA","6","1","36","0.18","13.95","43"
"1742812629-65","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","45","Milad","IRI","6","1","73","0.18","7.50","80"
