Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
1,Kaziyski,BUL,474,120,371,13.17,49.12,965
2,Michieletto,ITA,437,87,376,12.49,48.56,900
3,A. Lagumdzija,TUR,431,119,333,13.47,48.81,883
4,Sapozhkov,RUS,422,130,253,14.07,52.42,805
5,Romanò,ITA,419,138,339,11.97,46.76,896
6,Keita,MLI,410,113,236,13.23,54.02,759
7,Patry,FRA,405,123,412,11.91,43.09,940
8,Maar,CAN,398,102,322,12.84,48.42,822
9,Leal,BRA,386,104,280,12.06,50.13,770
10,Dirlic P.,CRO,385,103,302,16.04,48.73,790
10,A. Nikolov,BUL,385,126,354,10.41,44.51,865
11,Ishikawa,JPN,380,120,328,10.86,45.89,828
12,Možič,SLO,364,86,288,11.74,49.32,738
13,Lavia,ITA,360,74,365,10.0,45.06,799
14,Zaytsev,ITA,353,114,256,10.09,48.82,723
15,Davyskiba,BLR,332,106,250,10.38,48.26,688
16,Mergarejo,CUB,326,104,329,9.31,42.95,759
17,Ngapeth,FRA,322,128,249,10.73,46.07,699
18,Grozer,GER,315,118,232,11.67,47.37,665
19,Yant,CUB,314,89,254,8.49,47.79,657
20,Petkovic,SRB,309,136,267,13.43,43.4,712
21,Ran,JPN,291,94,192,9.39,50.43,577
22,Rinaldi,ITA,283,112,255,8.84,43.54,650
23,Leon,POL,279,43,185,8.45,55.03,507
24,Lucarelli,BRA,277,76,179,9.23,52.07,532
25,Rychlicki,ITA,270,68,162,8.18,54.0,500
26,Sedlacek,CRO,259,81,235,10.36,45.04,575
27,Chinenyeze,FRA,255,38,90,6.89,66.58,383
28,Antonov,ITA,247,68,227,9.88,45.57,542
28,Loeppky,CAN,247,43,202,12.35,50.2,492
29,Semeniuk,POL,238,61,218,7.21,46.03,517
30,Stefani,ITA,229,96,151,9.96,48.11,476
31,Petric,SRB,213,79,228,9.68,40.96,520
32,Simón,CUB,206,40,105,6.65,58.69,351
33,Herrera,CUB,195,63,88,5.91,56.36,346
33,Pinali,ITA,195,97,183,12.19,41.05,475
34,Plotnytskyi,UKR,192,53,121,5.82,52.46,366
35,Van Garderen,NED,177,80,166,8.05,41.84,423
35,Loser Bruno,ARG,177,26,111,5.21,56.37,314
