Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
35,Asparuhov,BUL,177,46,161,5.71,46.09,384
36,Desmet,BEL,174,72,137,5.61,45.43,383
37,Bottolo,ITA,173,49,123,4.68,50.14,345
38,Galassi,ITA,172,28,108,5.38,55.84,308
39,Szwarc,CAN,167,63,110,5.22,49.12,340
40,Milad,IRI,166,63,164,4.88,42.24,393
41,Podraščanin,ITA,164,19,90,4.69,60.07,273
42,Lisinac,SRB,156,19,77,4.59,61.9,252
43,Bayram,TUR,153,53,151,5.88,42.86,357
44,Garcia,USA,150,54,118,4.05,46.58,322
45,Gardini,ITA,135,49,123,4.35,43.97,307
46,Flavio,BRA,126,25,64,3.82,58.6,215
46,Stankovic,ITA,126,15,80,3.94,57.01,221
47,Sanguinetti,ITA,125,30,52,3.91,60.39,207
48,Lawani,FRA,118,39,63,19.67,53.64,220
49,Caneschi,ITA,115,18,54,3.29,61.5,187
50,Crosato,ITA,111,27,66,3.58,54.41,204
51,Anzani,ITA,109,15,61,2.95,58.92,185
52,Guzzo,ITA,106,31,82,3.42,48.4,219
53,Alletti,ITA,105,25,52,4.04,57.69,182
54,Russo,ITA,103,18,42,3.12,63.19,163
55,Sole,ITA,102,16,47,3.19,61.82,165
55,Rossi,ITA,102,17,53,3.92,59.3,172
56,Vitelli,ITA,99,10,44,2.83,64.71,153
57,Sala,ITA,98,43,61,3.16,48.51,202
58,Zingel,ITA,85,17,53,3.27,54.84,155
59,Mazzone,ITA,81,16,76,3.86,46.82,173
59,Kaliberda,GER,81,23,83,4.26,43.32,187
60,Piano,ITA,80,8,45,2.35,60.15,133
60,J. Gutierrez,CUB,80,38,59,3.2,45.2,177
61,Grozdanov,BUL,79,16,30,2.55,63.2,125
61,Larizza,ITA,79,17,35,3.04,60.31,131
62,Basic,FRA,77,13,65,2.2,49.68,155
63,Pereyra L.,ARG,75,44,51,3.41,44.12,170
64,Dzavoronok,CZE,72,20,66,2.0,45.57,158
65,Cortesia,ITA,71,6,40,2.29,60.68,117
66,Andreopoulos,GRE,69,26,44,2.76,49.64,139
67,Mosca,ITA,66,14,31,2.13,59.46,111
68,Recine,ITA,64,27,84,1.83,36.57,175
69,Ekstrand,SWE,63,31,64,2.42,39.87,158
70,Raffaelli,ITA,62,31,68,2.82,38.51,161
71,Ricci,ITA,61,14,54,2.9,47.29,129
72,Volpato,ITA,59,7,50,1.9,50.86,116
73,Giannelli,ITA,55,7,39,1.67,54.46,101
73,Di Martino,ITA,55,9,31,1.96,57.89,95
73,Gargiulo,ITA,55,25,31,2.12,49.55,111
73,Canella,ITA,55,8,33,1.83,57.29,96
74,Alonso,CUB,54,10,18,1.64,65.85,82
75,Bartman,POL,53,22,53,8.83,41.41,128
76,Beretta,ITA,52,15,53,1.62,43.33,120
76,Rousseaux,BEL,52,21,49,3.71,42.62,122
77,Brizard,FRA,48,13,38,1.37,48.48,99
78,Martinez,ITA,41,16,21,1.86,52.56,78
79,Magalini,ITA,40,9,34,1.29,48.19,83
79,Krick,GER,40,2,16,1.54,68.97,58
80,D'heer,BEL,35,5,20,0.97,58.33,60
81,Gironi,ITA,33,9,27,0.97,47.83,69
82,Bossi,ITA,30,3,21,0.97,55.56,54
83,Marttila,FIN,26,12,37,0.81,34.67,75
83,Bruno,BRA,26,5,11,0.81,61.9,42
84,Diamantini,ITA,25,2,11,0.69,65.79,38
85,De Cecco,ARG,24,2,24,0.65,48.0,50
86,Biglino,ITA,23,4,24,1.05,45.1,51
87,Sbertoli,ITA,22,5,9,0.65,61.11,36
87,Mattei,ITA,22,5,19,0.85,47.83,46
88,Spirito,ITA,20,3,16,0.67,51.28,39
89,Nelli,ITA,17,14,28,0.47,28.81,59
90,Mengozzi,ITA,16,2,9,0.48,59.26,27
90,Porro P.,ITA,16,7,20,0.47,37.21,43
91,Cardenas,CUB,14,6,2,0.42,63.64,22
91,Marechal,FRA,14,6,13,0.48,42.42,33
92,Saitta,ITA,13,5,9,0.42,48.15,27
93,Cester,ITA,12,1,7,0.35,60.0,20
93,Falaschi,ITA,12,2,9,0.46,52.17,23
93,Zimmermann,GER,12,3,8,0.41,52.17,23
94,Perrin,CAN,11,8,20,0.65,28.21,39
95,Lawrence,PUR,9,5,9,0.26,39.13,23
95,Hernandez C,FIV,9,5,7,0.75,42.86,21
96,Cavuto,ITA,7,1,5,0.19,53.85,13
96,Jensen,DEN,7,2,15,0.23,29.17,24
96,Cottarelli,ITA,7,2,10,0.27,36.84,19
97,Baranowicz,ITA,6,4,12,0.23,27.27,22
98,S. Ngapeth,FRA,5,2,3,0.56,50.0,10
98,Pope,AUS,5,5,5,0.28,33.33,15
99,Finoli,ARG,4,2,5,0.18,36.36,11
100,Ropret,SLO,3,0,1,0.09,75.0,4
100,Višić,CRO,3,0,4,0.14,42.86,7
100,Cengia,ITA,3,1,3,0.12,42.86,7
100,Fernando,BRA,3,2,7,0.23,25.0,12
101,Depalma,ITA,2,0,2,0.06,50.0,4
101,Zanni,ITA,2,2,3,0.08,28.57,7
101,Raphael,BRA,2,3,3,0.06,25.0,8
102,Pesaresi,ITA,1,1,2,0.03,25.0,4
102,Scanferla,ITA,1,0,0,0.03,100.0,1
102,Bonisoli,ITA,1,0,0,0.03,100.0,1
102,Zanotti,ITA,1,0,1,0.03,50.0,2
102,Lucconi,ITA,1,2,0,0.2,33.33,3
102,Zoppellari,ITA,1,1,4,0.03,16.67,6
102,Salsi,ITA,1,1,1,0.03,33.33,3
102,Fusaro,ITA,1,0,2,0.04,33.33,3
103,Piccinelli,ITA,0,0,0,,,0
103,Colaci,ITA,0,0,0,,,0
103,Pirazzoli,ITA,0,0,0,,,0
103,Pisoni,ITA,0,0,0,,,0
103,Magliano,ITA,0,0,0,,,0
103,Federici,ITA,0,0,0,,,0
103,Mariani,ITA,0,0,0,,,0
103,Pace,ITA,0,0,0,,,0
103,Berger,ITA,0,0,0,,,0
103,Laurenzano,ITA,0,0,0,,,0
103,Bonami,ITA,0,0,0,,,0
103,Pinelli,ITA,0,0,1,0.0,0.0,1
103,Pochini,ITA,0,0,0,,,0
103,Bonacchi,ITA,0,0,0,,,0
103,Colombo,ITA,0,0,0,,,0
103,Catania,ITA,0,0,0,,,0
103,Staforini,ITA,0,0,0,,,0
103,Hoffer,ITA,0,0,0,,,0
103,De Weijer,NED,0,0,0,,,0
103,Gaggini,ITA,0,0,0,,,0
103,Rizzo,ITA,0,0,0,,,0
103,Pierri,ITA,0,0,0,,,0
103,Sottile,ITA,0,1,1,0.0,0.0,2
103,D'Amico,ITA,0,0,0,,,0
103,Balaso,ITA,0,0,0,,,0
103,Gottardo,ITA,0,1,5,0.0,0.0,6
103,Ambrose,ITA,0,0,0,,,0
103,Zenger,GER,0,0,0,,,0
103,Lelli,ITA,0,0,0,,,0
103,Gollini,ITA,0,0,0,,,0
103,Rossini,ITA,0,0,1,0.0,0.0,1
103,Malavasi,ITA,0,0,0,,,0
103,Fontani,ITA,0,0,0,,,0
103,Pellegrini,ITA,0,0,0,,,0
103,Bernardis,ITA,0,0,0,,,0
103,Lostritto,ITA,0,0,0,,,0
103,Morazzini,ITA,0,0,0,,,0
103,Rossi,ITA,0,0,0,,,0
103,Frascio,ITA,0,0,0,,,0
103,Zanellotti,ITA,0,0,0,,,0
103,Favaro,ITA,0,0,0,,,0
103,Menazza,ITA,0,0,0,,,0
103,De Santis,ITA,0,0,0,,,0
103,Massafeli,ITA,0,0,0,,,0
103,Gustavo Cavalcanti,POR,0,0,0,,,0
103,Penna,ITA,0,0,0,,,0
103,Branco,ITA,0,0,0,,,0
