web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success Percentage,Total
"1741279003-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","33","Yant","CUB","85","26","69","7.08","47.22","180"
"1741279003-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","34","Morteza","IRI","84","30","67","7.64","46.41","181"
"1741279003-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","34","Hoag","CAN","84","31","84","7.00","42.21","199"
"1741279003-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","34","Russell","USA","84","24","77","6.00","45.41","185"
"1741279003-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","35","Yu Y.T.","CHN","83","23","57","6.92","50.92","163"
"1741279003-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","36","Kukartsev","ARG","81","30","77","6.23","43.09","188"
"1741279003-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","37","Szwarc","CAN","80","33","46","6.67","50.31","159"
"1741279003-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","37","Jaeschke","USA","80","20","71","7.27","46.78","171"
"1741279003-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","38","Onodera","JPN","78","9","44","5.20","59.54","131"
"1741279003-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","39","Honorato","BRA","77","31","75","5.92","42.08","183"
"1741279003-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","40","Kurek","POL","76","30","54","6.91","47.50","160"
"1741279003-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","41","Kaczmarek","POL","74","11","47","10.57","56.06","132"
"1741279003-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","41","Śliwka","POL","74","12","43","10.57","57.36","129"
"1741279003-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","42","Asparuhov","BUL","71","22","68","5.92","44.10","161"
"1741279003-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","43","Chinenyeze","FRA","70","12","33","7.78","60.87","115"
"1741279003-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","44","Dimitrov","BUL","69","37","80","5.75","37.10","186"
"1741279003-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","44","Tuinstra","NED","69","34","58","5.75","42.86","161"
"1741279003-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","45","Carle","FRA","68","21","52","5.23","48.23","141"
"1741279003-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","45","Patry","FRA","68","21","61","7.56","45.33","150"
"1741279003-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","46","Concepcion","CUB","67","13","29","5.58","61.47","109"
"1741279003-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","47","Pajenk","SLO","66","10","40","5.08","56.90","116"
"1741279003-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","48","Krsmanović","SRB","64","14","26","5.33","61.54","104"
"1741279003-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","49","Perić","SRB","62","23","62","5.17","42.18","147"
"1741279003-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","50","Nedeljković","SRB","61","6","27","5.08","64.89","94"
"1741279003-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","50","Faure","FRA","61","24","38","15.25","49.59","123"
"1741279003-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","51","Bultor","FRA","59","6","23","4.54","67.05","88"
"1741279003-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","51","Russo","ITA","59","9","33","5.36","58.42","101"
"1741279003-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","52","Yamauchi","JPN","58","13","38","3.87","53.21","109"
"1741279003-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","52","Ivović","SRB","58","28","64","7.25","38.67","150"
"1741279003-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","53","Demyanenko","CAN","57","11","24","4.75","61.96","92"
"1741279003-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","53","Plak","NED","57","13","39","4.75","52.29","109"
"1741279003-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","53","Boyer","FRA","57","18","49","6.33","45.97","124"
"1741279003-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","54","Bieniek","POL","56","12","29","5.09","57.73","97"
"1741279003-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","54","Flavio","BRA","56","7","28","4.31","61.54","91"
"1741279003-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","55","Poriya","IRI","55","21","36","5.50","49.11","112"
"1741279003-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","55","Kozamernik","SLO","55","8","34","4.23","56.70","97"
"1741279003-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","56","Szalpuk","POL","54","21","37","6.75","48.21","112"
"1741279003-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","57","Grozdanov","BUL","53","14","30","4.42","54.64","97"
"1741279003-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","57","Seyed","IRI","53","18","31","4.42","51.96","102"
"1741279003-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","57","Holt","USA","53","7","23","3.53","63.86","83"
"1741279003-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","58","Hajipour","IRI","52","25","45","4.73","42.62","122"
"1741279003-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","59","Zhai D.J.","CHN","50","28","61","4.17","35.97","139"
"1741279003-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","60","Li Y.Z.","CHN","49","9","23","4.08","60.49","81"
"1741279003-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","61","Esfandiar","IRI","48","28","55","4.00","36.64","131"
"1741279003-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","62","Rinaldi","ITA","47","15","47","3.13","43.12","109"
"1741279003-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","62","Masso","CUB","47","16","18","3.92","58.02","81"
