web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success Percentage,Total
"1741279003-163","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","96","Katic","SRB","7","7","17","0.88","22.58","31"
"1741279003-164","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","96","Urbanowicz","POL","7","3","3","0.88","53.85","13"
"1741279003-165","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","97","Zhang G.H.","CHN","6","2","5","0.75","46.15","13"
"1741279003-166","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","97","Taboada","CUB","6","4","3","0.50","46.15","13"
"1741279003-167","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","97","Kök","SLO","6","6","7","0.46","31.58","19"
"1741279003-168","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","97","Ropret","SLO","6","2","10","0.46","33.33","18"
"1741279003-169","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","97","Todorović","SRB","6","0","6","0.50","50.00","12"
"1741279003-170","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","97","Christenson","USA","6","2","13","0.40","28.57","21"
"1741279003-171","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","97","Maase","GER","6","1","5","0.75","50.00","12"
"1741279003-172","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","Wang H.B.","CHN","5","2","7","0.42","35.71","14"
"1741279003-173","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","Recine","ITA","5","4","9","1.25","27.78","18"
"1741279003-174","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","Cortesia","ITA","5","1","2","1.25","62.50","8"
"1741279003-175","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","Štalekar","SLO","5","1","4","0.38","50.00","10"
"1741279003-176","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","Ensing","USA","5","7","5","0.62","29.41","17"
"1741279003-177","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","Ma'a","USA","5","1","3","0.45","55.56","9"
"1741279003-178","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","Bruno","BRA","5","0","6","0.38","45.45","11"
"1741279003-179","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","Arthur","BRA","5","2","2","0.62","55.56","9"
"1741279003-180","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","Parkinson","NED","5","1","6","1.25","41.67","12"
"1741279003-181","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","Adamczyk","POL","5","2","2","1.25","55.56","9"
"1741279003-182","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","98","V. Bratoev","BUL","5","5","7","1.25","29.41","17"
"1741279003-183","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","99","Gironi","ITA","3","3","7","0.27","23.08","13"
"1741279003-184","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","99","Corre","FRA","3","2","2","0.75","42.86","7"
"1741279003-185","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","99","Mašulović N.","SRB","3","1","2","0.38","50.00","6"
"1741279003-186","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","99","Toniutti","FRA","3","0","1","0.60","75.00","4"
"1741279003-187","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","99","Nishiyama","JPN","3","3","1","1.00","42.86","7"
"1741279003-188","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Seganov","BUL","2","5","8","0.17","13.33","15"
"1741279003-189","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Sekita","JPN","2","0","4","0.13","33.33","6"
"1741279003-190","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Vadi","IRI","2","2","4","0.25","25.00","8"
"1741279003-191","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Herr","CAN","2","1","1","0.17","50.00","4"
"1741279003-192","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Łomacz","POL","2","0","0","0.13","100.00","2"
"1741279003-193","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Sawicki","POL","2","2","3","0.50","28.57","7"
"1741279003-194","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Firlej","POL","2","0","1","0.25","66.67","3"
"1741279003-195","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Korenblek","NED","2","0","0","0.17","100.00","2"
"1741279003-196","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Kampa","GER","2","0","0","0.25","100.00","2"
"1741279003-197","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","S.Ivanov","BUL","2","4","4","0.50","20.00","10"
"1741279003-198","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Larry","JPN","2","1","2","0.40","40.00","5"
"1741279003-199","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","100","Leal","BRA","2","0","2","2.00","50.00","4"
"1741279003-200","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","Zelayeta","ARG","1","0","0","0.08","100.00","1"
"1741279003-201","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","Schnitzer","CAN","1","0","1","0.25","50.00","2"
"1741279003-202","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","Thondike","CUB","1","2","8","0.08","9.09","11"
"1741279003-203","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","Pothron","FRA","1","2","0","0.12","33.33","3"
"1741279003-204","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","Henno","FRA","1","0","1","0.25","50.00","2"
"1741279003-205","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","Fernando","BRA","1","0","2","0.08","33.33","3"
"1741279003-206","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","Tille","GER","1","2","1","0.08","25.00","4"
"1741279003-207","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","Tuaniga","USA","1","0","1","0.25","50.00","2"
"1741279003-208","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","Mujanović","SLO","1","0","0","0.11","100.00","1"
"1741279003-209","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","Kovačević","SRB","1","7","3","0.25","9.09","11"
"1741279003-210","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","A. Ramezani","IRI","1","0","1","0.25","50.00","2"
"1741279003-211","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","101","A. Afshinfar","IRI","1","2","2","0.25","20.00","5"
"1741279003-212","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","G. Bratoev","BUL","0","0","0","","","0"
"1741279003-213","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Bozhilov","BUL","0","0","0","","","0"
"1741279003-214","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Dobrev","BUL","0","0","0","","","0"
"1741279003-215","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Guo C.","CHN","0","0","1","0.00","0.00","1"
"1741279003-216","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Liu M.","CHN","0","0","0","","","0"
"1741279003-217","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Chen J.J.","CHN","0","0","0","","","0"
"1741279003-218","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Qu Z.S.","CHN","0","0","0","","","0"
"1741279003-219","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Fukatsu","JPN","0","0","1","0.00","0.00","1"
"1741279003-220","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Ogawa","JPN","0","0","0","","","0"
"1741279003-221","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Yamamoto","JPN","0","0","0","","","0"
"1741279003-222","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Kai","JPN","0","0","0","","","0"
"1741279003-223","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Hazrat","IRI","0","0","0","","","0"
"1741279003-224","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Arman","IRI","0","0","0","","","0"
"1741279003-225","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Falaschi","ITA","0","0","0","","","0"
"1741279003-226","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Balaso","ITA","0","0","0","","","0"
"1741279003-227","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Gardini","ITA","0","0","0","","","0"
"1741279003-228","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Vitelli","ITA","0","1","3","0.00","0.00","4"
"1741279003-229","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Federici","ITA","0","0","0","","","0"
"1741279003-230","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Sanchez Pages","ARG","0","0","1","0.00","0.00","1"
"1741279003-231","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Danani","ARG","0","0","0","","","0"
"1741279003-232","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Blankenau","CAN","0","0","1","0.00","0.00","1"
"1741279003-233","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Lui","CAN","0","0","0","","","0"
"1741279003-234","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Currie","CAN","0","0","0","","","0"
"1741279003-235","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Garcia","CUB","0","0","0","","","0"
"1741279003-236","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Goide","CUB","0","0","0","","","0"
"1741279003-237","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","J. Gutierrez","CUB","0","1","1","0.00","0.00","2"
"1741279003-238","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Gorguet","CUB","0","0","0","","","0"
"1741279003-239","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Planinšič","SLO","0","0","2","0.00","0.00","2"
"1741279003-240","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Toman","SLO","0","0","0","","","0"
"1741279003-241","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Bračko","SLO","0","0","0","","","0"
"1741279003-242","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Koncilja","SLO","0","0","0","","","0"
"1741279003-243","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Kovačič","SLO","0","0","0","","","0"
"1741279003-244","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Kapur","SRB","0","0","0","","","0"
"1741279003-245","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Mašulović V.","SRB","0","0","2","0.00","0.00","2"
"1741279003-246","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Batak","SRB","0","0","1","0.00","0.00","1"
"1741279003-247","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Gajović","SRB","0","0","0","","","0"
"1741279003-248","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Krsteski","SRB","0","0","0","","","0"
"1741279003-249","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Petrović","SRB","0","1","0","0.00","0.00","1"
"1741279003-250","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Szymura","POL","0","0","0","","","0"
"1741279003-251","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Hawryluk","POL","0","0","0","","","0"
"1741279003-252","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Poręba","POL","0","0","0","","","0"
"1741279003-253","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Motta Paes","FRA","0","0","0","","","0"
"1741279003-254","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Henry","FRA","0","0","0","","","0"
"1741279003-255","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Diez","FRA","0","0","0","","","0"
"1741279003-256","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Basic","FRA","0","0","0","","","0"
"1741279003-257","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Loubeyre","FRA","0","0","0","","","0"
"1741279003-258","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Roehrig","FRA","0","0","0","","","0"
"1741279003-259","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","E. Shoji","USA","0","0","0","","","0"
"1741279003-260","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Van Der Ent","NED","0","0","0","","","0"
"1741279003-261","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Meijs","NED","0","1","2","0.00","0.00","3"
"1741279003-262","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Andringa","NED","0","0","0","","","0"
"1741279003-263","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Bak","NED","0","0","0","","","0"
"1741279003-264","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Wijkstra","NED","0","1","1","0.00","0.00","2"
"1741279003-265","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Lipke","NED","0","0","0","","","0"
"1741279003-266","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Maique","BRA","0","0","0","","","0"
"1741279003-267","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Thales","BRA","0","0","0","","","0"
"1741279003-268","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Thiery","BRA","0","0","0","","","0"
"1741279003-269","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Graven","GER","0","0","0","","","0"
"1741279003-270","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Walsh","CAN","0","0","0","","","0"
"1741279003-271","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Salehi","IRI","0","1","1","0.00","0.00","2"
"1741279003-272","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Zimmermann","GER","0","0","0","","","0"
"1741279003-273","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Günthör","GER","0","0","0","","","0"
"1741279003-274","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Dagostino","USA","0","0","0","","","0"
"1741279003-275","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Giraudo","ARG","0","1","0","0.00","0.00","1"
"1741279003-276","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Yang Y.M.","CHN","0","0","0","","","0"
"1741279003-277","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Chen L.Y.","CHN","0","0","0","","","0"
"1741279003-278","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Salparov","BUL","0","0","0","","","0"
"1741279003-279","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Raev","BUL","0","0","0","","","0"
"1741279003-280","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Sbertoli","ITA","0","0","0","","","0"
"1741279003-281","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Scanferla","ITA","0","0","0","","","0"
"1741279003-282","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Caneschi","ITA","0","0","0","","","0"
"1741279003-283","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Magalini","ITA","0","0","1","0.00","0.00","1"
"1741279003-284","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Zatorski","POL","0","0","0","","","0"
"1741279003-285","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Grebennikov","FRA","0","0","0","","","0"
"1741279003-286","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Huetz","FRA","0","0","0","","","0"
"1741279003-287","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Vaccari","BRA","0","0","1","0.00","0.00","1"
"1741279003-288","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Piccinelli","ITA","0","0","0","","","0"
"1741279003-289","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Sala","ITA","0","0","1","0.00","0.00","1"
"1741279003-290","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Eiro","JPN","0","0","0","","","0"
"1741279003-291","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Rao S.H.","CHN","0","0","0","","","0"
"1741279003-292","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Podraščanin","ITA","0","0","0","","","0"
"1741279003-293","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","M. R. Moazzen","IRI","0","0","0","","","0"
"1741279003-294","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Popiwczak","POL","0","0","0","","","0"
"1741279003-295","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Janusz","POL","0","0","2","0.00","0.00","2"
"1741279003-296","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","K. Russell","USA","0","0","0","","","0"
"1741279003-297","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","102","Daneshdoust","IRI","0","0","0","","","0"
