Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
64,Kolev,BUL,10,3,0,0.83,76.92,13
64,Dobrev,BUL,10,2,2,1.25,71.43,14
64,Hofer,CAN,10,7,0,0.83,58.82,17
64,Planinšič,SLO,10,2,1,0.77,76.92,13
64,Flavio,BRA,10,14,2,0.77,38.46,26
64,Judson,BRA,10,5,0,0.77,66.67,15
64,Ter Maat,NED,10,8,2,1.25,50.0,20
64,Lucas,BRA,10,3,2,1.11,66.67,15
64,Louati,FRA,10,7,5,1.11,45.45,22
64,Popiwczak,POL,10,10,0,1.43,50.0,20
65,Arman,IRI,9,0,0,1.12,100.0,9
65,Jendryk,USA,9,2,2,0.6,69.23,13
65,Huber,POL,9,10,2,0.82,42.86,21
65,Piccinelli,ITA,9,8,1,2.25,50.0,18
65,V. Bratoev,BUL,9,2,0,2.25,81.82,11
66,Wang B.,CHN,8,7,2,0.67,47.06,17
66,Hajipour,IRI,8,8,3,0.73,42.11,19
66,Gallego,ARG,8,2,1,0.62,72.73,11
66,Thondike,CUB,8,6,0,0.67,57.14,14
66,Katic,SRB,8,2,2,1.0,66.67,12
66,Vucicevic,SRB,8,6,1,0.67,53.33,15
66,Dulski,POL,8,1,2,2.0,72.73,11
66,Firlej,POL,8,3,4,1.0,53.33,15
66,Averill,USA,8,3,3,0.53,57.14,14
66,Chen L.Y.,CHN,8,5,2,1.0,53.33,15
66,Eiro,JPN,8,5,0,1.14,61.54,13
67,Petkov,BUL,7,2,0,0.58,77.78,9
67,Li Y.Z.,CHN,7,2,0,0.58,77.78,9
67,Z. Štern,SLO,7,6,3,0.54,43.75,16
67,Walsh,CAN,7,8,3,0.88,38.89,18
67,Anzani,ITA,7,1,0,1.75,87.5,8
67,Saadat,IRI,7,9,2,1.75,38.89,18
68,Szymanski,POL,6,0,3,1.5,66.67,9
68,Kłos,POL,6,5,1,0.75,50.0,12
68,Krage,GER,6,2,2,0.5,60.0,10
68,Toniutti,FRA,6,8,1,1.2,40.0,15
68,Fromm,GER,6,5,1,1.5,50.0,12
69,Wang D.C.,CHN,5,4,3,0.42,41.67,12
69,Kentaro,JPN,5,1,1,0.33,71.43,7
69,Tomita,JPN,5,2,0,0.33,71.43,7
69,Recine,ITA,5,1,1,1.25,71.43,7
69,Sanguinetti,ITA,5,0,0,0.45,100.0,5
69,Ramos,ARG,5,4,3,0.38,41.67,12
69,Butryn,POL,5,3,2,1.25,50.0,10
69,Abouba,BRA,5,8,4,1.25,29.41,17
69,Maase,GER,5,1,0,0.62,83.33,6
69,Cooper,CAN,5,5,1,0.62,45.45,11
69,Roque,BRA,5,2,1,0.56,62.5,8
69,A. Ramezani,IRI,5,5,0,1.25,50.0,10
70,Gotsev,BUL,4,0,0,0.33,100.0,4
70,Meijs,NED,4,1,1,0.33,66.67,6
70,Parkinson,NED,4,1,1,1.0,66.67,6
70,Yang Y.M.,CHN,4,3,1,0.5,50.0,8
70,Raev,BUL,4,4,0,0.5,50.0,8
70,Bołądź,POL,4,4,0,1.0,50.0,8
71,Zhang G.H.,CHN,3,0,1,0.38,75.0,4
71,Fukatsu,JPN,3,0,0,0.38,100.0,3
71,Jelveh,IRI,3,2,1,0.25,50.0,6
71,Cortesia,ITA,3,0,1,0.75,75.0,4
71,Gutierrez,CUB,3,2,1,0.25,50.0,6
71,J. Gutierrez,CUB,3,2,0,0.25,60.0,5
71,Mašulović V.,SRB,3,0,0,0.38,100.0,3
71,Tuaniga,USA,3,1,0,0.75,75.0,4
71,Le Goff,FRA,3,2,1,0.6,50.0,6
72,Guo C.,CHN,2,0,1,0.17,66.67,3
72,Falaschi,ITA,2,0,1,0.5,66.67,3
72,Vitelli,ITA,2,0,0,0.5,100.0,2
72,Blankenau,CAN,2,2,0,0.5,50.0,4
72,Urbanowicz,POL,2,2,0,0.25,50.0,4
72,Hawryluk,POL,2,0,0,0.5,100.0,2
72,Kessel,USA,2,0,1,0.25,66.67,3
72,Wijkstra,NED,2,1,1,0.5,50.0,4
72,Arthur,BRA,2,1,0,0.25,66.67,3
72,Zimmermann,GER,2,2,1,0.5,40.0,5
72,Mašulović N.,SRB,2,1,1,0.25,50.0,4
72,S.Ivanov,BUL,2,3,2,0.5,28.57,7
72,Adamczyk,POL,2,0,0,0.5,100.0,2
72,Larry,JPN,2,1,0,0.4,66.67,3
72,Kovačević,SRB,2,0,0,0.5,100.0,2
72,K. Russell,USA,2,1,0,0.5,66.67,3
72,Nishiyama,JPN,2,0,0,0.67,100.0,2
73,G. Bratoev,BUL,1,0,1,0.25,50.0,2
73,Liu M.,CHN,1,0,0,0.25,100.0,1
73,Kai,JPN,1,0,0,0.12,100.0,1
73,Gironi,ITA,1,2,0,0.09,33.33,3
73,Federici,ITA,1,1,0,0.12,50.0,2
73,Mosca,ITA,1,4,0,0.09,20.0,5
73,Pedroso,CUB,1,2,0,0.08,33.33,3
73,Kök,SLO,1,0,1,0.08,50.0,2
73,Sawicki,POL,1,0,0,0.25,100.0,1
73,Dagostino,USA,1,2,0,0.14,33.33,3
73,Giraudo,ARG,1,3,2,0.25,16.67,6
73,Ter Horst,NED,1,3,0,0.12,25.0,4
73,Caneschi,ITA,1,0,0,0.25,100.0,1
73,Vaccari,BRA,1,0,1,0.25,50.0,2
73,A. Afshinfar,IRI,1,0,0,0.25,100.0,1
74,Chen J.J.,CHN,0,0,0,,,0
74,Gardini,ITA,0,0,0,,,0
74,Zelayeta,ARG,0,0,0,,,0
74,Armoa Morel,ARG,0,2,2,0.0,0.0,4
74,Schnitzer,CAN,0,0,0,,,0
74,Goide,CUB,0,0,0,,,0
74,Toman,SLO,0,0,0,,,0
74,Bračko,SLO,0,0,0,,,0
74,Štalekar,SLO,0,1,1,0.0,0.0,2
74,Koncilja,SLO,0,0,0,,,0
74,Gajović,SRB,0,0,0,,,0
74,Krsteski,SRB,0,0,0,,,0
74,Petrović,SRB,0,0,0,,,0
74,Poręba,POL,0,0,0,,,0
74,Motta Paes,FRA,0,0,0,,,0
74,Henry,FRA,0,0,0,,,0
74,Pothron,FRA,0,0,0,,,0
74,Basic,FRA,0,0,0,,,0
74,Henno,FRA,0,0,0,,,0
74,Loubeyre,FRA,0,0,0,,,0
74,Roehrig,FRA,0,0,0,,,0
74,Ensing,USA,0,0,1,0.0,0.0,1
74,Korenblek,NED,0,0,0,,,0
74,Van Der Ent,NED,0,0,0,,,0
74,Bak,NED,0,0,0,,,0
74,Lipke,NED,0,0,0,,,0
74,Thiery,BRA,0,0,0,,,0
74,Salehi,IRI,0,0,0,,,0
74,Günthör,GER,0,0,0,,,0
74,Mujanović,SLO,0,0,0,,,0
74,Sbertoli,ITA,0,1,0,0.0,0.0,1
74,Magalini,ITA,0,0,0,,,0
74,Huetz,FRA,0,0,0,,,0
74,Sala,ITA,0,0,0,,,0
74,Rao S.H.,CHN,0,0,0,,,0
74,Podraščanin,ITA,0,0,0,,,0
74,Daneshdoust,IRI,0,0,0,,,0
74,Leal,BRA,0,0,0,,,0
