Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
1,Ishikawa,JPN,275,237,17,21
2,Romanò,ITA,223,185,16,22
3,Nimir,NED,217,184,8,25
4,Herrera,CUB,212,180,11,21
5,Zhang J.Y.,CHN,201,162,22,17
6,Ran,JPN,198,173,10,15
7,Luburić,SRB,192,172,7,13
8,Urnaut,SLO,186,164,4,18
9,Lucarelli,BRA,185,154,12,19
10,Palonsky,ARG,183,151,13,19
11,Alan,BRA,177,162,8,7
12,Čebulj,SLO,172,145,18,9
12,Defalco,USA,172,143,13,16
13,Lopez,CUB,171,148,7,16
14,Loser Bruno,ARG,168,103,53,12
15,Možič,SLO,164,140,14,10
16,Anderson,USA,161,136,8,17
17,Kujundžić,SRB,151,124,11,16
18,Michieletto,ITA,145,115,17,13
19,Weber,GER,143,125,9,9
20,Maar,CAN,140,117,15,8
21,Leon,POL,137,109,14,14
22,Miyaura,JPN,136,116,5,15
23,Nishida,JPN,134,119,3,12
23,Lavia,ITA,134,108,20,6
24,Lima B.,ARG,133,119,7,7
24,Vicentin,ARG,133,112,15,6
25,Sclater,CAN,132,114,11,7
26,Van Garderen,NED,128,103,15,10
27,A. Nikolov,BUL,126,114,5,7
28,Atanasov,BUL,121,100,13,8
28,Reichert,GER,121,104,8,9
29,Amin,IRI,118,96,8,14
30,Brehme,GER,117,93,13,11
31,Russell,USA,107,84,10,13
32,Jiang C.,CHN,104,94,6,4
33,Onodera,JPN,100,78,18,4
33,Yant,CUB,100,85,11,4
33,Krsmanović,SRB,100,64,29,7
34,Concepcion,CUB,99,67,29,3
35,Hoag,CAN,98,84,4,10
35,Jaeschke,USA,98,80,11,7
36,Honorato,BRA,97,77,15,5
37,Szwarc,CAN,96,80,7,9
37,Russo,ITA,96,59,24,13
37,Clevenot,FRA,96,86,7,3
38,Nedeljković,SRB,94,61,29,4
39,Yu Y.T.,CHN,92,83,4,5
39,Morteza,IRI,92,84,4,4
39,Tillie,FRA,92,86,4,2
40,Seyed,IRI,91,53,35,3
41,Kukartsev,ARG,90,81,6,3
42,Kozamernik,SLO,89,55,24,10
42,Plak,NED,89,57,25,7
42,Chinenyeze,FRA,89,70,15,4
43,Pajenk,SLO,87,66,18,3
44,Kaczmarek,POL,86,74,10,2
45,Patry,FRA,84,68,10,6
45,Śliwka,POL,84,74,6,4
46,Tuinstra,NED,83,69,3,11
47,Dimitrov,BUL,82,69,8,5
47,Kurek,POL,82,76,4,2
48,Demyanenko,CAN,80,57,16,7
48,Flavio,BRA,80,56,22,2
49,Asparuhov,BUL,79,71,6,2
49,Grozdanov,BUL,79,53,23,3
49,Faure,FRA,79,61,12,6
49,Carle,FRA,79,68,4,7
50,Kochanowski,POL,78,45,20,13
51,Bieniek,POL,77,56,9,12
52,Galassi,ITA,76,46,22,8
53,Yamauchi,JPN,74,58,12,4
53,Perić,SRB,74,62,8,4
53,Holt,USA,74,53,12,9
54,Bultor,FRA,73,59,10,4
55,Mohammad,IRI,72,46,21,5
56,Li Y.Z.,CHN,71,49,18,4
57,Smith,USA,69,41,22,6
58,Hajipour,IRI,68,52,12,4
58,Otávio,BRA,68,47,13,8
58,Ivović,SRB,68,58,5,5
59,Peng S.K.,CHN,65,46,15,4
59,Esfandiar,IRI,65,48,9,8
59,Huber,POL,65,39,17,9
60,Szalpuk,POL,64,54,6,4
61,Poriya,IRI,63,55,4,4
62,Boyer,FRA,62,57,3,2
63,Masso,CUB,59,47,9,3
63,Semeniuk,POL,59,46,8,5
64,Zhai D.J.,CHN,58,50,3,5
65,Wiltenburg,NED,57,34,20,3
66,Averill,USA,56,43,7,6
67,Kolev,BUL,54,41,9,4
68,Rinaldi,ITA,53,47,3,3
68,Krick,GER,53,40,13,0
69,Zerba,ARG,52,40,9,3
69,Ter Maat,NED,52,46,4,2
70,Judson,BRA,51,45,6,0
71,Z. Štern,SLO,49,44,4,1
71,Giannelli,ITA,49,27,14,8
72,Bednorz,POL,48,40,5,3
73,Böhme,GER,47,41,6,0
74,Lucas,BRA,46,32,9,5
75,Kłos,POL,45,27,16,2
75,Röhrs,GER,45,40,3,2
76,Karyagin,BUL,42,36,5,1
76,Jorna,NED,42,34,7,1
76,Louati,FRA,42,33,5,4
77,Bottolo,ITA,41,37,2,2
78,Eshenko,CAN,39,31,6,2
78,Van Berkel,CAN,39,30,9,0
78,Butryn,POL,39,32,1,6
78,Roque,BRA,39,32,6,1
79,Mergarejo,CUB,38,34,2,2
80,Jendryk,USA,36,30,4,2
80,Hanes,USA,36,27,3,6
80,Saadat,IRI,36,33,3,0
81,Abouba,BRA,35,33,1,1
82,Adriano,BRA,34,30,3,1
83,Dulski,POL,33,26,3,4
83,Krage,GER,33,23,8,2
83,Brand,GER,33,30,3,0
84,Wang D.C.,CHN,32,21,8,3
84,Jouffroy,FRA,32,20,5,7
84,Muagututia,USA,32,28,2,2
84,Fornal,POL,32,30,2,0
85,Otsuka,JPN,31,31,0,0
86,Wang B.,CHN,29,25,0,4
86,Schott,GER,29,21,4,4
86,Le Goff,FRA,29,20,8,1
86,Fromm,GER,29,28,0,1
87,Martinez Franchi,ARG,28,25,2,1
88,Cooper,CAN,27,21,2,4
89,Ramos,ARG,26,18,8,0
90,Kentaro,JPN,25,19,6,0
90,Christenson,USA,25,6,15,4
91,Gotsev,BUL,24,15,9,0
91,Mosca,ITA,24,17,7,0
92,Keemink,NED,23,12,8,3
93,Sanguinetti,ITA,21,12,4,5
93,Pedroso,CUB,21,10,11,0
93,Vucicevic,SRB,21,18,3,0
93,Brizard,FRA,21,8,6,7
94,Javad,IRI,20,13,5,2
94,Gallego,ARG,20,14,6,0
94,Taboada,CUB,20,6,14,0
94,Anzani,ITA,20,13,6,1
95,Hofer,CAN,19,18,0,1
95,M. Elser,CAN,19,17,2,0
96,Shahrooz,IRI,18,16,1,1
96,Parkinson,NED,18,5,12,1
97,Petkov,BUL,17,12,2,3
97,J.Manavi,IRI,17,17,0,0
97,Todorović,SRB,17,6,8,3
97,Tille,GER,17,1,7,9
98,Wang H.B.,CHN,16,5,8,3
98,De Cecco,ARG,16,7,5,4
98,Bołądź,POL,16,15,1,0
99,N. Penchev,BUL,15,13,2,0
99,Szymanski,POL,15,13,0,2
99,Bruno,BRA,15,5,6,4
100,Armoa Morel,ARG,14,10,1,3
101,Jelveh,IRI,13,12,1,0
101,Herr,CAN,13,2,8,3
101,Ropret,SLO,13,6,6,1
101,Kessel,USA,13,11,2,0
101,Kaliberda,GER,13,10,1,2
101,Ter Horst,NED,13,11,1,1
102,Gutierrez,CUB,11,9,2,0
102,Urbanowicz,POL,11,7,3,1
103,Porro P.,ITA,10,8,2,0
103,Ma'a,USA,10,5,4,1
104,Tomita,JPN,9,9,0,0
104,Recine,ITA,9,5,0,4
104,Maase,GER,9,6,3,0
104,Adamczyk,POL,9,5,4,0
105,Seganov,BUL,8,2,5,1
105,Sekita,JPN,8,2,1,5
105,Katic,SRB,8,7,1,0
106,Zhang G.H.,CHN,7,6,0,1
106,Arthur,BRA,7,5,2,0
106,V. Bratoev,BUL,7,5,1,1
107,Kök,SLO,6,6,0,0
107,Łomacz,POL,6,2,3,1
107,Ensing,USA,6,5,1,0
108,Cortesia,ITA,5,5,0,0
108,Thondike,CUB,5,1,3,1
108,Štalekar,SLO,5,5,0,0
108,Corre,FRA,5,3,1,1
108,Kampa,GER,5,2,1,2
109,Planinšič,SLO,4,0,4,0
109,Korenblek,NED,4,2,2,0
