Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
43,Danani,ARG,0,0,70,0.0,0.0,70
43,Zelayeta,ARG,0,0,0,,,0
43,Armoa Morel,ARG,0,0,6,0.0,0.0,6
43,Lima B.,ARG,0,2,11,0.0,0.0,13
43,Kukartsev,ARG,0,1,5,0.0,0.0,6
43,Vicentin,ARG,0,0,20,0.0,0.0,20
43,Ramos,ARG,0,0,4,0.0,0.0,4
43,Zerba,ARG,0,0,7,0.0,0.0,7
43,Eshenko,CAN,0,0,4,0.0,0.0,4
43,Hoag,CAN,0,0,47,0.0,0.0,47
43,Hofer,CAN,0,1,10,0.0,0.0,11
43,Demyanenko,CAN,0,0,11,0.0,0.0,11
43,Sclater,CAN,0,0,15,0.0,0.0,15
43,Van Berkel,CAN,0,2,16,0.0,0.0,18
43,Szwarc,CAN,0,0,9,0.0,0.0,9
43,Schnitzer,CAN,0,0,1,0.0,0.0,1
43,Lui,CAN,0,0,7,0.0,0.0,7
43,Currie,CAN,0,0,22,0.0,0.0,22
43,M. Elser,CAN,0,0,4,0.0,0.0,4
43,Masso,CUB,0,0,8,0.0,0.0,8
43,Mergarejo,CUB,0,0,12,0.0,0.0,12
43,Concepcion,CUB,0,1,8,0.0,0.0,9
43,Garcia,CUB,0,2,37,0.0,0.0,39
43,Gutierrez,CUB,0,0,2,0.0,0.0,2
43,Herrera,CUB,0,0,15,0.0,0.0,15
43,Lopez,CUB,0,2,48,0.0,0.0,50
43,Pedroso,CUB,0,0,0,,,0
43,J. Gutierrez,CUB,0,0,1,0.0,0.0,1
43,Yant,CUB,0,0,18,0.0,0.0,18
43,Gorguet,CUB,0,0,5,0.0,0.0,5
43,Pajenk,SLO,0,0,8,0.0,0.0,8
43,Kozamernik,SLO,0,0,27,0.0,0.0,27
43,Kök,SLO,0,0,1,0.0,0.0,1
43,Toman,SLO,0,0,0,,,0
43,Bračko,SLO,0,0,0,,,0
43,Štalekar,SLO,0,0,1,0.0,0.0,1
43,Koncilja,SLO,0,0,0,,,0
43,Kovačič,SLO,0,1,75,0.0,0.0,76
43,Z. Štern,SLO,0,0,12,0.0,0.0,12
43,Urnaut,SLO,0,1,61,0.0,0.0,62
43,Čebulj,SLO,0,2,44,0.0,0.0,46
43,Možič,SLO,0,0,16,0.0,0.0,16
43,Kapur,SRB,0,3,81,0.0,0.0,84
43,Mašulović V.,SRB,0,0,1,0.0,0.0,1
43,Katic,SRB,0,0,2,0.0,0.0,2
43,Krsmanović,SRB,0,0,15,0.0,0.0,15
43,Perić,SRB,0,0,3,0.0,0.0,3
43,Gajović,SRB,0,0,0,,,0
43,Luburić,SRB,0,0,27,0.0,0.0,27
43,Krsteski,SRB,0,0,0,,,0
43,Petrović,SRB,0,0,0,,,0
43,Vucicevic,SRB,0,0,3,0.0,0.0,3
43,Nedeljković,SRB,0,0,9,0.0,0.0,9
43,Szymanski,POL,0,0,4,0.0,0.0,4
43,Kłos,POL,0,0,4,0.0,0.0,4
43,Semeniuk,POL,0,1,14,0.0,0.0,15
43,Bieniek,POL,0,0,7,0.0,0.0,7
43,Urbanowicz,POL,0,0,4,0.0,0.0,4
43,Butryn,POL,0,1,10,0.0,0.0,11
43,Szymura,POL,0,0,14,0.0,0.0,14
43,Szalpuk,POL,0,0,13,0.0,0.0,13
43,Dulski,POL,0,0,1,0.0,0.0,1
43,Hawryluk,POL,0,0,0,,,0
43,Sawicki,POL,0,0,0,,,0
43,Poręba,POL,0,0,0,,,0
43,Motta Paes,FRA,0,0,6,0.0,0.0,6
43,Tillie,FRA,0,0,25,0.0,0.0,25
43,Henry,FRA,0,0,0,,,0
43,Bultor,FRA,0,0,3,0.0,0.0,3
43,Pothron,FRA,0,0,0,,,0
43,Diez,FRA,0,1,21,0.0,0.0,22
43,Faure,FRA,0,0,0,,,0
43,Basic,FRA,0,0,0,,,0
43,Jouffroy,FRA,0,0,2,0.0,0.0,2
43,Henno,FRA,0,0,0,,,0
43,Loubeyre,FRA,0,0,0,,,0
43,Roehrig,FRA,0,0,0,,,0
43,Anderson,USA,0,1,23,0.0,0.0,24
43,Russell,USA,0,0,18,0.0,0.0,18
43,Jendryk,USA,0,0,5,0.0,0.0,5
43,Ensing,USA,0,0,1,0.0,0.0,1
43,Defalco,USA,0,2,44,0.0,0.0,46
43,Hanes,USA,0,0,1,0.0,0.0,1
43,Holt,USA,0,0,12,0.0,0.0,12
43,Muagututia,USA,0,0,9,0.0,0.0,9
43,Averill,USA,0,1,5,0.0,0.0,6
43,Smith,USA,0,1,15,0.0,0.0,16
43,E. Shoji,USA,0,1,74,0.0,0.0,75
43,Kessel,USA,0,0,1,0.0,0.0,1
43,Korenblek,NED,0,0,0,,,0
