Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
23,Karyagin,BUL,5,10,8,0.42,-21.74,23
23,A. Nikolov,BUL,5,15,12,0.62,-31.25,32
23,Miyaura,JPN,5,21,14,0.33,-40.0,40
23,Javad,IRI,5,10,6,0.42,-23.81,21
23,De Cecco,ARG,5,20,16,0.56,-36.59,41
23,Jouffroy,FRA,5,11,16,0.38,-18.75,32
23,Ivović,SRB,5,13,15,0.62,-24.24,33
23,Bednorz,POL,5,11,7,0.45,-26.09,23
23,Louati,FRA,5,12,7,0.56,-29.17,24
24,Yu Y.T.,CHN,4,12,10,0.33,-30.77,26
24,Poriya,IRI,4,4,10,0.4,0.0,18
24,Morteza,IRI,4,22,13,0.36,-46.15,39
24,Sanguinetti,ITA,4,6,9,0.36,-10.53,19
24,Hoag,CAN,4,22,18,0.33,-40.91,44
24,Planinšič,SLO,4,7,7,0.31,-16.67,18
24,Z. Štern,SLO,4,15,9,0.31,-39.29,28
24,Urnaut,SLO,4,29,18,0.31,-49.02,51
24,Tillie,FRA,4,21,24,0.44,-34.69,49
24,Carle,FRA,4,9,11,0.31,-20.83,24
24,Jendryk,USA,4,15,17,0.27,-30.56,36
24,Ma'a,USA,4,5,7,0.36,-6.25,16
24,Schott,GER,4,3,8,0.33,6.67,15
24,Ter Maat,NED,4,5,5,0.5,-7.14,14
24,Kurek,POL,4,19,13,0.36,-41.67,36
24,Adamczyk,POL,4,4,2,1.0,0.0,10
25,Zhai D.J.,CHN,3,14,10,0.25,-40.74,27
25,Nishida,JPN,3,21,21,0.21,-40.0,45
25,Rinaldi,ITA,3,11,8,0.2,-36.36,22
25,Thondike,CUB,3,13,5,0.25,-47.62,21
25,Vucicevic,SRB,3,4,4,0.25,-9.09,11
25,Łomacz,POL,3,8,11,0.2,-22.73,22
25,Urbanowicz,POL,3,11,5,0.38,-42.11,19
25,Dulski,POL,3,2,5,0.75,10.0,10
25,Hanes,USA,3,6,4,0.27,-23.08,13
25,Meijs,NED,3,2,5,0.25,10.0,10
25,Tuinstra,NED,3,11,5,0.25,-42.11,19
25,Adriano,BRA,3,14,7,0.23,-45.83,24
25,Röhrs,GER,3,8,9,0.38,-25.0,20
25,Brand,GER,3,6,2,0.25,-27.27,11
25,Maase,GER,3,4,5,0.38,-8.33,12
25,Boyer,FRA,3,10,9,0.33,-31.82,22
25,Saadat,IRI,3,8,11,0.75,-22.73,22
26,N. Penchev,BUL,2,6,6,0.25,-28.57,14
26,Petkov,BUL,2,7,10,0.17,-26.32,19
26,Guo C.,CHN,2,3,2,0.17,-14.29,7
26,Porro P.,ITA,2,10,6,0.5,-44.44,18
26,Bottolo,ITA,2,7,4,0.18,-38.46,13
26,Martinez Franchi,ARG,2,7,7,0.15,-31.25,16
26,M. Elser,CAN,2,5,5,0.17,-25.0,12
26,Mergarejo,CUB,2,11,6,0.17,-47.37,19
26,Gutierrez,CUB,2,5,1,0.17,-37.5,8
26,Muagututia,USA,2,5,4,0.18,-27.27,11
26,Kessel,USA,2,4,0,0.25,-33.33,6
26,Korenblek,NED,2,0,2,0.17,50.0,4
26,Arthur,BRA,2,2,2,0.25,0.0,6
26,Cooper,CAN,2,1,1,0.25,25.0,4
26,Fornal,POL,2,8,8,0.29,-33.33,18
27,G. Bratoev,BUL,1,1,1,0.25,0.0,3
27,Sekita,JPN,1,30,27,0.07,-50.0,58
27,Jelveh,IRI,1,12,8,0.08,-52.38,21
27,Vadi,IRI,1,7,6,0.12,-42.86,14
27,Shahrooz,IRI,1,0,3,0.08,25.0,4
27,Armoa Morel,ARG,1,2,1,0.08,-25.0,4
27,J. Gutierrez,CUB,1,0,0,0.08,100.0,1
27,Mašulović V.,SRB,1,0,0,0.12,100.0,1
27,Katic,SRB,1,1,2,0.12,0.0,4
27,Batak,SRB,1,8,7,0.08,-43.75,16
27,Butryn,POL,1,5,5,0.25,-36.36,11
27,Firlej,POL,1,6,6,0.12,-38.46,13
27,Corre,FRA,1,9,10,0.25,-40.0,20
27,Ensing,USA,1,2,0,0.12,-33.33,3
27,Abouba,BRA,1,5,3,0.25,-44.44,9
27,Kaliberda,GER,1,4,1,0.08,-50.0,6
27,Kampa,GER,1,6,8,0.12,-33.33,15
27,Walsh,CAN,1,5,7,0.12,-30.77,13
27,Ter Horst,NED,1,3,4,0.12,-25.0,8
27,S.Ivanov,BUL,1,1,0,0.25,0.0,2
27,Sbertoli,ITA,1,1,0,0.09,0.0,2
27,Magalini,ITA,1,0,0,0.25,100.0,1
27,Bołądź,POL,1,5,6,0.25,-33.33,12
27,Eiro,JPN,1,5,2,0.14,-50.0,8
27,Toniutti,FRA,1,3,5,0.2,-22.22,9
27,Janusz,POL,1,11,12,0.14,-41.67,24
27,V. Bratoev,BUL,1,6,0,0.25,-71.43,7
28,Bozhilov,BUL,0,0,0,,,0
28,Dobrev,BUL,0,0,0,,,0
28,Liu M.,CHN,0,1,3,0.0,-25.0,4
28,Chen J.J.,CHN,0,0,0,,,0
28,Qu Z.S.,CHN,0,0,0,,,0
28,Zhang G.H.,CHN,0,1,0,0.0,-100.0,1
28,Wang B.,CHN,0,4,1,0.0,-80.0,5
28,Fukatsu,JPN,0,0,1,0.0,0.0,1
28,Tomita,JPN,0,0,0,,,0
28,Ogawa,JPN,0,0,0,,,0
28,Yamamoto,JPN,0,0,0,,,0
28,Kai,JPN,0,0,0,,,0
28,Hazrat,IRI,0,0,0,,,0
28,J.Manavi,IRI,0,1,4,0.0,-20.0,5
28,Arman,IRI,0,0,0,,,0
28,Falaschi,ITA,0,2,0,0.0,-100.0,2
28,Balaso,ITA,0,0,0,,,0
28,Recine,ITA,0,2,2,0.0,-50.0,4
28,Gardini,ITA,0,0,0,,,0
28,Cortesia,ITA,0,0,1,0.0,0.0,1
28,Gironi,ITA,0,0,3,0.0,0.0,3
28,Vitelli,ITA,0,3,3,0.0,-50.0,6
28,Federici,ITA,0,0,0,,,0
