Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
44,Balaso,ITA,0,0,0,,,0
44,Diamantini,ITA,0,2,65,0.0,0.0,67
44,Penna,ITA,0,0,0,,,0
44,Ambrose,ITA,0,0,0,,,0
44,Laurenzano,ITA,0,0,0,,,0
44,Pellegrino,ITA,0,0,0,,,0
44,Pochini,ITA,0,0,0,,,0
44,Palonsky,ARG,0,9,38,0.0,0.0,47
44,Rizzo,ITA,0,0,0,,,0
44,Partenio,ITA,0,4,10,0.0,0.0,14
44,Daldello,ITA,0,0,6,0.0,0.0,6
44,Pesaresi,ITA,0,0,0,,,0
44,Carbone,ITA,0,0,0,,,0
44,Russo,ITA,0,0,0,,,0
44,Condorelli,ITA,0,0,0,,,0
44,Bellanova,ITA,0,0,0,,,0
44,Tauletta,ITA,0,0,0,,,0
44,Ricci Maccarini,ITA,0,1,2,0.0,0.0,3
44,Lanza,ITA,0,10,12,0.0,0.0,22
44,Gianotti,ITA,0,0,0,,,0
44,Laurendi,ITA,0,0,0,,,0
44,Salsi,ITA,0,4,4,0.0,0.0,8
44,Rossi,ITA,0,0,0,,,0
44,Sartoretti,ITA,0,0,0,,,0
44,Palmisano,ITA,0,0,0,,,0
44,Bovolenta,ITA,0,3,5,0.0,0.0,8
44,Magliano,ITA,0,0,0,,,0
44,Volpe,ITA,0,0,0,,,0
44,Broccatelli,ITA,0,0,0,,,0
44,Baroni,ITA,0,0,0,,,0
44,Pascucci,ITA,0,0,0,,,0
44,Simoni,ITA,0,0,0,,,0
44,Coser,ITA,0,0,0,,,0
44,Dell'Osso,ITA,0,0,0,,,0
44,Parolari,ITA,0,0,0,,,0
44,Ranieri,ITA,0,0,0,,,0
44,Edwin,ITA,0,0,0,,,0
44,Tellone,ITA,0,0,0,,,0
