Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
1,Piano,ITA,83,127,116,2.77,-13.5,326
2,Zingel,ITA,79,151,190,2.39,-17.14,420
2,Simón,CUB,79,153,183,2.26,-17.83,415
3,Sole,ITA,77,165,186,2.2,-20.56,428
4,Chinenyeze,FRA,69,121,148,2.56,-15.38,338
5,Lisinac,SRB,68,158,157,2.27,-23.5,383
6,Mazzone,ITA,60,113,120,1.94,-18.09,293
7,Podraščanin,ITA,58,131,131,2.15,-22.81,320
7,Flavio,BRA,58,111,123,2.42,-18.15,292
8,Holt,USA,57,135,142,1.78,-23.35,334
8,Di Martino,ITA,57,140,155,1.97,-23.58,352
9,Vitelli,ITA,56,128,120,2.33,-23.68,304
10,Dirlic P.,CRO,54,71,95,1.86,-7.73,220
11,Giannelli,ITA,50,56,103,1.47,-2.87,209
12,Leon,POL,49,109,106,1.4,-22.73,264
12,Cortesia,ITA,49,132,130,1.69,-26.69,311
13,Stankovic,ITA,48,123,160,1.55,-22.66,331
14,Lavia,ITA,47,114,83,1.52,-27.46,244
14,Davyskiba,BLR,47,88,94,1.47,-17.9,229
14,Ngapeth,FRA,47,109,79,1.52,-26.38,235
15,Maar,CAN,46,94,112,1.48,-19.05,252
16,Anzani,ITA,44,123,147,1.29,-25.16,314
17,Možič,SLO,43,81,68,1.43,-19.79,192
17,Brizard,FRA,43,83,87,1.34,-18.78,213
18,Galassi,ITA,42,126,147,1.31,-26.67,315
18,Alletti,ITA,42,113,102,1.45,-27.63,257
19,Caneschi,ITA,41,115,127,1.21,-26.15,283
20,Rychlicki,ITA,40,109,90,1.21,-28.87,239
20,Grozdanov,BUL,40,75,91,1.29,-16.99,206
20,Lucarelli,BRA,40,58,72,1.18,-10.59,170
21,Bossi,ITA,39,102,123,1.18,-23.86,264
22,Patry,FRA,38,59,87,1.36,-11.41,184
23,A. Lagumdzija,TUR,37,83,78,1.16,-23.23,198
24,Mengozzi,ITA,36,77,76,1.12,-21.69,189
25,Dzavoronok,CZE,35,67,76,1.09,-17.98,178
26,Sbertoli,ITA,32,94,97,1.0,-27.8,223
26,Bottolo,ITA,32,63,48,1.33,-21.68,143
26,Jaeschke,USA,32,74,56,1.07,-25.93,162
27,Beretta,ITA,31,82,85,0.97,-25.76,198
27,Recine,ITA,31,93,48,0.91,-36.05,172
28,Anderson,USA,30,84,51,0.94,-32.73,165
28,Grozer,GER,30,72,61,1.0,-25.77,163
28,Cester,ITA,30,84,81,0.88,-27.69,195
28,Sabbi,ITA,30,55,66,1.03,-16.56,151
29,Ricci,ITA,29,57,80,0.85,-16.87,166
29,Raffaelli,ITA,29,54,53,0.88,-18.38,136
29,Candellaro,ITA,29,74,69,1.21,-26.16,172
30,Michieletto,ITA,28,74,93,0.88,-23.59,195
30,Weber,GER,28,80,58,1.17,-31.33,166
31,Aguenier,FRA,27,64,60,1.12,-24.5,151
31,Ishikawa,JPN,27,88,89,0.9,-29.9,204
32,Nimir,NED,26,80,100,0.87,-26.21,206
33,Jensen,DEN,25,56,64,0.83,-21.38,145
34,D'heer,BEL,24,51,38,0.75,-23.89,113
34,Yant,CUB,24,66,47,0.75,-30.66,137
35,Stefani,ITA,23,34,21,0.88,-14.1,78
36,Comparoni,ITA,22,49,46,1.0,-23.08,117
36,Mosca,ITA,22,51,59,0.71,-21.97,132
37,Saitta,ITA,21,54,69,0.88,-22.92,144
38,Kaziyski,BUL,20,71,77,0.65,-30.36,168
38,Asparuhov,BUL,20,56,48,0.67,-29.03,124
38,Spirito,ITA,20,39,65,0.67,-15.32,124
38,Leal,BRA,20,79,66,0.71,-35.76,165
39,João Rafael,BRA,19,63,36,0.79,-37.29,118
39,Wiltenburg,NED,19,36,41,0.68,-17.71,96
40,Baranowicz,ITA,18,89,119,0.55,-31.42,226
40,Magalini,ITA,18,30,16,0.6,-18.75,64
40,Vukasinovic,MNE,18,47,41,0.86,-27.36,106
41,Zanotti,ITA,17,36,33,0.57,-22.09,86
41,Erati,ITA,17,48,35,1.0,-31.0,100
41,De Cecco,ARG,17,76,71,0.49,-35.98,164
41,Randazzo,ITA,17,68,43,0.59,-39.84,128
42,Plotnytskyi,UKR,16,23,17,0.46,-12.5,56
42,Rinaldi,ITA,16,45,37,0.5,-29.59,98
42,Klapwijk,NED,16,45,33,0.67,-30.85,94
42,Fromm,GER,16,17,17,1.23,-2.0,50
43,Pinali,ITA,15,22,37,0.47,-9.46,74
43,Bruno,BRA,15,70,136,0.48,-24.89,221
43,Falaschi,ITA,15,62,88,0.56,-28.48,165
44,Nikolic,SRB,13,44,54,0.43,-27.93,111
44,Orduna,ITA,13,67,77,0.41,-34.39,157
44,Russell,USA,13,58,63,0.39,-33.58,134
44,Rossard T,FRA,13,60,30,0.38,-45.63,103
44,Loeppky,CAN,13,49,54,0.54,-31.03,116
44,Nishida,JPN,13,38,39,0.65,-27.78,90
44,Mauricio,BRA,13,49,55,0.54,-30.77,117
44,Porro P.,ITA,13,78,81,0.42,-37.79,172
45,Sanguinetti,ITA,12,35,27,0.39,-31.08,74
45,Ulrich,SUI,12,30,19,0.5,-29.51,61
45,Volpato,ITA,12,49,44,0.5,-35.24,105
46,Ter Horst,NED,11,24,22,0.31,-22.81,57
46,Russo,ITA,11,16,21,0.33,-10.42,48
46,Szwarc,CAN,11,21,17,1.57,-20.41,49
46,T. Štern,SLO,11,27,25,0.33,-25.4,63
46,Kovar,ITA,11,22,16,0.41,-22.45,49
47,Garcia,USA,10,38,59,0.29,-26.17,107
47,Diamantini,ITA,10,17,29,0.29,-12.5,56
47,Gargiulo,ITA,10,36,28,0.42,-35.14,74
48,Gironi,ITA,9,33,12,0.31,-44.44,54
49,Karyagin,BUL,8,16,11,0.25,-22.86,35
49,Fusaro,ITA,8,33,21,0.47,-40.32,62
49,Canella,ITA,8,36,34,0.33,-35.9,78
49,Freimanis,LAT,8,16,5,0.28,-27.59,29
49,Zaytsev,ITA,8,81,56,0.32,-50.34,145
49,Katic,SRB,8,5,6,0.4,15.79,19
50,Van Garderen,NED,7,30,16,0.23,-43.4,53
50,Biernat,POL,7,32,41,0.29,-31.25,80
50,Ljaftov,MKD,7,22,23,0.29,-28.85,52
50,Candeli,ITA,7,41,34,0.29,-41.46,82
50,Juantorena,ITA,7,22,12,0.27,-36.59,41
51,Qafarena,ALB,6,13,20,0.2,-17.95,39
51,Basic,FRA,6,22,24,0.25,-30.77,52
51,Wounembaina,CMR,6,7,5,0.21,-5.56,18
52,Douglas,BRA,5,19,17,0.5,-34.15,41
52,Romanò,ITA,5,29,38,0.19,-33.33,72
53,Travica,ITA,4,13,25,0.11,-21.43,42
53,Cavuto,ITA,4,13,11,0.12,-32.14,28
53,Raphael,BRA,4,32,40,0.13,-36.84,76
53,Dimitrov,BUL,4,6,5,0.17,-13.33,15
53,Djokic,SUI,4,10,4,0.14,-33.33,18
53,Dosanjh,AUS,4,8,11,0.17,-17.39,23
53,Saadat,IRI,4,5,8,0.2,-5.88,17
54,Schiro,ITA,3,6,4,0.13,-23.08,13
54,Petrov,BUL,3,14,5,0.12,-50.0,22
54,Bovolenta,ITA,3,2,3,1.0,12.5,8
55,S. Ngapeth,FRA,2,4,5,0.06,-18.18,11
55,Zimmermann,GER,2,44,65,0.08,-37.84,111
55,Sottile,ITA,2,7,2,0.06,-45.45,11
56,Dardzāns,LAT,1,0,0,0.03,100.0,1
56,Sperotto,ITA,1,4,4,0.03,-33.33,9
