web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1742808566-193","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Salsi","ITA","0","0","0","","","0"
"1742808566-194","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Rossi","ITA","0","0","0","","","0"
"1742808566-195","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Sartoretti","ITA","0","0","0","","","0"
"1742808566-196","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Palmisano","ITA","0","0","0","","","0"
"1742808566-197","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Magliano","ITA","0","0","0","","","0"
"1742808566-198","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Volpe","ITA","0","0","0","","","0"
"1742808566-199","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Broccatelli","ITA","0","0","0","","","0"
"1742808566-200","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Baroni","ITA","0","0","0","","","0"
"1742808566-201","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Pascucci","ITA","0","0","0","","","0"
"1742808566-202","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Simoni","ITA","0","0","0","","","0"
"1742808566-203","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Coser","ITA","0","0","0","","","0"
"1742808566-204","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Dell'Osso","ITA","0","1","1","0.00","0.00","2"
"1742808566-205","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Parolari","ITA","0","0","0","","","0"
"1742808566-206","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Ranieri","ITA","0","0","0","","","0"
"1742808566-207","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Edwin","ITA","0","0","0","","","0"
"1742808566-208","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Tellone","ITA","0","0","0","","","0"
