web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1742808566-92","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","83","Zanotti","ITA","45","6","15","1.50","68.18","66"
"1742808566-93","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","84","Orioli","ITA","42","15","50","1.83","39.25","107"
"1742808566-94","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","85","Candeli","ITA","41","13","25","1.71","51.90","79"
"1742808566-95","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","86","Gargiulo","ITA","40","8","18","1.67","60.61","66"
"1742808566-96","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","86","Wounembaina","CMR","40","12","27","1.43","50.63","79"
"1742808566-97","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","87","Comparoni","ITA","39","10","31","1.77","48.75","80"
"1742808566-98","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","88","Mosca","ITA","37","3","18","1.19","63.79","58"
"1742808566-99","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","89","Saadat","IRI","35","16","28","1.75","44.30","79"
"1742808566-100","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","90","Erati","ITA","34","9","37","2.00","42.50","80"
"1742808566-101","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","90","Lanza","ITA","34","9","17","6.80","56.67","60"
"1742808566-102","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","91","Nelli","ITA","33","9","20","2.75","53.23","62"
"1742808566-103","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","92","Wiltenburg","NED","32","9","25","1.14","48.48","66"
"1742808566-104","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","93","Giannelli","ITA","31","7","34","0.91","43.06","72"
"1742808566-105","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","93","Petrov","BUL","31","23","29","1.29","37.35","83"
"1742808566-106","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","94","Palonsky","ARG","30","10","42","3.00","36.59","82"
"1742808566-107","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","95","D'heer","BEL","28","7","28","0.88","44.44","63"
"1742808566-108","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","96","Antonov","ITA","27","26","42","0.79","28.42","95"
"1742808566-109","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","97","S. Ngapeth","FRA","25","7","19","0.81","49.02","51"
"1742808566-110","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","98","Russo","ITA","24","3","11","0.73","63.16","38"
"1742808566-111","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","98","Sanguinetti","ITA","24","3","28","0.77","43.64","55"
"1742808566-112","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","98","Fusaro","ITA","24","8","24","1.41","42.86","56"
"1742808566-113","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","99","Spirito","ITA","22","1","21","0.73","50.00","44"
"1742808566-114","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","99","De Cecco","ARG","22","7","22","0.63","43.14","51"
"1742808566-115","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","100","Sbertoli","ITA","21","4","17","0.66","50.00","42"
"1742808566-116","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","100","Dimitrov","BUL","21","18","25","0.91","32.81","64"
"1742808566-117","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","100","Diamantini","ITA","21","3","20","0.62","47.73","44"
"1742808566-118","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","100","Freimanis","LAT","21","4","15","0.72","52.50","40"
"1742808566-119","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","101","Djokic","SUI","18","4","22","0.64","40.91","44"
"1742808566-120","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","102","Orduna","ITA","17","5","20","0.53","40.48","42"
"1742808566-121","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","102","Falaschi","ITA","17","0","10","0.63","62.96","27"
"1742808566-122","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","102","Porro P.","ITA","17","12","25","0.55","31.48","54"
"1742808566-123","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","103","Biernat","POL","16","6","13","0.67","45.71","35"
"1742808566-124","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","103","Zimmermann","GER","16","2","15","0.67","48.48","33"
"1742808566-125","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","104","Crosato","ITA","15","2","6","0.62","65.22","23"
"1742808566-126","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","105","Bruno","BRA","14","1","12","0.45","51.85","27"
"1742808566-127","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","106","Baranowicz","ITA","12","2","26","0.36","30.00","40"
"1742808566-128","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","106","Schiro","ITA","12","10","15","0.52","32.43","37"
"1742808566-129","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","107","Travica","ITA","11","1","4","0.31","68.75","16"
"1742808566-130","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","107","Saitta","ITA","11","5","15","0.46","35.48","31"
"1742808566-131","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","108","Bisi","ITA","9","18","14","0.82","21.95","41"
"1742808566-132","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","109","Maiocchi","ITA","8","6","9","0.26","34.78","23"
"1742808566-133","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","110","Nicotra","ITA","6","4","4","0.26","42.86","14"
"1742808566-134","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","111","Dosanjh","AUS","5","2","1","0.22","62.50","8"
"1742808566-135","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","112","Albergati","ITA","4","0","2","0.13","66.67","6"
"1742808566-136","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","112","Raphael","BRA","4","0","4","0.13","50.00","8"
"1742808566-137","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","113","Pujol","FRA","3","1","4","0.09","37.50","8"
