Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
121,Gaggini,ITA,0,0,0,0
121,Gollini,ITA,0,0,0,0
121,Rossini,ITA,0,0,0,0
121,Catania,ITA,0,0,0,0
121,Tondo,ITA,0,0,0,0
121,Scanferla,ITA,0,0,0,0
121,Pirazzoli,ITA,0,0,0,0
121,Goi,ITA,0,0,0,0
121,Peslac,ITA,0,0,0,0
121,Bassanello,ITA,0,0,0,0
121,Gottardo,ITA,0,0,0,0
121,Guzzo,ITA,0,0,0,0
121,Marchisio,ITA,0,0,0,0
121,Jeroncic,ITA,0,0,0,0
121,Balaso,ITA,0,0,0,0
121,Penna,ITA,0,0,0,0
121,Ambrose,ITA,0,0,0,0
121,Laurenzano,ITA,0,0,0,0
121,Pellegrino,ITA,0,0,0,0
121,Pochini,ITA,0,0,0,0
121,Rizzo,ITA,0,0,0,0
121,Daldello,ITA,0,0,0,0
121,Pesaresi,ITA,0,0,0,0
121,Carbone,ITA,0,0,0,0
121,Russo,ITA,0,0,0,0
121,Condorelli,ITA,0,0,0,0
121,Bellanova,ITA,0,0,0,0
121,Tauletta,ITA,0,0,0,0
121,Ricci Maccarini,ITA,0,0,0,0
121,Gianotti,ITA,0,0,0,0
121,Laurendi,ITA,0,0,0,0
121,Rossi,ITA,0,0,0,0
121,Sartoretti,ITA,0,0,0,0
121,Palmisano,ITA,0,0,0,0
121,Magliano,ITA,0,0,0,0
121,Volpe,ITA,0,0,0,0
121,Broccatelli,ITA,0,0,0,0
121,Baroni,ITA,0,0,0,0
121,Pascucci,ITA,0,0,0,0
121,Simoni,ITA,0,0,0,0
121,Coser,ITA,0,0,0,0
121,Dell'Osso,ITA,0,0,0,0
121,Parolari,ITA,0,0,0,0
121,Ranieri,ITA,0,0,0,0
121,Edwin,ITA,0,0,0,0
121,Tellone,ITA,0,0,0,0
