Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
80,Szwarc,CAN,19,19,10,2.71,39.58,48
80,Cavuto,ITA,19,8,13,0.59,47.5,40
80,Ran,JPN,19,11,6,1.46,52.78,36
81,Flavio,BRA,18,21,16,0.75,32.73,55
81,Lanza,ITA,18,7,2,3.6,66.67,27
82,Travica,ITA,17,26,17,0.49,28.33,60
82,Picchio,ITA,17,22,8,0.52,36.17,47
82,Romanò,ITA,17,18,15,0.65,34.0,50
82,André,QAT,17,16,15,1.0,35.42,48
83,Grozdanov,BUL,16,10,12,0.52,42.11,38
83,Orioli,ITA,16,12,3,0.7,51.61,31
83,Volpato,ITA,16,6,5,0.67,59.26,27
84,D'heer,BEL,15,2,6,0.47,65.22,23
85,Zanotti,ITA,14,11,6,0.47,45.16,31
85,Karyagin,BUL,14,12,7,0.44,42.42,33
86,Beretta,ITA,13,15,25,0.41,24.53,53
86,Candellaro,ITA,13,11,27,0.54,25.49,51
87,Russo,ITA,12,4,2,0.36,66.67,18
87,S. Ngapeth,FRA,12,8,3,0.39,52.17,23
87,Djokic,SUI,12,9,3,0.43,50.0,24
88,Canella,ITA,11,4,9,0.46,45.83,24
89,Sanguinetti,ITA,10,1,5,0.32,62.5,16
89,Erati,ITA,10,5,9,0.59,41.67,24
89,Candeli,ITA,10,10,12,0.42,31.25,32
90,De Angelis,ITA,9,5,7,0.28,42.86,21
90,Pujol,FRA,9,9,4,0.26,40.91,22
90,Gargiulo,ITA,9,5,11,0.38,36.0,25
90,Daldello,ITA,9,7,6,0.32,40.91,22
90,Wiltenburg,NED,9,8,10,0.32,33.33,27
90,Nelli,ITA,9,7,5,0.75,42.86,21
91,Sperotto,ITA,8,3,2,0.25,61.54,13
91,Zoppellari,ITA,8,9,2,0.33,42.11,19
91,Palonsky,ARG,8,2,9,0.8,42.11,19
91,Staforini,ITA,8,2,2,0.26,66.67,12
91,Wounembaina,CMR,8,10,17,0.29,22.86,35
92,Nikolic,SRB,7,12,9,0.23,25.0,28
92,Comparoni,ITA,7,13,9,0.32,24.14,29
92,Dimitrov,BUL,7,6,3,0.3,43.75,16
92,Bassanello,ITA,7,7,2,0.29,43.75,16
92,Schiro,ITA,7,0,1,0.3,87.5,8
92,Dosanjh,AUS,7,10,7,0.3,29.17,24
93,Sala,ITA,6,9,5,0.22,30.0,20
93,Diamantini,ITA,6,2,9,0.18,35.29,17
94,Freimanis,LAT,5,4,4,0.17,38.46,13
94,Bisi,ITA,5,2,6,0.45,38.46,13
94,Saadat,IRI,5,7,7,0.25,26.32,19
95,Giani,ITA,4,2,1,0.12,57.14,7
95,Marchisio,ITA,4,4,5,0.11,30.77,13
96,Calligaro,ITA,2,6,3,0.07,18.18,11
96,Galliani,ITA,2,3,0,0.07,40.0,5
96,Fusaro,ITA,2,10,11,0.12,8.7,23
96,Crosato,ITA,2,2,2,0.08,33.33,6
96,Sottile,ITA,2,1,4,0.06,28.57,7
96,Nicotra,ITA,2,5,3,0.09,20.0,10
96,Maiocchi,ITA,2,4,5,0.06,18.18,11
96,Mosca,ITA,2,4,15,0.06,9.52,21
97,Dardzāns,LAT,0,0,0,,,0
97,Krick,GER,0,0,0,,,0
97,Albergati,ITA,0,0,1,0.0,0.0,1
97,Mitrašinović,CRO,0,0,0,,,0
97,Tondo,ITA,0,1,0,0.0,0.0,1
97,Pirazzoli,ITA,0,2,0,0.0,0.0,2
97,Peslac,ITA,0,0,0,,,0
97,Guzzo,ITA,0,0,0,,,0
97,Jeroncic,ITA,0,0,0,,,0
97,Penna,ITA,0,0,0,,,0
97,Ambrose,ITA,0,0,0,,,0
97,Pellegrino,ITA,0,0,0,,,0
97,Partenio,ITA,0,1,2,0.0,0.0,3
97,Carbone,ITA,0,0,0,,,0
97,Russo,ITA,0,0,0,,,0
97,Condorelli,ITA,0,0,0,,,0
97,Bellanova,ITA,0,0,0,,,0
97,Tauletta,ITA,0,0,0,,,0
97,Ricci Maccarini,ITA,0,0,0,,,0
97,Gianotti,ITA,0,0,0,,,0
97,Laurendi,ITA,0,0,0,,,0
97,Salsi,ITA,0,0,2,0.0,0.0,2
97,Rossi,ITA,0,0,0,,,0
97,Sartoretti,ITA,0,0,0,,,0
97,Palmisano,ITA,0,0,0,,,0
97,Bovolenta,ITA,0,0,0,,,0
97,Magliano,ITA,0,0,0,,,0
97,Volpe,ITA,0,0,0,,,0
97,Broccatelli,ITA,0,0,0,,,0
97,Baroni,ITA,0,0,0,,,0
97,Pascucci,ITA,0,0,0,,,0
97,Simoni,ITA,0,0,0,,,0
97,Coser,ITA,0,0,0,,,0
97,Dell'Osso,ITA,0,0,1,0.0,0.0,1
97,Parolari,ITA,0,0,0,,,0
97,Ranieri,ITA,0,0,0,,,0
97,Edwin,ITA,0,0,0,,,0
97,Tellone,ITA,0,0,0,,,0
