Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
1,Brizard,FRA,1920,16,893,60.0,67.87,2829
2,Bruno,BRA,1660,10,1001,53.55,62.15,2671
3,Orduna,ITA,1530,11,933,47.81,61.84,2474
4,Giannelli,ITA,1160,8,1074,34.12,51.74,2242
5,De Cecco,ARG,958,13,1500,27.37,38.77,2471
6,Baranowicz,ITA,849,13,1918,25.73,30.54,2780
7,Spirito,ITA,802,6,722,26.73,52.42,1530
8,Sbertoli,ITA,598,10,1780,18.69,25.04,2388
8,Zimmermann,GER,598,14,1239,24.92,32.31,1851
9,Saitta,ITA,590,11,1353,24.58,30.19,1954
10,Raphael,BRA,564,7,587,18.8,48.7,1158
11,Falaschi,ITA,526,16,1649,19.48,24.01,2191
12,Biernat,POL,380,11,1098,15.83,25.52,1489
13,Porro P.,ITA,349,12,2110,11.26,14.12,2471
14,Travica,ITA,199,3,266,5.69,42.52,468
15,André,QAT,123,6,419,7.24,22.45,548
16,Pujol,FRA,121,1,93,3.56,56.28,215
17,Sperotto,ITA,119,1,4,3.72,95.97,124
18,Ngapeth,FRA,98,3,77,3.16,55.06,178
19,Zenger,GER,96,0,51,3.0,65.31,147
20,Dosanjh,AUS,86,6,169,3.74,32.95,261
21,Zoppellari,ITA,72,1,153,3.0,31.86,226
22,Davyskiba,BLR,70,4,45,2.19,58.82,119
23,Federici,ITA,67,5,21,2.16,72.04,93
24,Rossini,ITA,56,1,37,1.87,59.57,94
25,Kaziyski,BUL,51,3,34,1.65,57.95,88
26,Bonami,ITA,49,1,90,1.69,35.0,140
27,Scanferla,ITA,41,4,72,1.24,35.04,117
28,Giani,ITA,38,3,21,1.15,61.29,62
28,Lavia,ITA,38,3,26,1.23,56.72,67
28,Calligaro,ITA,38,4,58,1.27,38.0,100
29,Michieletto,ITA,37,2,29,1.16,54.41,68
30,Daldello,ITA,35,1,120,1.25,22.44,156
31,Dzavoronok,CZE,31,3,31,0.97,47.69,65
32,Balaso,ITA,30,1,94,0.86,24.0,125
33,Cavaccini,ITA,29,3,140,0.94,16.86,172
34,Colaci,ITA,26,1,119,0.74,17.81,146
34,Partenio,ITA,26,3,68,1.08,26.8,97
35,Leal,BRA,25,0,26,0.89,49.02,51
36,Sottile,ITA,24,1,117,0.69,16.9,142
37,Nimir,NED,23,2,25,0.77,46.0,50
37,Lucarelli,BRA,23,3,73,0.68,23.23,99
38,Laurenzano,ITA,22,1,110,0.81,16.54,133
39,Grozer,GER,21,2,19,0.7,50.0,42
39,Goi,ITA,21,2,105,0.88,16.41,128
40,Gottardo,ITA,20,2,69,0.83,21.98,91
41,Asparuhov,BUL,18,3,16,0.6,48.65,37
41,Pesaresi,ITA,18,2,123,0.58,12.59,143
42,Podraščanin,ITA,17,1,13,0.63,54.84,31
42,Van Garderen,NED,17,1,9,0.57,62.96,27
42,Rossard T,FRA,17,1,30,0.5,35.42,48
42,Katic,SRB,17,0,7,0.85,70.83,24
43,Leon,POL,15,3,64,0.43,18.29,82
44,Anderson,USA,14,0,76,0.44,15.56,90
44,Beretta,ITA,14,1,5,0.44,70.0,20
44,Loeppky,CAN,14,1,61,0.58,18.42,76
44,Ishikawa,JPN,14,6,94,0.47,12.28,114
45,Piccinelli,ITA,13,1,34,0.37,27.08,48
45,Lisinac,SRB,13,0,11,0.43,54.17,24
45,Jensen,DEN,13,3,34,0.43,26.0,50
45,Rizzo,ITA,13,2,61,0.54,17.11,76
45,Salsi,ITA,13,0,27,0.54,32.5,40
46,Pinali,ITA,12,0,10,0.38,54.55,22
46,Gaggini,ITA,12,1,15,0.38,42.86,28
46,Jaeschke,USA,12,3,98,0.4,10.62,113
46,Zaytsev,ITA,12,1,25,0.48,31.58,38
47,Aguenier,FRA,11,1,9,0.46,52.38,21
47,Možič,SLO,11,2,25,0.37,28.95,38
47,Stankovic,ITA,11,0,16,0.35,40.74,27
47,Mauricio,BRA,11,4,76,0.46,12.09,91
48,Juantorena,ITA,10,0,17,0.38,37.04,27
48,Yant,CUB,10,0,20,0.31,33.33,30
49,Maar,CAN,9,5,73,0.29,10.34,87
49,Galassi,ITA,9,0,8,0.28,52.94,17
49,Recine,ITA,9,0,20,0.26,31.03,29
49,Bottolo,ITA,9,2,55,0.38,13.64,66
49,Kovar,ITA,9,0,20,0.33,31.03,29
50,Donati,ITA,8,1,11,0.27,40.0,20
50,Sabbi,ITA,8,2,37,0.28,17.02,47
51,Plotnytskyi,UKR,7,0,29,0.2,19.44,36
51,Grozdanov,BUL,7,0,5,0.23,58.33,12
51,Catania,ITA,7,0,4,0.21,63.64,11
51,Simón,CUB,7,1,20,0.2,25.0,28
51,Anzani,ITA,7,1,10,0.21,38.89,18
51,Stefani,ITA,7,0,17,0.27,29.17,24
51,Gironi,ITA,7,1,22,0.24,23.33,30
52,Cortesia,ITA,6,1,8,0.21,40.0,15
52,T. Štern,SLO,6,1,7,0.18,42.86,14
52,Holt,USA,6,1,7,0.19,42.86,14
52,João Rafael,BRA,6,1,44,0.25,11.76,51
52,Fromm,GER,6,2,13,0.46,28.57,21
53,Rychlicki,ITA,5,2,48,0.15,9.09,55
53,Rinaldi,ITA,5,1,29,0.16,14.29,35
53,Raffaelli,ITA,5,2,29,0.15,13.89,36
53,D'heer,BEL,5,0,1,0.16,83.33,6
53,Nikolic,SRB,5,0,2,0.17,71.43,7
53,Karyagin,BUL,5,2,1,0.16,62.5,8
53,Gollini,ITA,5,2,2,0.17,55.56,9
53,A. Lagumdzija,TUR,5,1,10,0.16,31.25,16
53,Ulrich,SUI,5,0,13,0.21,27.78,18
53,Petrov,BUL,5,0,3,0.21,62.5,8
53,Garcia,USA,5,2,8,0.14,33.33,15
53,Randazzo,ITA,5,0,58,0.17,7.94,63
54,Sole,ITA,4,1,18,0.11,17.39,23
54,Zingel,ITA,4,0,32,0.12,11.11,36
54,Bossi,ITA,4,3,16,0.12,17.39,23
54,Magalini,ITA,4,1,11,0.13,25.0,16
54,S. Ngapeth,FRA,4,1,1,0.13,66.67,6
54,Antonov,ITA,4,0,3,0.12,57.14,7
54,Vitelli,ITA,4,2,14,0.17,20.0,20
54,Alletti,ITA,4,2,33,0.14,10.26,39
54,Romanò,ITA,4,0,7,0.15,36.36,11
54,Chinenyeze,FRA,4,4,36,0.15,9.09,44
55,Ricci,ITA,3,1,15,0.09,15.79,19
55,Mengozzi,ITA,3,0,5,0.09,37.5,8
55,De Angelis,ITA,3,0,3,0.09,50.0,6
55,Qafarena,ALB,3,1,8,0.1,25.0,12
55,Mazzone,ITA,3,2,7,0.1,25.0,12
55,Caneschi,ITA,3,0,6,0.09,33.33,9
55,Ljaftov,MKD,3,4,21,0.12,10.71,28
55,Marchisio,ITA,3,0,3,0.09,50.0,6
55,Di Martino,ITA,3,1,13,0.1,17.65,17
55,Mosca,ITA,3,1,6,0.1,30.0,10
56,Ter Horst,NED,2,1,11,0.06,14.29,14
56,Cavuto,ITA,2,1,7,0.06,20.0,10
56,Sala,ITA,2,0,0,0.07,100.0,2
56,Vukasinovic,MNE,2,2,25,0.1,6.9,29
56,Dimitrov,BUL,2,0,4,0.09,33.33,6
56,Klapwijk,NED,2,4,31,0.08,5.41,37
56,Peslac,ITA,2,0,3,0.5,40.0,5
56,Weber,GER,2,4,26,0.08,6.25,32
56,Bisi,ITA,2,0,3,0.18,40.0,5
56,Candellaro,ITA,2,2,13,0.08,11.76,17
56,Basic,FRA,2,0,19,0.08,9.52,21
56,Flavio,BRA,2,0,11,0.08,15.38,13
56,Piano,ITA,2,3,24,0.07,6.9,29
56,Wounembaina,CMR,2,0,4,0.07,33.33,6
56,Ran,JPN,2,1,5,0.15,25.0,8
57,Szwarc,CAN,1,1,5,0.14,14.29,7
57,Zanotti,ITA,1,0,14,0.03,6.67,15
57,Comparoni,ITA,1,0,6,0.05,14.29,7
57,Sanguinetti,ITA,1,0,2,0.03,33.33,3
57,Russell,USA,1,0,21,0.03,4.55,22
57,Erati,ITA,1,1,6,0.06,12.5,8
57,Orioli,ITA,1,0,9,0.04,10.0,10
57,Canella,ITA,1,1,3,0.04,20.0,5
57,Diamantini,ITA,1,0,7,0.03,12.5,8
57,Nishida,JPN,1,2,15,0.05,5.56,18
57,Douglas,BRA,1,1,17,0.1,5.26,19
57,Djokic,SUI,1,0,5,0.04,16.67,6
57,Lanza,ITA,1,1,5,0.2,14.29,7
57,Wiltenburg,NED,1,2,4,0.04,14.29,7
58,Dardzāns,LAT,0,0,0,,,0
58,Russo,ITA,0,1,3,0.0,0.0,4
58,Picchio,ITA,0,0,13,0.0,0.0,13
58,Krick,GER,0,0,1,0.0,0.0,1
58,Albergati,ITA,0,0,0,,,0
58,Galliani,ITA,0,0,0,,,0
58,Mitrašinović,CRO,0,0,1,0.0,0.0,1
58,Tondo,ITA,0,0,1,0.0,0.0,1
58,Cester,ITA,0,1,9,0.0,0.0,10
58,Pirazzoli,ITA,0,0,2,0.0,0.0,2
