Rankr,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
12,Jaeschke,USA,0,1,13,0.0,0.0,14
12,Muagututia,USA,0,1,3,0.0,0.0,4
12,Smith,USA,0,0,0,,,0
12,Ramos,ARG,0,1,8,0.0,0.0,9
12,Grebennikov,FRA,0,0,0,,,0
12,Toniutti,FRA,0,0,0,,,0
12,Kapur,SRB,0,0,0,,,0
12,Kovačević,SRB,0,1,6,0.0,0.0,7
12,Luburić,SRB,0,4,12,0.0,0.0,16
12,Nedeljković,SRB,0,3,20,0.0,0.0,23
12,Kujundžić,SRB,0,5,21,0.0,0.0,26
12,Todorović,SRB,0,4,17,0.0,0.0,21
12,Perić,SRB,0,1,1,0.0,0.0,2
12,Tillie,FRA,0,0,0,,,0
12,Ropret,SLO,0,4,36,0.0,0.0,40
12,Kovačič,SLO,0,0,0,,,0
12,Možič,SLO,0,1,4,0.0,0.0,5
12,Van Berkel,CAN,0,0,29,0.0,0.0,29
12,Lui,CAN,0,0,0,,,0
12,Hofer,CAN,0,2,10,0.0,0.0,12
12,Szwarc,CAN,0,11,22,0.0,0.0,33
12,Herr,CAN,0,6,22,0.0,0.0,28
12,Vinčić,SLO,0,0,0,,,0
12,Štalekar,SLO,0,1,1,0.0,0.0,2
12,Z. Štern,SLO,0,0,0,,,0
12,Mujanović,SLO,0,0,0,,,0
12,Walsh,CAN,0,1,3,0.0,0.0,4
12,Wassenaar Ketrzynski,CAN,0,0,0,,,0
12,Alan,BRA,0,2,7,0.0,0.0,9
