web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
"1741349048-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","1","Averill","USA","16","21","31","2.67","-7.35","68"
"1741349048-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","2","Grozer","GER","15","17","16","3.75","-4.17","48"
"1741349048-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","2","Galassi","ITA","15","25","26","2.50","-15.15","66"
"1741349048-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","3","Russo","ITA","14","31","34","2.33","-21.52","79"
"1741349048-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","4","Chinenyeze","FRA","13","18","29","2.17","-8.33","60"
"1741349048-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","5","Brehme","GER","11","14","14","2.75","-7.69","39"
"1741349048-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","5","Lavia","ITA","11","15","23","1.83","-8.16","49"
"1741349048-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","5","Holt","USA","11","27","36","1.83","-21.62","74"
"1741349048-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","5","Patry","FRA","11","11","14","1.83","0.00","36"
"1741349048-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","6","Clevenot","FRA","10","15","16","2.00","-12.20","41"
"1741349048-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","6","Le Goff","FRA","10","34","30","1.67","-32.43","74"
"1741349048-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","6","Ngapeth","FRA","10","21","6","1.67","-29.73","37"
"1741349048-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","7","Pajenk","SLO","9","8","17","2.25","2.94","34"
"1741349048-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","8","Giannelli","ITA","8","15","23","1.33","-15.22","46"
"1741349048-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","8","Michieletto","ITA","8","15","10","1.33","-21.21","33"
"1741349048-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","8","Flavio","BRA","8","26","24","2.00","-31.03","58"
"1741349048-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","9","Krick","GER","7","15","4","1.75","-30.77","26"
"1741349048-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","9","Leon","POL","7","14","18","1.17","-17.95","39"
"1741349048-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","9","Huber","POL","7","23","23","1.40","-30.19","53"
"1741349048-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","9","Russell","USA","7","20","12","1.17","-33.33","39"
"1741349048-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","9","Brizard","FRA","7","19","25","1.17","-23.53","51"
"1741349048-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","9","Podraščanin","ITA","7","22","15","2.33","-34.09","44"
"1741349048-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","10","Yamauchi","JPN","6","17","27","1.50","-22.00","50"
"1741349048-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","10","Lucas","BRA","6","15","15","1.50","-25.00","36"
"1741349048-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","10","Lucarelli","BRA","6","11","8","1.50","-20.00","25"
"1741349048-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","10","Kochanowski","POL","6","20","27","1.00","-26.42","53"
"1741349048-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","10","Kurek","POL","6","20","18","1.00","-31.82","44"
"1741349048-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-blockers/","10","Loser Bruno","ARG","6","12","13","2.00","-19.35","31"
