Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
1,Lima B.,ARG,138,119,10,9
2,Ngapeth,FRA,136,124,6,6
3,Patry,FRA,135,115,13,7
4,Mikhaylov,ROC,130,110,14,6
5,Facu,ARG,125,111,7,7
6,Wallace,BRA,114,94,15,5
7,Clevenot,FRA,113,102,9,2
8,Ishikawa,JPN,112,94,9,9
9,Juantorena,ITA,111,99,8,4
10,Nishida,JPN,105,92,5,8
11,Leal,BRA,104,93,6,5
12,Leon,POL,103,85,4,14
13,Lucarelli,BRA,101,82,7,12
14,Kliuka,ROC,99,86,6,7
15,Volkov,ROC,97,73,18,6
16,Lucas,BRA,93,69,21,3
17,Michieletto,ITA,89,72,8,9
17,Kurek,POL,89,76,9,4
18,Loser Bruno,ARG,81,55,22,4
19,Salehi,IRI,80,71,7,2
20,Palacios,ARG,77,64,10,3
21,Perrin,CAN,76,66,7,3
21,Defalco,USA,76,66,7,3
22,Hoag,CAN,75,63,5,7
23,Iakovlev,ROC,74,49,21,4
23,T. Sander,USA,74,62,6,6
24,A. Ghafour,IRI,72,64,2,6
25,Ben Tara W,TUN,71,62,8,1
26,Anderson,USA,70,66,1,3
27,Sole,ITA,66,49,14,3
28,Milad,IRI,63,46,6,11
29,Chinenyeze,FRA,62,42,20,0
30,Bieniek,POL,55,39,9,7
31,Galassi,ITA,53,39,12,2
31,Le Goff,FRA,53,33,20,0
32,Ran,JPN,52,51,1,0
33,Zaytsev,ITA,49,41,5,3
33,Holt,USA,49,40,8,1
34,Van Berkel,CAN,48,32,14,2
35,Willner,VEN,44,38,3,3
36,Fayola,VEN,42,36,6,0
37,M. Souza,BRA,41,27,10,4
37,Volvich,ROC,41,29,11,1
38,Vernon,CAN,39,30,6,3
39,Kochanowski,POL,38,26,9,3
40,Onodera,JPN,37,24,10,3
41,Moalla I.,TUN,36,31,4,1
41,Emerson,VEN,36,33,1,2
41,Śliwka,POL,36,33,2,1
42,Seyed,IRI,35,22,12,1
43,Sclater,CAN,34,31,1,2
43,Douglas,BRA,34,34,0,0
44,Vettori,ITA,33,29,3,1
44,B.Othmen M.,TUN,33,28,4,1
45,Yamauchi,JPN,32,24,6,2
45,Valencia,VEN,32,23,6,3
45,Mojarad,IRI,32,23,9,0
46,Anzani,ITA,31,22,8,1
46,Kadhi A,TUN,31,21,10,0
47,Semeniuk,POL,30,24,0,6
48,Poglajen,ARG,28,25,2,1
49,Vigrass,CAN,27,20,4,3
49,Maar,CAN,27,22,3,2
50,Stahl,USA,26,20,4,2
51,Kazemi,IRI,24,20,1,3
52,Smith,USA,22,19,2,1
53,Piano,ITA,21,13,8,0
53,Podlesnykh,ROC,21,19,1,1
54,De Cecco,ARG,19,10,6,3
54,Brizard,FRA,19,4,7,8
55,Maita,VEN,18,18,0,0
55,Verdi,VEN,18,13,4,1
56,Agrebi O,TUN,16,7,7,2
56,Nagga H.,TUN,16,16,0,0
56,Alan,BRA,16,15,0,1
56,Nowakowski,POL,16,8,7,1
56,Kubiak,POL,16,14,1,1
57,Boyer,FRA,14,12,2,0
58,Lavia,ITA,13,12,1,0
58,Drzyzga,POL,13,6,6,1
59,Kobzar,ROC,12,7,2,3
60,Giannelli,ITA,11,5,3,3
60,Bruno,BRA,11,2,7,2
60,Isac,BRA,11,8,2,1
61,Kurkaev,ROC,10,8,2,0
61,Takanashi,JPN,10,8,2,0
61,Kaczmarek,POL,10,8,2,0
62,Ben Slimene K,TUN,9,5,3,1
62,Christenson,USA,9,3,5,1
63,Mbareki S.,TUN,8,8,0,0
63,Pankov,ROC,8,0,2,6
64,Pereyra L.,ARG,7,5,2,0
64,Sekita,JPN,7,3,3,1
65,Bouguerra.A,TUN,6,6,0,0
65,Ramos,ARG,6,3,2,1
65,Shimizu,JPN,6,5,1,0
65,Masoud,IRI,6,3,3,0
66,Szwarc,CAN,5,3,1,1
66,Poletaev,ROC,5,4,0,1
67,Sbertoli,ITA,4,1,2,1
67,Blankenau,CAN,4,2,2,0
67,Karamosli E,TUN,4,4,0,0
67,Lee,JPN,4,4,0,0
67,S. Marouf,IRI,4,2,2,0
67,Louati,FRA,4,2,0,2
68,Chema,VEN,3,1,1,1
68,Morteza,IRI,3,2,1,0
68,Javad,IRI,3,1,1,1
68,Tillie,FRA,3,3,0,0
69,TJ,CAN,2,0,1,1
69,Fernando,BRA,2,0,2,0
69,Mauricio,BRA,2,2,0,0
69,Bogdan,ROC,2,2,0,0
69,Oramas,VEN,2,2,0,0
70,Kovar,ITA,1,1,0,0
70,Armando,VEN,1,1,0,0
70,Fernando,VEN,1,1,0,0
70,Toniutti,FRA,1,0,1,0
70,Jaeschke,USA,1,0,1,0
70,Muagututia,USA,1,1,0,0
71,Colaci,ITA,0,0,0,0
71,Bann,CAN,0,0,0,0
71,Marshall,CAN,0,0,0,0
71,Thales,BRA,0,0,0,0
71,Hmissi S,TUN,0,0,0,0
71,Ben Cheikh M,TUN,0,0,0,0
71,Golubev,ROC,0,0,0,0
71,Danani,ARG,0,0,0,0
71,Sanchez Pages,ARG,0,0,0,0
71,Mendez,ARG,0,0,0,0
71,Fujii,JPN,0,0,0,0
71,Yamamoto,JPN,0,0,0,0
71,Mata,VEN,0,0,0,0
71,Otsuka,JPN,0,0,0,0
71,Canelo,VEN,0,0,0,0
71,Zatorski,POL,0,0,0,0
71,Łomacz,POL,0,0,0,0
71,Marandi,IRI,0,0,0,0
71,Arman,IRI,0,0,0,0
71,E. Shoji,USA,0,0,0,0
71,Grebennikov,FRA,0,0,0,0
71,Ensing,USA,0,0,0,0
71,K. Shoji,USA,0,0,0,0
71,Bultor,FRA,0,0,0,0
