web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1742822661-70","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","42","Louati","FRA","3","0","1","0.38","75.00","4"
"1742822661-71","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","43","Isac","BRA","2","0","0","0.29","100.00","2"
"1742822661-72","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","43","Lucas","BRA","2","0","0","0.25","100.00","2"
"1742822661-73","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","43","Bouguerra.A","TUN","2","3","5","0.40","20.00","10"
"1742822661-74","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","43","Mojarad","IRI","2","0","0","0.40","100.00","2"
"1742822661-75","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","43","Seyed","IRI","2","1","4","0.50","28.57","7"
"1742822661-76","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","43","Nowakowski","POL","2","0","0","0.50","100.00","2"
"1742822661-77","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","43","Morteza","IRI","2","0","0","0.67","100.00","2"
"1742822661-78","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","43","Smith","USA","2","0","0","0.40","100.00","2"
"1742822661-79","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Piano","ITA","1","0","1","0.20","50.00","2"
"1742822661-80","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Blankenau","CAN","1","0","0","0.17","100.00","1"
"1742822661-81","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Vernon","CAN","1","0","2","0.20","33.33","3"
"1742822661-82","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Kovar","ITA","1","0","1","0.25","50.00","2"
"1742822661-83","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Agrebi O","TUN","1","1","3","0.20","20.00","5"
"1742822661-84","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Mbareki S.","TUN","1","0","1","0.50","50.00","2"
"1742822661-85","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Volvich","ROC","1","1","0","0.14","50.00","2"
"1742822661-86","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","De Cecco","ARG","1","0","1","0.12","50.00","2"
"1742822661-87","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Sanchez Pages","ARG","1","0","0","0.12","100.00","1"
"1742822661-88","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Yamauchi","JPN","1","2","5","0.17","12.50","8"
"1742822661-89","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Armando","VEN","1","0","0","0.20","100.00","1"
"1742822661-90","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Oramas","VEN","1","0","2","0.25","33.33","3"
"1742822661-91","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Drzyzga","POL","1","0","2","0.17","33.33","3"
"1742822661-92","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Kurek","POL","1","0","0","0.17","100.00","1"
"1742822661-93","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Bieniek","POL","1","0","3","0.17","25.00","4"
"1742822661-94","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Kochanowski","POL","1","0","0","0.17","100.00","1"
"1742822661-95","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Christenson","USA","1","0","2","0.20","33.33","3"
"1742822661-96","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Brizard","FRA","1","0","3","0.12","25.00","4"
"1742822661-97","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Toniutti","FRA","1","0","2","0.20","33.33","3"
"1742822661-98","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Le Goff","FRA","1","0","3","0.12","25.00","4"
"1742822661-99","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Stahl","USA","1","0","0","0.25","100.00","1"
"1742822661-100","https://en.volleyballworld.com/volleyball/competitions/olympics-2020/statistics/men/best-receivers/","44","Jaeschke","USA","1","0","1","0.33","50.00","2"
