Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
20,Mauricio,BRA,0,1,0,0.0,-100.0,1
20,Bouguerra.A,TUN,0,3,1,0.0,-75.0,4
20,Ben Cheikh M,TUN,0,0,0,,,0
20,Mbareki S.,TUN,0,8,4,0.0,-66.67,12
20,Golubev,ROC,0,1,0,0.0,-100.0,1
20,Danani,ARG,0,0,0,,,0
20,Sanchez Pages,ARG,0,2,2,0.0,-50.0,4
20,Bogdan,ROC,0,0,1,0.0,0.0,1
20,Poletaev,ROC,0,2,0,0.0,-100.0,2
20,Mendez,ARG,0,0,0,,,0
20,Fujii,JPN,0,4,3,0.0,-57.14,7
20,Yamamoto,JPN,0,1,1,0.0,-50.0,2
20,Armando,VEN,0,4,2,0.0,-66.67,6
20,Maita,VEN,0,2,2,0.0,-50.0,4
20,Mata,VEN,0,0,0,,,0
20,Lee,JPN,0,3,4,0.0,-42.86,7
20,Fernando,VEN,0,2,0,0.0,-100.0,2
20,Oramas,VEN,0,4,1,0.0,-80.0,5
20,Otsuka,JPN,0,0,0,,,0
20,Canelo,VEN,0,0,0,,,0
20,Zatorski,POL,0,0,2,0.0,0.0,2
20,Łomacz,POL,0,0,0,,,0
20,Marandi,IRI,0,0,1,0.0,0.0,1
20,Semeniuk,POL,0,3,3,0.0,-50.0,6
20,Arman,IRI,0,0,1,0.0,0.0,1
20,E. Shoji,USA,0,0,1,0.0,0.0,1
20,Grebennikov,FRA,0,0,0,,,0
20,Tillie,FRA,0,1,1,0.0,-50.0,2
20,Louati,FRA,0,0,0,,,0
20,Ensing,USA,0,0,0,,,0
20,K. Shoji,USA,0,0,0,,,0
20,Muagututia,USA,0,0,2,0.0,0.0,2
20,Bultor,FRA,0,1,0,0.0,-100.0,1
