Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
39,Tillie,FRA,2,4,0,0.33,33.33,6
40,Szwarc,CAN,1,2,1,0.25,25.0,4
40,Agrebi O,TUN,1,6,2,0.2,11.11,9
40,Kadhi A,TUN,1,5,1,0.2,14.29,7
40,Sanchez Pages,ARG,1,0,2,0.12,33.33,3
40,Bogdan,ROC,1,1,1,0.5,33.33,3
40,Ramos,ARG,1,2,1,0.2,25.0,4
40,Fujii,JPN,1,6,2,0.25,11.11,9
40,Lee,JPN,1,2,2,0.25,20.0,5
40,Louati,FRA,1,2,0,0.12,33.33,3
40,Jaeschke,USA,1,1,0,0.33,50.0,2
41,Marshall,CAN,0,2,0,0.0,0.0,2
41,Ben Cheikh M,TUN,0,1,0,0.0,0.0,1
41,Mbareki S.,TUN,0,2,0,0.0,0.0,2
41,Mendez,ARG,0,0,0,,,0
41,Shimizu,JPN,0,0,0,,,0
41,Fernando,VEN,0,5,0,0.0,0.0,5
41,Otsuka,JPN,0,1,0,0.0,0.0,1
41,Łomacz,POL,0,0,0,,,0
41,Morteza,IRI,0,0,0,,,0
41,Ensing,USA,0,0,0,,,0
41,K. Shoji,USA,0,0,0,,,0
41,Muagututia,USA,0,4,0,0.0,0.0,4
41,Bultor,FRA,0,0,0,,,0
