Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
1,Yant,CUB,68,57,5,6
2,Michieletto,ITA,63,57,3,3
3,Lopez,CUB,59,51,4,4
4,Lavia,ITA,57,54,2,1
5,Wallace,BRA,51,43,5,3
6,Gasman,USA,48,36,10,2
6,Kaziyski,BUL,48,37,6,5
7,Lucarelli,BRA,41,33,3,5
7,Simón,CUB,41,32,7,2
8,Garcia,USA,40,36,1,3
9,Matheus Krauchuk,BRA,38,33,3,2
9,Rodriguinho,BRA,38,27,3,8
10,Yudi,BRA,35,31,4,0
11,Brito,BRA,32,26,5,1
11,Otávio,BRA,32,18,12,2
12,Lisinac,SRB,31,20,10,1
13,Gabriel,BRA,29,25,4,0
14,Isac,BRA,28,20,6,2
15,Melgarejo,ARG,22,19,2,1
16,Esfandiar,IRI,20,15,2,3
16,Anzani,ITA,20,18,1,1
16,Podraščanin,ITA,20,12,8,0
17,Flores,ARG,19,16,3,0
18,Armoa Morel,ARG,16,16,0,0
19,Igor,BRA,14,13,0,1
19,Zaytsev,ITA,14,13,0,1
20,Fabio,BRA,12,11,1,0
20,A. Tashakori,IRI,12,11,1,0
20,De Cecco,ARG,12,3,3,6
21,Jelveh,IRI,11,8,3,0
22,M. Radke,BRA,9,4,4,1
22,Daneshdoust,IRI,9,9,0,0
23,Blagojevic,SRB,8,7,0,1
23,Diamantini,ITA,8,7,1,0
24,Sbertoli,ITA,7,2,3,2
25,Riad,BRA,6,3,2,1
25,Jaraba J,COL,6,4,1,1
26,Jailton,BRA,5,5,0,0
27,Caceres,ARG,4,4,0,0
28,Gallardo,ARG,2,1,1,0
28,Reza,IRI,2,2,0,0
28,A.Behbodi,IRI,2,2,0,0
28,Fernando,BRA,2,1,1,0
29,Bozikovich,ARG,1,0,0,1
29,Brajkovic,ARG,1,0,1,0
29,Salvo,ARG,1,1,0,0
29,Sahand,IRI,1,1,0,0
29,AmirHossein,IRI,1,0,1,0
29,M. Sadeghi,IRI,1,1,0,0
29,M. Gholizad,IRI,1,0,0,1
29,Kovar,ITA,1,0,0,1
29,D'heer,BEL,1,1,0,0
30,Andre,BRA,0,0,0,0
30,Joao Gabriel,BRA,0,0,0,0
30,Gabriel,BRA,0,0,0,0
30,Thales,BRA,0,0,0,0
30,Roque,BRA,0,0,0,0
30,Symon,BRA,0,0,0,0
30,Olivieri,ARG,0,0,0,0
30,Ibazeta,ARG,0,0,0,0
30,Perren,ARG,0,0,0,0
30,R.Shahsavari,IRI,0,0,0,0
30,M.Heydari,IRI,0,0,0,0
30,Oppenkoski,BRA,0,0,0,0
30,Lukinha,BRA,0,0,0,0
30,Lucas Loh,BRA,0,0,0,0
30,Rech,BRA,0,0,0,0
30,C. Souza,BRA,0,0,0,0
30,Bauer,BRA,0,0,0,0
30,Resley,BRA,0,0,0,0
30,Matias,BRA,0,0,0,0
30,Sottile,ITA,0,0,0,0
30,Marchisio,ITA,0,0,0,0
30,Juantorena,ITA,0,0,0,0
30,Jeroncic,ITA,0,0,0,0
30,Balaso,ITA,0,0,0,0
30,Cavuto,ITA,0,0,0,0
30,Pinali,ITA,0,0,0,0
30,Albergati,ITA,0,0,0,0
30,Zenger,GER,0,0,0,0
30,Sperotto,ITA,0,0,0,0
30,De Angelis,ITA,0,0,0,0
