web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
"1741286129-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","27","Kukartsev","ARG","6","5","1","0"
"1741286129-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","27","Honorato","BRA","6","4","2","0"
"1741286129-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","27","Lucas","BRA","6","3","1","2"
"1741286129-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","28","Muagututia","USA","5","5","0","0"
"1741286129-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","28","Palonsky","ARG","5","5","0","0"
"1741286129-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","28","Flavio","BRA","5","4","1","0"
"1741286129-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","29","Christenson","USA","4","1","2","1"
"1741286129-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","29","Boyer","FRA","4","4","0","0"
"1741286129-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","29","Nishiyama","JPN","4","3","0","1"
"1741286129-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","30","Brizard","FRA","3","0","1","2"
"1741286129-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","30","Vicentin","ARG","3","3","0","0"
"1741286129-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","30","Ramos","ARG","3","2","1","0"
"1741286129-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","30","Kozamernik","SLO","3","2","1","0"
"1741286129-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","30","Bednorz","POL","3","3","0","0"
"1741286129-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","31","Carle","FRA","2","2","0","0"
"1741286129-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","31","Martinez Franchi","ARG","2","2","0","0"
"1741286129-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","31","Armoa Morel","ARG","2","1","0","1"
"1741286129-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","31","Janusz","POL","2","0","1","1"
"1741286129-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","31","Leal","BRA","2","2","0","0"
"1741286129-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","32","Hanes","USA","1","1","0","0"
"1741286129-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","32","Ma'a","USA","1","0","1","0"
"1741286129-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","32","Toniutti","FRA","1","1","0","0"
"1741286129-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","32","Zelayeta","ARG","1","1","0","0"
"1741286129-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","32","Otsuka","JPN","1","1","0","0"
"1741286129-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","32","Sekita","JPN","1","0","0","1"
"1741286129-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","32","Semeniuk","POL","1","1","0","0"
"1741286129-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","32","Roque","BRA","1","1","0","0"
"1741286129-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Jendryk","USA","0","0","0","0"
"1741286129-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","Dagostino","USA","0","0","0","0"
"1741286129-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/finals-statistics/men/best-scorers/","33","E. Shoji","USA","0","0","0","0"
