Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
18,Ter Horst,NED,3,23,47,0.27,4.11,73
18,Poletaev,RUS,3,20,67,0.2,3.33,90
18,Vigrass,CAN,3,4,58,0.38,4.62,65
18,Recine,ITA,3,20,98,0.2,2.48,121
18,Mauricio,BRA,3,9,43,0.18,5.45,55
18,Fernando,BRA,3,5,52,0.18,5.0,60
18,Morteza,IRI,3,7,19,0.27,10.34,29
18,Kubiak,POL,3,20,102,0.25,2.4,125
18,Vitelli,ITA,3,20,57,0.27,3.75,80
18,Šket,SLO,3,11,35,0.19,6.12,49
18,Alan,BRA,3,14,60,0.19,3.9,77
18,Palacios,ARG,3,10,17,0.27,10.0,30
18,Nowakowski,POL,3,12,63,0.25,3.85,78
18,S.Ivanov,BUL,3,6,44,0.27,5.66,53
18,Muserskiy,RUS,3,14,19,0.43,8.33,36
18,M. Souza,BRA,3,11,97,0.23,2.7,111
18,Lima B.,ARG,3,22,43,0.43,4.41,68
18,Javad,IRI,3,6,16,0.5,12.0,25
19,Lyneel,FRA,2,6,24,0.29,6.25,32
19,Chavdarov,BUL,2,22,64,0.15,2.27,88
19,Kolev,BUL,2,4,94,0.13,2.0,100
19,Kaliberda,GER,2,17,61,0.15,2.5,80
19,Burggräf,GER,2,6,9,0.13,11.76,17
19,O'Dea,AUS,2,14,114,0.13,1.54,130
19,Mote,AUS,2,10,129,0.14,1.42,141
19,Otsuka,JPN,2,14,66,0.13,2.44,82
19,Vadi,IRI,2,6,47,0.22,3.64,55
19,Jovović,SRB,2,13,142,0.13,1.27,157
19,Vinčić,SLO,2,1,14,0.14,11.76,17
19,Z. Štern,SLO,2,8,22,0.12,6.25,32
19,Možič,SLO,2,18,35,0.12,3.64,55
19,Parkinson,NED,2,9,68,0.15,2.53,79
19,Vlasov,RUS,2,23,44,0.13,2.9,69
19,K. Shoji,USA,2,6,39,0.15,4.26,47
19,Patch,USA,2,19,26,0.22,4.26,47
19,B. Sander,USA,2,9,13,0.18,8.33,24
19,Maar,CAN,2,14,22,0.2,5.26,38
19,Blankenau,CAN,2,9,90,0.14,1.98,101
19,Loeppky,CAN,2,9,54,0.14,3.08,65
19,Kurek,POL,2,28,59,0.18,2.25,89
19,Spirito,ITA,2,4,61,0.13,2.99,67
19,Cavuto,ITA,2,9,37,0.13,4.17,48
19,Facu,ARG,2,35,104,0.13,1.42,141
19,Plak,NED,2,12,73,0.15,2.3,87
19,Kaczmarek,POL,2,9,47,0.17,3.45,58
19,Śliwka,POL,2,9,66,0.13,2.6,77
19,Kujundžić,SRB,2,6,25,0.14,6.06,33
19,S. Marouf,IRI,2,9,99,0.15,1.82,110
19,Röhrs,GER,2,3,3,0.15,25.0,8
19,Otake,JPN,2,14,16,0.33,6.25,32
19,Keemink,NED,2,3,76,0.2,2.47,81
19,Azeez,AUS,2,15,31,0.17,4.17,48
19,V.Stankov,BUL,2,12,36,0.2,4.0,50
19,Sanchez Pages,ARG,2,2,25,0.29,6.9,29
19,Lucas,BRA,2,13,37,0.4,3.85,52
20,Toniutti,FRA,1,11,98,0.07,0.91,110
20,Gueye,FRA,1,2,9,0.06,8.33,12
20,Stankov,BUL,1,0,4,0.11,20.0,5
20,Kartev,BUL,1,15,79,0.08,1.05,95
20,Garrett,AUS,1,22,45,0.08,1.47,68
20,Fujii,JPN,1,5,74,0.11,1.25,80
20,Takanashi,JPN,1,16,66,0.07,1.2,83
20,Reza,IRI,1,6,33,0.09,2.5,40
20,Mojarad,IRI,1,15,48,0.09,1.56,64
20,Gasparini,SLO,1,10,17,0.06,3.57,28
20,Videčnik,SLO,1,2,20,0.07,4.35,23
20,Van Der Ent,NED,1,9,41,0.09,1.96,51
20,van Zeist,NED,1,8,34,0.08,2.33,43
20,De Weijer,NED,1,13,67,0.09,1.23,81
20,Łomacz,POL,1,3,65,0.06,1.45,69
20,Semeniuk,POL,1,16,47,0.08,1.56,64
20,Kłos,POL,1,7,60,0.09,1.47,68
20,Mosca,ITA,1,5,108,0.07,0.88,114
20,Sole,ITA,1,16,108,0.09,0.8,125
20,Van Berkel,CAN,1,4,96,0.07,0.99,101
20,Jendryk,USA,1,7,35,0.08,2.33,43
20,Todorović,SRB,1,6,47,0.08,1.85,54
20,Poglajen,ARG,1,14,64,0.09,1.27,79
20,TJ,CAN,1,6,58,0.12,1.54,65
20,João Rafael,BRA,1,2,6,0.25,11.11,9
21,Diez,FRA,0,0,0,,,0
21,Petrov,BUL,0,15,27,0.0,0.0,42
21,V. Ivanov,BUL,0,0,0,,,0
21,M. Ivanov,BUL,0,0,0,,,0
21,Böhme,GER,0,2,38,0.0,0.0,40
21,Zenger,GER,0,0,0,,,0
21,Baxpöhler,GER,0,4,29,0.0,0.0,33
21,Perry,AUS,0,0,0,,,0
21,Butler,AUS,0,1,2,0.0,0.0,3
21,Taylor,AUS,0,10,16,0.0,0.0,26
21,Aubrey,AUS,0,5,3,0.0,0.0,8
21,Flowerday,AUS,0,1,0,0.0,0.0,1
21,Greber,AUS,0,0,0,,,0
21,Fukuzawa,JPN,0,7,19,0.0,0.0,26
21,Kentaro,JPN,0,18,23,0.0,0.0,41
21,Yamamoto,JPN,0,0,0,,,0
21,Ogawa,JPN,0,0,0,,,0
21,P. Fayazi,IRI,0,1,16,0.0,0.0,17
21,Hazrat,IRI,0,0,0,,,0
21,A. Ghafour,IRI,0,8,18,0.0,0.0,26
21,A. Shafiei,IRI,0,3,28,0.0,0.0,31
21,Arman,IRI,0,0,0,,,0
21,Kapur,SRB,0,0,0,,,0
21,Pekovic,SRB,0,0,0,,,0
21,Batak,SRB,0,0,0,,,0
21,Simic,SRB,0,1,21,0.0,0.0,22
21,Lisinac,SRB,0,0,2,0.0,0.0,2
21,Kovač,SRB,0,3,2,0.0,0.0,5
21,Štalekar,SLO,0,2,8,0.0,0.0,10
21,Klobucar,SLO,0,0,1,0.0,0.0,1
21,Kovačič,SLO,0,0,0,,,0
21,Dronkers,NED,0,0,0,,,0
21,Jorna,NED,0,5,25,0.0,0.0,30
21,Ottevanger,NED,0,0,0,,,0
21,Van Solkema,NED,0,1,11,0.0,0.0,12
21,van Schie,NED,0,5,11,0.0,0.0,16
21,Semyshev,RUS,0,3,16,0.0,0.0,19
21,Baranov,RUS,0,0,0,,,0
21,Golubev,RUS,0,0,0,,,0
21,Hanes,USA,0,1,6,0.0,0.0,7
21,Averill,USA,0,4,33,0.0,0.0,37
21,Watten,USA,0,0,0,,,0
21,E. Shoji,USA,0,0,0,,,0
21,Pereira,CAN,0,0,0,,,0
21,Jansen Vandoorn,CAN,0,11,67,0.0,0.0,78
21,Bann,CAN,0,0,0,,,0
21,Walsh,CAN,0,6,20,0.0,0.0,26
21,Demyanenko,CAN,0,1,7,0.0,0.0,8
21,Wojtaszek,POL,0,0,0,,,0
21,Zatorski,POL,0,0,0,,,0
21,Balaso,ITA,0,0,0,,,0
21,Scanferla,ITA,0,0,0,,,0
21,Federici,ITA,0,0,0,,,0
21,Matheus,BRA,0,0,7,0.0,0.0,7
21,Vaccari,BRA,0,2,5,0.0,0.0,7
21,Maique,BRA,0,0,0,,,0
21,Thales,BRA,0,0,0,,,0
21,Roque,BRA,0,0,1,0.0,0.0,1
21,Martinez Franchi,ARG,0,11,59,0.0,0.0,70
21,Uriarte,ARG,0,5,28,0.0,0.0,33
21,Palonsky,ARG,0,5,15,0.0,0.0,20
21,Mendez,ARG,0,11,41,0.0,0.0,52
21,Macdonald,AUS,0,0,3,0.0,0.0,3
21,Janusz,POL,0,0,0,,,0
21,Vucicevic,SRB,0,0,0,,,0
21,Gardini,ITA,0,2,4,0.0,0.0,6
21,Meyer,FRA,0,1,4,0.0,0.0,5
21,Oya,JPN,0,4,20,0.0,0.0,24
21,Tuaniga,USA,0,4,17,0.0,0.0,21
21,Marshall,CAN,0,3,22,0.0,0.0,25
21,Crer,ARG,0,1,11,0.0,0.0,12
21,Massimino,ARG,0,0,0,,,0
21,Grebennikov,FRA,0,0,0,,,0
21,Pernuš,SLO,0,1,0,0.0,0.0,1
21,Maase,GER,0,0,0,,,0
21,Danani,ARG,0,0,0,,,0
21,Nicolas,ARG,0,1,10,0.0,0.0,11
21,Lyutskanov,BUL,0,5,16,0.0,0.0,21
21,Douglas-Powell,AUS,0,1,0,0.0,0.0,1
21,Komenda,POL,0,0,1,0.0,0.0,1
21,Nishida,JPN,0,8,18,0.0,0.0,26
21,Iakovlev,RUS,0,0,0,,,0
