Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
71,Smith,USA,42,10,26,3.0,53.85,78
72,Masoud,IRI,41,9,26,2.73,53.95,76
72,Śliwka,POL,41,8,38,2.73,47.13,87
73,Holt,USA,40,7,28,3.33,53.33,75
73,Maar,CAN,40,14,43,4.0,41.24,97
74,Stahl,USA,39,7,25,3.0,54.93,71
75,Mendez,ARG,38,17,37,2.53,41.3,92
75,Van Berkel,CAN,38,5,20,2.71,60.32,63
76,Petrov,BUL,37,17,41,2.47,38.95,95
76,Kartev,BUL,37,10,20,2.85,55.22,67
76,Z. Štern,SLO,37,9,30,2.18,48.68,76
76,Muzaj,POL,37,13,41,3.36,40.66,91
77,Bogdan,RUS,36,12,35,2.4,43.37,83
77,M. Souza,BRA,36,6,22,2.77,56.25,64
77,Nishida,JPN,36,13,21,7.2,51.43,70
78,Fornal,POL,35,6,19,2.92,58.33,60
79,Garrett,AUS,33,37,61,2.75,25.19,131
79,Fukuzawa,JPN,33,20,29,2.36,40.24,82
79,A. Ghafour,IRI,33,13,12,6.6,56.9,58
79,Mauricio,BRA,33,18,29,1.94,41.25,80
80,Jansen Vandoorn,CAN,32,10,16,2.13,55.17,58
80,Nowakowski,POL,32,3,13,2.67,66.67,48
80,Muserskiy,RUS,32,5,22,4.57,54.24,59
81,S.Ivanov,BUL,31,9,36,2.82,40.79,76
82,Senica,AUS,30,16,42,2.0,34.09,88
82,Lee,JPN,30,6,18,2.0,55.56,54
83,Faure,FRA,29,10,20,5.8,49.15,59
84,Chavdarov,BUL,28,2,19,2.15,57.14,49
85,Šket,SLO,27,4,35,1.69,40.91,66
86,Brizard,FRA,26,2,12,1.62,65.0,40
86,Vigrass,CAN,26,1,14,3.25,63.41,41
86,Kłos,POL,26,5,8,2.36,66.67,39
86,Kujundžić,SRB,26,8,28,1.86,41.94,62
87,Böhme,GER,25,4,13,1.92,59.52,42
87,Dosanjh,AUS,25,7,33,1.67,38.46,65
87,Kentaro,JPN,25,4,14,2.5,58.14,43
87,Mojarad,IRI,25,5,14,2.27,56.82,44
88,Jendryk,USA,23,2,18,1.77,53.49,43
89,Taylor,AUS,22,15,23,1.47,36.67,60
90,Bednorz,POL,21,15,25,2.33,34.43,61
90,Morteza,IRI,21,8,21,1.91,42.0,50
91,Gasparini,SLO,19,8,19,1.19,41.3,46
91,Lucas,BRA,19,5,17,3.8,46.34,41
92,Weir,AUS,18,11,15,1.2,40.91,44
92,Van Der Ent,NED,18,0,14,1.64,56.25,32
93,Sossenheimer,GER,17,7,17,1.42,41.46,41
93,Averill,USA,17,3,7,2.43,62.96,27
94,Wiltenburg,NED,16,5,13,1.14,47.06,34
94,Christenson,USA,16,2,18,1.33,44.44,36
94,Palacios,ARG,16,8,16,1.45,40.0,40
95,Vitelli,ITA,15,3,16,1.36,44.12,34
96,B. Sander,USA,14,10,17,1.27,34.15,41
96,Huber,POL,14,2,6,1.17,63.64,22
96,Palonsky,ARG,14,8,16,1.17,36.84,38
97,Ropret,SLO,12,1,6,0.71,63.16,19
97,van Zeist,NED,12,2,12,1.0,46.15,26
98,Seganov,BUL,11,3,4,0.73,61.11,18
98,Grozdanov,BUL,11,4,8,3.67,47.83,23
98,Baxpöhler,GER,11,1,4,1.1,68.75,16
98,Simic,SRB,11,0,2,0.92,84.62,13
98,Blankenau,CAN,11,1,14,0.79,42.31,26
98,Lyutskanov,BUL,11,7,16,1.22,32.35,34
99,Kobzar,RUS,10,2,10,0.67,45.45,22
100,van Schie,NED,9,11,14,0.75,26.47,34
100,Semyshev,RUS,9,6,11,1.12,34.62,26
100,Bruno,BRA,9,0,5,0.53,64.29,14
100,Nicolas,ARG,9,8,11,1.8,32.14,28
101,Gueye,FRA,8,2,4,0.5,57.14,14
101,Zimmermann,GER,8,2,9,0.53,42.11,19
101,Reza,IRI,8,3,1,0.73,66.67,12
101,De Cecco,ARG,8,1,14,0.53,34.78,23
101,S. Marouf,IRI,8,0,12,0.62,40.0,20
102,K. Shoji,USA,7,0,1,0.54,87.5,8
102,Sbertoli,ITA,7,3,8,0.47,38.89,18
103,Lyneel,FRA,6,7,6,0.86,31.58,19
103,Aubrey,AUS,6,4,6,0.4,37.5,16
103,Vaccari,BRA,6,2,2,0.6,60.0,10
103,Crer,ARG,6,1,2,2.0,66.67,9
104,Jovović,SRB,5,1,6,0.33,41.67,12
104,Pankov,RUS,5,0,1,0.33,83.33,6
104,Spirito,ITA,5,4,8,0.33,29.41,17
104,Matheus,BRA,5,3,0,1.0,62.5,8
104,Gardini,ITA,5,1,8,0.42,35.71,14
104,Röhrs,GER,5,3,4,0.38,41.67,12
105,Kovač,SRB,4,3,8,0.27,26.67,15
105,Videčnik,SLO,4,0,2,0.29,66.67,6
105,Tuaniga,USA,4,1,1,0.8,66.67,6
106,Vadi,IRI,3,0,5,0.33,37.5,8
106,Lisinac,SRB,3,0,4,3.0,42.86,7
106,Jorna,NED,3,5,13,0.5,14.29,21
106,Fernando,BRA,3,1,2,0.18,50.0,6
106,Uriarte,ARG,3,0,6,0.3,33.33,9
106,Marshall,CAN,3,6,13,0.23,13.64,22
106,Keemink,NED,3,0,7,0.3,30.0,10
106,V.Stankov,BUL,3,1,2,0.3,50.0,6
106,João Rafael,BRA,3,0,3,0.75,50.0,6
107,Fujii,JPN,2,0,2,0.22,50.0,4
107,P. Fayazi,IRI,2,1,13,0.18,12.5,16
107,Štalekar,SLO,2,3,3,0.18,25.0,8
107,De Weijer,NED,2,1,4,0.18,28.57,7
107,Hanes,USA,2,0,1,0.5,66.67,3
107,Drzyzga,POL,2,1,4,0.12,28.57,7
107,Łomacz,POL,2,0,0,0.12,100.0,2
107,Todorović,SRB,2,0,1,0.15,66.67,3
107,Sanchez Pages,ARG,2,0,0,0.29,100.0,2
108,Toniutti,FRA,1,0,2,0.07,33.33,3
108,Butler,AUS,1,0,0,0.07,100.0,1
108,Sekita,JPN,1,1,5,0.07,14.29,7
108,A. Shafiei,IRI,1,3,7,0.17,9.09,11
108,Van Solkema,NED,1,1,0,0.08,50.0,2
108,Walsh,CAN,1,1,4,0.1,16.67,6
108,Demyanenko,CAN,1,1,1,0.12,33.33,3
108,Meyer,FRA,1,0,0,0.33,100.0,1
108,TJ,CAN,1,0,4,0.12,20.0,5
108,Javad,IRI,1,1,3,0.17,20.0,5
108,Douglas-Powell,AUS,1,0,0,1.0,100.0,1
108,Komenda,POL,1,0,0,0.33,100.0,1
109,Diez,FRA,0,0,0,,,0
109,Stankov,BUL,0,0,0,,,0
109,V. Ivanov,BUL,0,0,0,,,0
109,M. Ivanov,BUL,0,0,0,,,0
109,Zenger,GER,0,0,0,,,0
109,Burggräf,GER,0,0,0,,,0
109,Perry,AUS,0,0,0,,,0
109,Flowerday,AUS,0,2,0,0.0,0.0,2
109,Greber,AUS,0,0,0,,,0
109,Yamamoto,JPN,0,0,0,,,0
109,Ogawa,JPN,0,0,0,,,0
109,Hazrat,IRI,0,0,0,,,0
109,Arman,IRI,0,0,0,,,0
109,Kapur,SRB,0,0,0,,,0
109,Pekovic,SRB,0,0,0,,,0
109,Batak,SRB,0,0,0,,,0
109,Vinčić,SLO,0,2,0,0.0,0.0,2
109,Klobucar,SLO,0,0,1,0.0,0.0,1
109,Kovačič,SLO,0,0,0,,,0
109,Dronkers,NED,0,0,0,,,0
109,Ottevanger,NED,0,0,0,,,0
109,Baranov,RUS,0,0,0,,,0
109,Golubev,RUS,0,0,0,,,0
109,Watten,USA,0,0,0,,,0
109,E. Shoji,USA,0,0,0,,,0
109,Pereira,CAN,0,0,0,,,0
109,Bann,CAN,0,0,0,,,0
109,Wojtaszek,POL,0,0,0,,,0
109,Zatorski,POL,0,0,0,,,0
109,Balaso,ITA,0,0,0,,,0
109,Scanferla,ITA,0,0,0,,,0
109,Federici,ITA,0,0,0,,,0
109,Maique,BRA,0,0,0,,,0
109,Thales,BRA,0,0,0,,,0
109,Roque,BRA,0,0,4,0.0,0.0,4
109,Macdonald,AUS,0,0,0,,,0
109,Janusz,POL,0,0,0,,,0
109,Vucicevic,SRB,0,1,0,0.0,0.0,1
109,Oya,JPN,0,1,0,0.0,0.0,1
109,Massimino,ARG,0,0,0,,,0
109,Grebennikov,FRA,0,0,0,,,0
109,Pernuš,SLO,0,0,0,,,0
109,Maase,GER,0,0,3,0.0,0.0,3
109,Danani,ARG,0,0,0,,,0
109,Iakovlev,RUS,0,0,0,,,0
