web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
"1741285317-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","1","Podraščanin","ITA","44","66","51","2.93","-13.66","161"
"1741285317-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","2","Krsmanović","SRB","32","63","52","2.13","-21.09","147"
"1741285317-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","3","Seyed","IRI","30","50","28","2.14","-18.52","108"
"1741285317-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","4","Le Goff","FRA","28","34","46","1.65","-5.56","108"
"1741285317-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","4","Krick","GER","28","43","53","2.00","-12.10","124"
"1741285317-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","4","Volvich","RUS","28","46","38","1.87","-16.07","112"
"1741285317-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","4","Cortesia","ITA","28","49","36","2.00","-18.58","113"
"1741285317-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","5","Kozamernik","SLO","27","56","53","1.69","-21.32","136"
"1741285317-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","5","Vlasov","RUS","27","53","30","1.80","-23.64","110"
"1741285317-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","6","Chinenyeze","FRA","23","67","45","1.35","-32.59","135"
"1741285317-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","7","Bieniek","POL","22","30","46","1.69","-8.16","98"
"1741285317-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","8","Kurkaev","RUS","21","34","29","1.40","-15.48","84"
"1741285317-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","8","Mosca","ITA","21","34","36","1.50","-14.29","91"
"1741285317-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","8","Isac","BRA","21","34","28","1.31","-15.66","83"
"1741285317-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","8","Nowakowski","POL","21","34","29","1.75","-15.48","84"
"1741285317-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","9","Krage","GER","20","53","14","1.54","-37.93","87"
"1741285317-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","9","Pajenk","SLO","20","40","54","1.18","-17.54","114"
"1741285317-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","9","Szwarc","CAN","20","34","32","1.33","-16.28","86"
"1741285317-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","9","Van Berkel","CAN","20","38","24","1.43","-21.95","82"
"1741285317-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","10","Čebulj","SLO","19","32","25","1.12","-17.11","76"
"1741285317-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","10","Michieletto","ITA","19","15","18","1.27","7.69","52"
"1741285317-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","10","M. Souza","BRA","19","39","32","1.46","-22.22","90"
"1741285317-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","11","Mote","AUS","18","42","38","1.29","-24.49","98"
"1741285317-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","11","Defalco","USA","18","26","13","1.20","-14.04","57"
"1741285317-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","11","Facu","ARG","18","27","11","1.20","-16.07","56"
"1741285317-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","11","Ramos","ARG","18","42","17","1.20","-31.17","77"
"1741285317-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","12","Brizard","FRA","17","19","21","1.06","-3.51","57"
"1741285317-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","12","Masoud","IRI","17","32","23","1.13","-20.83","72"
"1741285317-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","12","Mikhaylov","RUS","17","29","20","1.21","-18.18","66"
"1741285317-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","13","Mojarad","IRI","16","21","10","1.45","-10.64","47"
"1741285317-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","13","Kovačević","SRB","16","28","18","1.60","-19.35","62"
"1741285317-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","13","Parkinson","NED","16","37","22","1.23","-28.00","75"
"1741285317-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","13","Vernon","CAN","16","26","13","1.07","-18.18","55"
"1741285317-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","13","Loser Bruno","ARG","16","46","33","1.33","-31.58","95"
"1741285317-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","14","Clevenot","FRA","15","21","13","1.07","-12.24","49"
"1741285317-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","14","T. Štern","SLO","15","48","16","1.00","-41.77","79"
"1741285317-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","14","Holt","USA","15","20","16","1.25","-9.80","51"
"1741285317-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","14","Sole","ITA","15","35","42","1.36","-21.74","92"
"1741285317-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","14","Stahl","USA","15","21","31","1.15","-8.96","67"
"1741285317-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","15","Weber","GER","14","23","19","1.08","-16.07","56"
"1741285317-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","15","O'Dea","AUS","14","38","32","0.93","-28.57","84"
"1741285317-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","15","Salehi","IRI","14","27","13","0.93","-24.07","54"
"1741285317-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","15","Ensing","USA","14","20","23","1.00","-10.53","57"
"1741285317-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","16","Dosanjh","AUS","13","29","14","0.87","-28.57","56"
"1741285317-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","16","Smith","AUS","13","28","11","1.08","-28.85","52"
"1741285317-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","16","Onodera","JPN","13","32","15","1.00","-31.67","60"
"1741285317-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","16","Kurek","POL","13","21","23","1.18","-14.04","57"
"1741285317-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","16","Kłos","POL","13","21","26","1.18","-13.33","60"
"1741285317-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","16","Recine","ITA","13","22","12","0.87","-19.15","47"
"1741285317-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","16","Kaczmarek","POL","13","14","8","1.08","-2.86","35"
"1741285317-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","17","Parapunov","BUL","12","16","19","0.80","-8.51","47"
"1741285317-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","17","Yamauchi","JPN","12","30","13","0.80","-32.73","55"
"1741285317-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","17","Ivović","SRB","12","35","22","0.80","-33.33","69"
"1741285317-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","17","Kliuka","RUS","12","37","14","0.86","-39.68","63"
"1741285317-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","17","Perrin","CAN","12","24","21","0.92","-21.05","57"
"1741285317-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","17","Kochanowski","POL","12","29","19","1.00","-28.33","60"
"1741285317-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","17","Lucarelli","BRA","12","21","24","0.80","-15.79","57"
"1741285317-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","17","Pereyra L.","ARG","12","21","13","0.80","-19.57","46"
"1741285317-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","18","Bultor","FRA","11","29","23","0.65","-28.57","63"
"1741285317-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","18","Ishikawa","JPN","11","30","21","0.79","-30.65","62"
"1741285317-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","18","Milad","IRI","11","22","6","0.85","-28.21","39"
"1741285317-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","18","Ropret","SLO","11","30","26","0.65","-28.36","67"
"1741285317-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","18","Semeniuk","POL","11","12","9","0.85","-3.12","32"
"1741285317-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","18","Galassi","ITA","11","15","12","1.38","-10.53","38"
"1741285317-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","18","Leal","BRA","11","22","17","0.73","-22.00","50"
"1741285317-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Boyer","FRA","10","17","17","0.67","-15.91","44"
"1741285317-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Kolev","BUL","10","47","26","0.67","-44.58","83"
"1741285317-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Seganov","BUL","10","17","16","0.67","-16.28","43"
"1741285317-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Kartev","BUL","10","34","16","0.77","-40.00","60"
"1741285317-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Kazemi","IRI","10","29","11","0.71","-38.00","50"
"1741285317-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Nimir","NED","10","33","21","0.83","-35.94","64"
"1741285317-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Volkov","RUS","10","15","13","0.71","-13.16","38"
"1741285317-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Jansen Vandoorn","CAN","10","22","18","0.67","-24.00","50"
"1741285317-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Spirito","ITA","10","5","16","0.67","16.13","31"
"1741285317-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Bottolo","ITA","10","14","13","0.67","-10.81","37"
"1741285317-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Wallace","BRA","10","24","25","0.59","-23.73","59"
"1741285317-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Flavio","BRA","10","39","32","0.59","-35.80","81"
"1741285317-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Andringa","NED","10","18","16","0.71","-18.18","44"
"1741285317-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","19","Jendryk","USA","10","11","12","0.77","-3.03","33"
"1741285317-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","20","Tillie","FRA","9","14","13","0.56","-13.89","36"
"1741285317-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","20","Chavdarov","BUL","9","29","22","0.69","-33.33","60"
"1741285317-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","20","Reza","IRI","9","9","6","0.82","0.00","24"
"1741285317-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","20","Pankov","RUS","9","19","17","0.60","-22.22","45"
"1741285317-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","20","Smith","USA","9","26","25","0.64","-28.33","60"
"1741285317-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","20","Hoag","CAN","9","15","18","0.60","-14.29","42"
"1741285317-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","20","Leon","POL","9","15","6","0.69","-20.00","30"
"1741285317-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","20","Plak","NED","9","28","13","0.69","-38.00","50"
"1741285317-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","21","Patry","FRA","8","27","22","0.57","-33.33","57"
"1741285317-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","21","Asparuhov","BUL","8","25","21","0.53","-31.48","54"
"1741285317-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","21","Hirsch","GER","8","17","12","0.57","-24.32","37"
"1741285317-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","21","Zimmermann","GER","8","27","28","0.53","-30.16","63"
"1741285317-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","21","Lee","JPN","8","23","35","0.53","-22.73","66"
"1741285317-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","21","Jovović","SRB","8","22","15","0.53","-31.11","45"
"1741285317-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","21","Perić","SRB","8","6","10","0.53","8.33","24"
"1741285317-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","21","Vigrass","CAN","8","20","15","1.00","-27.91","43"
"1741285317-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","21","Drzyzga","POL","8","15","15","0.47","-18.42","38"
"1741285317-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-blockers/","21","Douglas","BRA","8","19","13","0.47","-27.50","40"
