web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741285702-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","30","Blankenau","CAN","52","22","8","3.71","63.41","82"
"1741285702-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","31","T. Štern","SLO","51","14","4","3.40","73.91","69"
"1741285702-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","31","Kobzar","RUS","51","13","8","3.40","70.83","72"
"1741285702-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","31","Wojtaszek","POL","51","20","6","3.64","66.23","77"
"1741285702-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","32","Muagututia","USA","50","20","4","3.33","67.57","74"
"1741285702-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","32","Kubiak","POL","50","24","6","4.17","62.50","80"
"1741285702-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","33","Volkov","RUS","49","15","5","3.50","71.01","69"
"1741285702-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","33","Wallace","BRA","49","12","5","2.88","74.24","66"
"1741285702-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","34","Ran","JPN","48","22","5","3.20","64.00","75"
"1741285702-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","34","Recine","ITA","48","22","10","3.20","60.00","80"
"1741285702-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","35","Sekita","JPN","47","21","5","3.36","64.38","73"
"1741285702-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","35","Tuinstra","NED","47","22","9","3.36","60.26","78"
"1741285702-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","35","Drzyzga","POL","47","12","10","2.76","68.12","69"
"1741285702-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","35","Marshall","CAN","47","13","5","3.62","72.31","65"
"1741285702-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","36","Patry","FRA","46","14","7","3.29","68.66","67"
"1741285702-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","36","Ogawa","JPN","46","20","6","3.07","63.89","72"
"1741285702-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","36","Salehi","IRI","46","16","5","3.07","68.66","67"
"1741285702-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","36","Nelli","ITA","46","24","11","3.54","56.79","81"
"1741285702-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","37","Sclater","CAN","45","11","5","3.00","73.77","61"
"1741285702-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","37","S. Marouf","IRI","45","21","3","3.46","65.22","69"
"1741285702-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","38","Leal","BRA","44","13","1","2.93","75.86","58"
"1741285702-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","39","Brizard","FRA","43","17","7","2.69","64.18","67"
"1741285702-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","39","Clevenot","FRA","43","17","5","3.07","66.15","65"
"1741285702-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","39","Massimino","ARG","43","17","8","3.58","63.24","68"
"1741285702-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","40","Smith","AUS","42","24","3","3.50","60.87","69"
"1741285702-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","40","Ottevanger","NED","42","18","3","2.80","66.67","63"
"1741285702-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","40","Christenson","USA","42","20","8","3.50","60.00","70"
"1741285702-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","41","Milad","IRI","41","23","3","3.15","61.19","67"
"1741285702-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","41","Kazemi","IRI","41","19","10","2.93","58.57","70"
"1741285702-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2021/statistics/men/best-diggers/","42","Asparuhov","BUL","40","23","3","2.67","60.61","66"
