Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
93,Van Der Ent,NED,25,18,6,1
94,Lucas,BRA,24,19,3,2
95,Grozdanov,BUL,23,11,7,5
95,Sossenheimer,GER,23,17,1,5
95,Zimmermann,GER,23,8,8,7
95,Huber,POL,23,14,5,4
96,Gasparini,SLO,22,19,2,1
96,Drzyzga,POL,22,2,8,12
97,Averill,USA,21,17,4,0
97,Bruno,BRA,21,9,7,5
97,Palacios,ARG,21,16,2,3
98,Pankov,RUS,20,5,9,6
99,Reza,IRI,18,8,9,1
99,B. Sander,USA,18,14,2,2
99,Sbertoli,ITA,18,7,6,5
99,De Cecco,ARG,18,8,6,4
100,van Zeist,NED,17,12,4,1
100,Spirito,ITA,17,5,10,2
101,Blankenau,CAN,16,11,3,2
102,Baxpöhler,GER,15,11,4,0
102,Jovović,SRB,15,5,8,2
102,Palonsky,ARG,15,14,1,0
103,Simic,SRB,14,11,3,0
103,K. Shoji,USA,14,7,5,2
104,Nicolas,ARG,12,9,3,0
104,Lyutskanov,BUL,12,11,1,0
105,Gueye,FRA,11,8,2,1
105,van Schie,NED,11,9,2,0
106,Semyshev,RUS,10,9,1,0
106,S. Marouf,IRI,10,8,0,2
106,Keemink,NED,10,3,5,2
107,Lyneel,FRA,9,6,1,2
107,Marshall,CAN,9,3,6,0
108,Vadi,IRI,8,3,3,2
108,Fernando,BRA,8,3,2,3
108,Uriarte,ARG,8,3,5,0
108,Crer,ARG,8,6,2,0
108,V.Stankov,BUL,8,3,3,2
108,Javad,IRI,8,1,4,3
109,Sekita,JPN,7,1,2,4
109,De Weijer,NED,7,2,4,1
109,Vaccari,BRA,7,6,1,0
109,Röhrs,GER,7,5,0,2
110,Aubrey,AUS,6,6,0,0
110,Łomacz,POL,6,2,3,1
110,Matheus,BRA,6,5,1,0
111,Toniutti,FRA,5,1,3,1
111,Fujii,JPN,5,2,2,1
111,Kovač,SRB,5,4,1,0
111,Štalekar,SLO,5,2,3,0
111,Videčnik,SLO,5,4,0,1
111,Gardini,ITA,5,5,0,0
111,TJ,CAN,5,1,3,1
112,A. Shafiei,IRI,4,1,3,0
112,Vinčić,SLO,4,0,2,2
112,Walsh,CAN,4,1,3,0
112,Tuaniga,USA,4,4,0,0
112,Todorović,SRB,4,2,1,1
112,Sanchez Pages,ARG,4,2,0,2
112,João Rafael,BRA,4,3,0,1
113,Lisinac,SRB,3,3,0,0
113,Jorna,NED,3,3,0,0
114,Burggräf,GER,2,0,0,2
114,Butler,AUS,2,1,1,0
114,P. Fayazi,IRI,2,2,0,0
114,Van Solkema,NED,2,1,1,0
114,Hanes,USA,2,2,0,0
114,Meyer,FRA,2,1,1,0
115,Stankov,BUL,1,0,0,1
115,Demyanenko,CAN,1,1,0,0
115,Pernuš,SLO,1,0,1,0
115,Douglas-Powell,AUS,1,1,0,0
115,Komenda,POL,1,1,0,0
116,Diez,FRA,0,0,0,0
116,V. Ivanov,BUL,0,0,0,0
116,M. Ivanov,BUL,0,0,0,0
116,Zenger,GER,0,0,0,0
116,Perry,AUS,0,0,0,0
116,Flowerday,AUS,0,0,0,0
116,Greber,AUS,0,0,0,0
116,Yamamoto,JPN,0,0,0,0
116,Ogawa,JPN,0,0,0,0
116,Hazrat,IRI,0,0,0,0
116,Arman,IRI,0,0,0,0
116,Kapur,SRB,0,0,0,0
116,Pekovic,SRB,0,0,0,0
116,Batak,SRB,0,0,0,0
116,Klobucar,SLO,0,0,0,0
116,Kovačič,SLO,0,0,0,0
116,Dronkers,NED,0,0,0,0
116,Ottevanger,NED,0,0,0,0
116,Baranov,RUS,0,0,0,0
116,Golubev,RUS,0,0,0,0
116,Watten,USA,0,0,0,0
116,E. Shoji,USA,0,0,0,0
116,Pereira,CAN,0,0,0,0
116,Bann,CAN,0,0,0,0
116,Wojtaszek,POL,0,0,0,0
116,Zatorski,POL,0,0,0,0
116,Balaso,ITA,0,0,0,0
116,Scanferla,ITA,0,0,0,0
116,Federici,ITA,0,0,0,0
116,Maique,BRA,0,0,0,0
116,Thales,BRA,0,0,0,0
116,Roque,BRA,0,0,0,0
116,Macdonald,AUS,0,0,0,0
116,Janusz,POL,0,0,0,0
116,Vucicevic,SRB,0,0,0,0
116,Oya,JPN,0,0,0,0
116,Massimino,ARG,0,0,0,0
116,Grebennikov,FRA,0,0,0,0
116,Maase,GER,0,0,0,0
116,Danani,ARG,0,0,0,0
116,Iakovlev,RUS,0,0,0,0
