web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency,Total
"1741284222-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Čebulj","SLO","1","0","0","1.00","100.00","1"
"1741284222-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Kurek","POL","1","3","0","0.33","-50.00","4"
"1741284222-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Janusz","POL","1","5","6","0.33","-33.33","12"
"1741284222-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Bieniek","POL","1","9","14","0.33","-33.33","24"
"1741284222-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Fornal","POL","1","0","1","0.33","50.00","2"
"1741284222-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Huber","POL","1","6","4","0.33","-45.45","11"
"1741284222-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Lucas","BRA","1","3","2","1.00","-33.33","6"
"1741284222-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Lucarelli","BRA","1","2","3","1.00","-16.67","6"
"1741284222-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","8","Flavio","BRA","1","1","4","1.00","0.00","6"
"1741284222-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Anderson","USA","0","6","6","0.00","-50.00","12"
"1741284222-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Jendryk","USA","0","0","0","","","0"
"1741284222-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Hanes","USA","0","0","0","","","0"
"1741284222-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Dagostino","USA","0","0","0","","","0"
"1741284222-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Muagututia","USA","0","0","3","0.00","0.00","3"
"1741284222-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","E. Shoji","USA","0","0","0","","","0"
"1741284222-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Grebennikov","FRA","0","0","0","","","0"
"1741284222-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Toniutti","FRA","0","0","1","0.00","0.00","1"
"1741284222-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Tillie","FRA","0","3","3","0.00","-50.00","6"
"1741284222-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-blockers/","9","Boyer","FRA","0","1","1","0.00","-50.00","2"
