web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
"1741284028-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","1","Ishikawa","JPN","70","60","5","5"
"1741284028-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","2","Anderson","USA","49","46","0","3"
"1741284028-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","3","Kaczmarek","POL","47","40","6","1"
"1741284028-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","4","Śliwka","POL","44","37","4","3"
"1741284028-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","5","Jaeschke","USA","41","33","6","2"
"1741284028-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","5","Leon","POL","41","30","7","4"
"1741284028-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","6","Michieletto","ITA","40","33","2","5"
"1741284028-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","7","Defalco","USA","37","31","5","1"
"1741284028-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","7","Ran","JPN","37","32","2","3"
"1741284028-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","8","Lavia","ITA","35","30","5","0"
"1741284028-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","9","Miyaura","JPN","34","26","1","7"
"1741284028-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","10","Romanò","ITA","32","28","3","1"
"1741284028-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","11","Russo","ITA","29","17","9","3"
"1741284028-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","12","Galassi","ITA","24","12","7","5"
"1741284028-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","13","Bieniek","POL","23","14","1","8"
"1741284028-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","14","Holt","USA","20","13","6","1"
"1741284028-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","15","Onodera","JPN","19","15","3","1"
"1741284028-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","16","Yamauchi","JPN","18","14","3","1"
"1741284028-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","17","Patry","FRA","17","13","2","2"
"1741284028-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","17","Kochanowski","POL","17","9","6","2"
"1741284028-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","18","Smith","USA","16","11","3","2"
"1741284028-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","18","Chinenyeze","FRA","16","10","5","1"
"1741284028-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","19","Alan","BRA","15","14","0","1"
"1741284028-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","20","Le Goff","FRA","14","11","2","1"
"1741284028-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","20","Giannelli","ITA","14","10","2","2"
"1741284028-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","21","Nishida","JPN","12","12","0","0"
"1741284028-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","21","Pajenk","SLO","12","11","1","0"
"1741284028-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","21","Urnaut","SLO","12","12","0","0"
"1741284028-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","21","Huber","POL","12","10","1","1"
"1741284028-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","22","Tillie","FRA","11","11","0","0"
"1741284028-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","22","Russell","USA","11","9","2","0"
"1741284028-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","23","Loser Bruno","ARG","10","7","2","1"
"1741284028-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","23","Možič","SLO","10","8","2","0"
"1741284028-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","23","Lucarelli","BRA","10","7","1","2"
"1741284028-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","24","Čebulj","SLO","9","8","1","0"
"1741284028-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","25","Averill","USA","8","6","1","1"
"1741284028-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","25","Fornal","POL","8","7","1","0"
"1741284028-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","26","Clevenot","FRA","7","6","1","0"
"1741284028-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","26","Kurek","POL","7","6","1","0"
"1741284028-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","27","Kukartsev","ARG","6","5","1","0"
"1741284028-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","27","Honorato","BRA","6","4","2","0"
"1741284028-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","27","Lucas","BRA","6","3","1","2"
"1741284028-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","28","Muagututia","USA","5","5","0","0"
"1741284028-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","28","Palonsky","ARG","5","5","0","0"
"1741284028-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","28","Flavio","BRA","5","4","1","0"
"1741284028-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","29","Christenson","USA","4","1","2","1"
"1741284028-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","29","Boyer","FRA","4","4","0","0"
"1741284028-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","29","Nishiyama","JPN","4","3","0","1"
"1741284028-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","30","Brizard","FRA","3","0","1","2"
"1741284028-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","30","Vicentin","ARG","3","3","0","0"
"1741284028-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","30","Ramos","ARG","3","2","1","0"
"1741284028-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","30","Kozamernik","SLO","3","2","1","0"
"1741284028-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","30","Bednorz","POL","3","3","0","0"
"1741284028-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","31","Carle","FRA","2","2","0","0"
"1741284028-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","31","Martinez Franchi","ARG","2","2","0","0"
"1741284028-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","31","Armoa Morel","ARG","2","1","0","1"
"1741284028-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","31","Janusz","POL","2","0","1","1"
"1741284028-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","31","Leal","BRA","2","2","0","0"
"1741284028-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","32","Hanes","USA","1","1","0","0"
"1741284028-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","32","Ma'a","USA","1","0","1","0"
"1741284028-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","32","Toniutti","FRA","1","1","0","0"
"1741284028-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","32","Zelayeta","ARG","1","1","0","0"
"1741284028-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","32","Otsuka","JPN","1","1","0","0"
"1741284028-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","32","Sekita","JPN","1","0","0","1"
"1741284028-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","32","Semeniuk","POL","1","1","0","0"
"1741284028-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","32","Roque","BRA","1","1","0","0"
"1741284028-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Jendryk","USA","0","0","0","0"
"1741284028-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Dagostino","USA","0","0","0","0"
"1741284028-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","E. Shoji","USA","0","0","0","0"
"1741284028-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Grebennikov","FRA","0","0","0","0"
"1741284028-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Bultor","FRA","0","0","0","0"
"1741284028-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Louati","FRA","0","0","0","0"
"1741284028-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Diez","FRA","0","0","0","0"
"1741284028-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Jouffroy","FRA","0","0","0","0"
"1741284028-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Balaso","ITA","0","0","0","0"
"1741284028-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Sbertoli","ITA","0","0","0","0"
"1741284028-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Scanferla","ITA","0","0","0","0"
"1741284028-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Bottolo","ITA","0","0","0","0"
"1741284028-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Gironi","ITA","0","0","0","0"
"1741284028-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Rinaldi","ITA","0","0","0","0"
"1741284028-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Sanguinetti","ITA","0","0","0","0"
"1741284028-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Mosca","ITA","0","0","0","0"
"1741284028-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Sanchez Pages","ARG","0","0","0","0"
"1741284028-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Gallego","ARG","0","0","0","0"
"1741284028-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Danani","ARG","0","0","0","0"
"1741284028-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Lima B.","ARG","0","0","0","0"
"1741284028-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","De Cecco","ARG","0","0","0","0"
"1741284028-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Zerba","ARG","0","0","0","0"
"1741284028-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Kentaro","JPN","0","0","0","0"
"1741284028-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Tomita","JPN","0","0","0","0"
"1741284028-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Ogawa","JPN","0","0","0","0"
"1741284028-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Yamamoto","JPN","0","0","0","0"
"1741284028-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Eiro","JPN","0","0","0","0"
"1741284028-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Planinšič","SLO","0","0","0","0"
"1741284028-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Kök","SLO","0","0","0","0"
"1741284028-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Toman","SLO","0","0","0","0"
"1741284028-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Štalekar","SLO","0","0","0","0"
"1741284028-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Koncilja","SLO","0","0","0","0"
"1741284028-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Kovačič","SLO","0","0","0","0"
"1741284028-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Z. Štern","SLO","0","0","0","0"
"1741284028-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-scorers/","33","Ropret","SLO","0","0","0","0"
