web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1741284357-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Grebennikov","FRA","0","0","9","0.00","0.00","9"
"1741284357-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Patry","FRA","0","0","0","","","0"
"1741284357-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Tillie","FRA","0","0","3","0.00","0.00","3"
"1741284357-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Boyer","FRA","0","0","1","0.00","0.00","1"
"1741284357-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Le Goff","FRA","0","0","0","","","0"
"1741284357-36","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Bultor","FRA","0","0","0","","","0"
"1741284357-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Clevenot","FRA","0","0","1","0.00","0.00","1"
"1741284357-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Louati","FRA","0","0","0","","","0"
"1741284357-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Diez","FRA","0","0","0","","","0"
"1741284357-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Carle","FRA","0","0","1","0.00","0.00","1"
"1741284357-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Jouffroy","FRA","0","0","0","","","0"
"1741284357-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Michieletto","ITA","0","0","15","0.00","0.00","15"
"1741284357-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Balaso","ITA","0","1","15","0.00","0.00","16"
"1741284357-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Scanferla","ITA","0","0","0","","","0"
"1741284357-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Bottolo","ITA","0","0","0","","","0"
"1741284357-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Galassi","ITA","0","0","0","","","0"
"1741284357-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Lavia","ITA","0","0","13","0.00","0.00","13"
"1741284357-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Romanò","ITA","0","1","5","0.00","0.00","6"
"1741284357-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Gironi","ITA","0","0","1","0.00","0.00","1"
"1741284357-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Russo","ITA","0","0","3","0.00","0.00","3"
"1741284357-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Rinaldi","ITA","0","0","0","","","0"
"1741284357-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Sanguinetti","ITA","0","0","0","","","0"
"1741284357-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Mosca","ITA","0","0","0","","","0"
"1741284357-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Martinez Franchi","ARG","0","0","2","0.00","0.00","2"
"1741284357-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Gallego","ARG","0","0","0","","","0"
"1741284357-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Palonsky","ARG","0","0","2","0.00","0.00","2"
"1741284357-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Loser Bruno","ARG","0","0","0","","","0"
"1741284357-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Danani","ARG","0","0","4","0.00","0.00","4"
"1741284357-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Zelayeta","ARG","0","0","0","","","0"
"1741284357-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Armoa Morel","ARG","0","0","0","","","0"
"1741284357-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Lima B.","ARG","0","0","0","","","0"
"1741284357-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Kukartsev","ARG","0","0","1","0.00","0.00","1"
"1741284357-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Vicentin","ARG","0","0","2","0.00","0.00","2"
"1741284357-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Ramos","ARG","0","0","1","0.00","0.00","1"
"1741284357-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Zerba","ARG","0","0","0","","","0"
"1741284357-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Nishida","JPN","0","0","1","0.00","0.00","1"
"1741284357-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Onodera","JPN","0","0","2","0.00","0.00","2"
"1741284357-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Miyaura","JPN","0","1","2","0.00","0.00","3"
"1741284357-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Otsuka","JPN","0","0","2","0.00","0.00","2"
"1741284357-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Yamauchi","JPN","0","0","3","0.00","0.00","3"
"1741284357-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Kentaro","JPN","0","0","0","","","0"
"1741284357-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Tomita","JPN","0","0","0","","","0"
"1741284357-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Ogawa","JPN","0","0","0","","","0"
"1741284357-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Nishiyama","JPN","0","0","0","","","0"
"1741284357-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Yamamoto","JPN","0","0","14","0.00","0.00","14"
"1741284357-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Pajenk","SLO","0","0","0","","","0"
"1741284357-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Kozamernik","SLO","0","0","1","0.00","0.00","1"
"1741284357-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Kök","SLO","0","0","0","","","0"
"1741284357-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Toman","SLO","0","0","0","","","0"
"1741284357-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Štalekar","SLO","0","0","0","","","0"
"1741284357-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Koncilja","SLO","0","0","0","","","0"
"1741284357-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Kovačič","SLO","0","0","11","0.00","0.00","11"
"1741284357-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Z. Štern","SLO","0","0","0","","","0"
"1741284357-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Urnaut","SLO","0","0","4","0.00","0.00","4"
"1741284357-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Čebulj","SLO","0","0","3","0.00","0.00","3"
"1741284357-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Možič","SLO","0","0","2","0.00","0.00","2"
"1741284357-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Mujanović","SLO","0","0","0","","","0"
"1741284357-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Popiwczak","POL","0","0","0","","","0"
"1741284357-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Kaczmarek","POL","0","0","6","0.00","0.00","6"
"1741284357-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Kurek","POL","0","0","0","","","0"
"1741284357-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Leon","POL","0","0","8","0.00","0.00","8"
"1741284357-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Bednorz","POL","0","0","0","","","0"
"1741284357-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Łomacz","POL","0","0","1","0.00","0.00","1"
"1741284357-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Kochanowski","POL","0","0","1","0.00","0.00","1"
"1741284357-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Semeniuk","POL","0","0","0","","","0"
"1741284357-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Zatorski","POL","0","0","14","0.00","0.00","14"
"1741284357-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Bieniek","POL","0","0","3","0.00","0.00","3"
"1741284357-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Fornal","POL","0","0","4","0.00","0.00","4"
"1741284357-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Huber","POL","0","1","0","0.00","0.00","1"
"1741284357-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Otávio","BRA","0","0","0","","","0"
"1741284357-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Adriano","BRA","0","0","0","","","0"
"1741284357-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Honorato","BRA","0","0","2","0.00","0.00","2"
"1741284357-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Leal","BRA","0","0","0","","","0"
"1741284357-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Maique","BRA","0","0","0","","","0"
"1741284357-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Lucas","BRA","0","0","0","","","0"
"1741284357-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Thales","BRA","0","0","3","0.00","0.00","3"
"1741284357-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Lucarelli","BRA","0","0","5","0.00","0.00","5"
"1741284357-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Roque","BRA","0","0","0","","","0"
"1741284357-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Alan","BRA","0","0","2","0.00","0.00","2"
"1741284357-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Flavio","BRA","0","0","0","","","0"
"1741284357-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Judson","BRA","0","0","0","","","0"
"1741284357-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Russell","USA","0","0","1","0.00","0.00","1"
"1741284357-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/finals-statistics/men/best-setters/","15","Larry","JPN","0","0","0","","","0"
