web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741288251-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","1","Yamamoto","JPN","35","13","1","11.67","71.43","49"
"1741288251-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","2","Zatorski","POL","27","8","3","9.00","71.05","38"
"1741288251-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","3","Jaeschke","USA","24","8","2","8.00","70.59","34"
"1741288251-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","3","E. Shoji","USA","24","16","2","8.00","57.14","42"
"1741288251-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","3","Michieletto","ITA","24","6","2","8.00","75.00","32"
"1741288251-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","4","Balaso","ITA","23","10","0","7.67","69.70","33"
"1741288251-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","5","Defalco","USA","19","8","3","6.33","63.33","30"
"1741288251-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","5","Ran","JPN","19","7","1","6.33","70.37","27"
"1741288251-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","6","Anderson","USA","18","7","1","6.00","69.23","26"
"1741288251-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","6","Giannelli","ITA","18","6","0","6.00","75.00","24"
"1741288251-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","7","Christenson","USA","17","7","2","5.67","65.38","26"
"1741288251-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","8","Sekita","JPN","16","9","7","5.33","50.00","32"
"1741288251-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","9","Romanò","ITA","14","3","3","4.67","70.00","20"
"1741288251-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","10","Tillie","FRA","13","3","0","13.00","81.25","16"
"1741288251-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","10","Lavia","ITA","13","6","0","4.33","68.42","19"
"1741288251-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","10","Miyaura","JPN","13","5","0","4.33","72.22","18"
"1741288251-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","10","Śliwka","POL","13","5","0","4.33","72.22","18"
"1741288251-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","11","Ishikawa","JPN","12","8","4","4.00","50.00","24"
"1741288251-19","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","12","Janusz","POL","11","10","3","3.67","45.83","24"
"1741288251-20","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","13","Grebennikov","FRA","10","5","2","10.00","58.82","17"
"1741288251-21","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","14","Russo","ITA","9","1","1","3.00","81.82","11"
"1741288251-22","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","14","Onodera","JPN","9","2","0","3.00","81.82","11"
"1741288251-23","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","14","Kovačič","SLO","9","7","1","9.00","52.94","17"
"1741288251-24","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","15","Brizard","FRA","8","3","0","8.00","72.73","11"
"1741288251-25","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","15","Nishida","JPN","8","3","0","4.00","72.73","11"
"1741288251-26","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","15","Kaczmarek","POL","8","9","1","2.67","44.44","18"
"1741288251-27","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","16","Urnaut","SLO","7","2","1","7.00","70.00","10"
"1741288251-28","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","16","Možič","SLO","7","2","1","7.00","70.00","10"
"1741288251-29","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","16","Leon","POL","7","2","4","2.33","53.85","13"
"1741288251-30","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","17","Smith","USA","6","3","4","2.00","46.15","13"
"1741288251-31","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","17","Thales","BRA","6","3","0","6.00","66.67","9"
"1741288251-32","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","18","Holt","USA","5","2","1","1.67","62.50","8"
"1741288251-33","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","18","Clevenot","FRA","5","5","1","5.00","45.45","11"
"1741288251-34","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","18","Danani","ARG","5","5","0","5.00","50.00","10"
"1741288251-35","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-diggers/","18","Kochanowski","POL","5","2","0","1.67","71.43","7"
