web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1741288175-37","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Clevenot","FRA","0","0","1","0.00","0.00","1"
"1741288175-38","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Louati","FRA","0","0","0","","","0"
"1741288175-39","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Diez","FRA","0","0","0","","","0"
"1741288175-40","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Carle","FRA","0","0","1","0.00","0.00","1"
"1741288175-41","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Jouffroy","FRA","0","0","0","","","0"
"1741288175-42","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Michieletto","ITA","0","0","15","0.00","0.00","15"
"1741288175-43","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Balaso","ITA","0","1","15","0.00","0.00","16"
"1741288175-44","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Scanferla","ITA","0","0","0","","","0"
"1741288175-45","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Bottolo","ITA","0","0","0","","","0"
"1741288175-46","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Galassi","ITA","0","0","0","","","0"
"1741288175-47","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Lavia","ITA","0","0","13","0.00","0.00","13"
"1741288175-48","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Romanò","ITA","0","1","5","0.00","0.00","6"
"1741288175-49","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Gironi","ITA","0","0","1","0.00","0.00","1"
"1741288175-50","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Russo","ITA","0","0","3","0.00","0.00","3"
"1741288175-51","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Rinaldi","ITA","0","0","0","","","0"
"1741288175-52","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Sanguinetti","ITA","0","0","0","","","0"
"1741288175-53","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Mosca","ITA","0","0","0","","","0"
"1741288175-54","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Martinez Franchi","ARG","0","0","2","0.00","0.00","2"
"1741288175-55","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Gallego","ARG","0","0","0","","","0"
"1741288175-56","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Palonsky","ARG","0","0","2","0.00","0.00","2"
"1741288175-57","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Loser Bruno","ARG","0","0","0","","","0"
"1741288175-58","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Danani","ARG","0","0","4","0.00","0.00","4"
"1741288175-59","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Zelayeta","ARG","0","0","0","","","0"
"1741288175-60","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Armoa Morel","ARG","0","0","0","","","0"
"1741288175-61","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Lima B.","ARG","0","0","0","","","0"
"1741288175-62","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Kukartsev","ARG","0","0","1","0.00","0.00","1"
"1741288175-63","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Vicentin","ARG","0","0","2","0.00","0.00","2"
"1741288175-64","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Ramos","ARG","0","0","1","0.00","0.00","1"
"1741288175-65","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Zerba","ARG","0","0","0","","","0"
"1741288175-66","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Nishida","JPN","0","0","1","0.00","0.00","1"
"1741288175-67","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Onodera","JPN","0","0","2","0.00","0.00","2"
"1741288175-68","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Miyaura","JPN","0","1","2","0.00","0.00","3"
"1741288175-69","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Otsuka","JPN","0","0","2","0.00","0.00","2"
"1741288175-70","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Yamauchi","JPN","0","0","3","0.00","0.00","3"
"1741288175-71","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Kentaro","JPN","0","0","0","","","0"
"1741288175-72","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Tomita","JPN","0","0","0","","","0"
"1741288175-73","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Ogawa","JPN","0","0","0","","","0"
"1741288175-74","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Nishiyama","JPN","0","0","0","","","0"
"1741288175-75","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Yamamoto","JPN","0","0","14","0.00","0.00","14"
"1741288175-76","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Pajenk","SLO","0","0","0","","","0"
"1741288175-77","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Kozamernik","SLO","0","0","1","0.00","0.00","1"
"1741288175-78","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Kök","SLO","0","0","0","","","0"
"1741288175-79","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Toman","SLO","0","0","0","","","0"
"1741288175-80","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Štalekar","SLO","0","0","0","","","0"
"1741288175-81","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Koncilja","SLO","0","0","0","","","0"
"1741288175-82","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Kovačič","SLO","0","0","11","0.00","0.00","11"
"1741288175-83","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Z. Štern","SLO","0","0","0","","","0"
"1741288175-84","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Urnaut","SLO","0","0","4","0.00","0.00","4"
"1741288175-85","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Čebulj","SLO","0","0","3","0.00","0.00","3"
"1741288175-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Možič","SLO","0","0","2","0.00","0.00","2"
"1741288175-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Mujanović","SLO","0","0","0","","","0"
"1741288175-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Popiwczak","POL","0","0","0","","","0"
"1741288175-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Kaczmarek","POL","0","0","6","0.00","0.00","6"
"1741288175-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Kurek","POL","0","0","0","","","0"
"1741288175-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-setters/","15","Leon","POL","0","0","8","0.00","0.00","8"
