web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1741287862-1","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","1","Ishikawa","JPN","60","12","41","20.00","53.10","113"
"1741287862-2","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","2","Anderson","USA","46","9","29","15.33","54.76","84"
"1741287862-3","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","3","Kaczmarek","POL","40","7","21","13.33","58.82","68"
"1741287862-4","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","4","Śliwka","POL","37","7","18","12.33","59.68","62"
"1741287862-5","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","5","Jaeschke","USA","33","11","27","11.00","46.48","71"
"1741287862-6","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","5","Michieletto","ITA","33","8","26","11.00","49.25","67"
"1741287862-7","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","6","Ran","JPN","32","15","24","10.67","45.07","71"
"1741287862-8","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","7","Defalco","USA","31","12","20","10.33","49.21","63"
"1741287862-9","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","8","Lavia","ITA","30","8","38","10.00","39.47","76"
"1741287862-10","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","8","Leon","POL","30","8","24","10.00","48.39","62"
"1741287862-11","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","9","Romanò","ITA","28","13","36","9.33","36.36","77"
"1741287862-12","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","10","Miyaura","JPN","26","13","18","8.67","45.61","57"
"1741287862-13","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","11","Russo","ITA","17","5","8","5.67","56.67","30"
"1741287862-14","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","12","Onodera","JPN","15","0","17","5.00","46.88","32"
"1741287862-15","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","13","Yamauchi","JPN","14","2","13","4.67","48.28","29"
"1741287862-16","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","13","Bieniek","POL","14","2","8","4.67","58.33","24"
"1741287862-17","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","13","Alan","BRA","14","5","10","14.00","48.28","29"
"1741287862-18","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2022/finals-statistics/men/best-attackers/","14","Holt","USA","13","3","10","4.33","50.00","26"
