web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1742891505-1","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","1","Balaso","ITA","52","11","14","10.40","67.53","77"
"1742891505-2","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","2","Marandi","IRI","40","16","26","8.00","48.78","82"
"1742891505-3","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","3","Laurenzano","ITA","37","8","10","7.40","67.27","55"
"1742891505-4","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","4","Alexandre","BRA","34","20","7","6.80","55.74","61"
"1742891505-5","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","5","Bottolo","ITA","30","10","5","6.00","66.67","45"
"1742891505-6","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","6","M. R. Moazzen","IRI","22","8","3","7.33","66.67","33"
"1742891505-7","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","6","Matheus G.","BRA","22","14","7","4.40","51.16","43"
"1742891505-8","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","7","Sbertoli","ITA","19","9","8","3.80","52.78","36"
"1742891505-9","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","7","Rodriguinho","BRA","19","10","7","3.80","52.78","36"
"1742891505-10","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","8","Boninfante","ITA","18","9","6","3.60","54.55","33"
"1742891505-11","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","9","Abdolhamidi","IRI","17","9","8","3.40","50.00","34"
"1742891505-12","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","9","Hajipour","IRI","17","7","10","3.40","50.00","34"
"1742891505-13","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","10","Wallace","BRA","15","16","6","3.00","40.54","37"
"1742891505-14","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","10","Facu","ARG","15","5","1","5.00","71.43","21"
"1742891505-15","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","11","A. Ramezani","IRI","14","6","11","2.80","45.16","31"
"1742891505-16","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","12","Michieletto","ITA","13","4","3","2.60","65.00","20"
"1742891505-17","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","12","Esi","IRI","13","9","12","2.60","38.24","34"
"1742891505-18","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","12","Elhossiny","EGY","13","10","6","4.33","44.83","29"
"1742891505-19","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","12","Asran","EGY","13","6","4","4.33","56.52","23"
"1742891505-20","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","12","Otávio","BRA","13","1","2","2.60","81.25","16"
"1742891505-21","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","12","Vaccari","BRA","13","9","8","2.60","43.33","30"
"1742891505-22","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","12","Zalcman","ARG","13","9","7","4.33","44.83","29"
"1742891505-23","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","13","Ilshan","IRI","12","7","2","4.00","57.14","21"
"1742891505-24","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","13","A. Ghafour","IRI","12","2","2","4.00","75.00","16"
"1742891505-25","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","13","Seyed","IRI","12","5","4","2.40","57.14","21"
"1742891505-26","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","13","Chinenyeze","FRA","12","1","5","2.40","66.67","18"
"1742891505-27","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","14","Lavia","ITA","11","6","2","2.20","57.89","19"
"1742891505-28","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","14","Pedro","BRA","11","7","8","3.67","42.31","26"
"1742891505-29","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","15","Usman","PAK","10","8","1","3.33","52.63","19"
"1742891505-30","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","15","A. Salah","EGY","10","5","4","3.33","52.63","19"
"1742891505-31","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","15","Hossam","EGY","10","4","6","3.33","50.00","20"
"1742891505-32","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","16","A. Lagumdzija","TUR","9","10","5","1.80","37.50","24"
"1742891505-33","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","17","Garcia","USA","8","3","5","1.60","50.00","16"
"1742891505-34","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","17","Acquarone","ITA","8","3","4","1.60","53.33","15"
"1742891505-35","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","17","A.Khalili","IRI","8","5","2","1.60","53.33","15"
"1742891505-36","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","17","Mohammad","IRI","8","4","6","1.60","44.44","18"
"1742891505-37","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","17","A. Nikolov","BUL","8","5","7","1.60","40.00","20"
"1742891505-38","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","17","Zelayeta","ARG","8","6","1","2.67","53.33","15"
"1742891505-39","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","18","Flavio","BRA","7","1","3","1.40","63.64","11"
"1742891505-40","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","18","Gustavo","BRA","7","5","3","2.33","46.67","15"
"1742891505-41","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","18","Franco","BRA","7","0","3","2.33","70.00","10"
"1742891505-42","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","18","B. Alves","BRA","7","1","0","2.33","87.50","8"
"1742891505-43","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","18","Garcia","CUB","7","1","6","2.33","50.00","14"
"1742891505-44","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","19","Lucas Loh","BRA","6","7","4","2.00","35.29","17"
"1742891505-45","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","19","Maicon","BRA","6","5","3","2.00","42.86","14"
"1742891505-46","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","19","Lucas","BRA","6","4","2","1.20","50.00","12"
"1742891505-47","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","19","Albrecht","ARG","6","8","1","2.00","40.00","15"
"1742891505-48","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","19","Ponzio","ARG","6","3","6","2.00","40.00","15"
"1742891505-49","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","19","Gomez","ARG","6","4","3","2.00","46.15","13"
"1742891505-50","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","19","Gonzalez","ARG","6","3","4","2.00","46.15","13"
"1742891505-51","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","20","Pellacani","ITA","5","3","0","1.00","62.50","8"
"1742891505-52","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","20","Concepcion","CUB","5","1","2","1.67","62.50","8"
"1742891505-53","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","20","Dirlic P.","CRO","5","2","2","1.00","55.56","9"
"1742891505-54","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","20","Halim","EGY","5","3","2","1.67","50.00","10"
"1742891505-55","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","20","M. Ramadan","EGY","5","7","1","1.67","38.46","13"
"1742891505-56","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","20","Douglas","BRA","5","2","2","1.00","55.56","9"
"1742891505-57","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","21","Rychlicki","ITA","4","5","2","0.80","36.36","11"
"1742891505-58","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","21","Salim","IRI","4","2","1","1.33","57.14","7"
"1742891505-59","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","21","Younes","IRI","4","1","2","1.33","57.14","7"
"1742891505-60","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-diggers/","21","Gargiulo","ITA","4","3","4","0.80","36.36","11"
