Rank,Player Name,Team,Points,Attack Points,Block Points,Serve Points
1,Wallace,BRA,108,97,4,7
2,Hajipour,IRI,92,77,13,2
3,Abdolhamidi,IRI,68,58,7,3
4,A. Nikolov,BUL,65,56,4,5
5,A. Lagumdzija,TUR,64,54,3,7
6,Michieletto,ITA,54,44,2,8
6,Chinenyeze,FRA,54,41,10,3
7,Vaccari,BRA,52,45,4,3
7,Ponzio,ARG,52,48,3,1
8,Bottolo,ITA,51,43,6,2
9,A. Ghafour,IRI,49,40,5,4
9,Seyed,IRI,49,35,13,1
10,Lucas,BRA,48,34,8,6
11,Otávio,BRA,47,31,10,6
12,Mohammad,IRI,46,35,7,4
13,Rychlicki,ITA,45,38,6,1
13,Rodriguinho,BRA,45,43,0,2
14,Lavia,ITA,40,32,7,1
15,Usman,PAK,39,37,1,1
16,Asran,EGY,38,32,4,2
17,Maicon,BRA,36,34,0,2
17,Elhossiny,EGY,36,32,1,3
18,Garcia,USA,35,30,3,2
19,Flavio,BRA,31,24,7,0
20,Pietro,BRA,30,23,7,0
21,A. Salah,EGY,29,26,2,1
22,Pellacani,ITA,26,20,6,0
22,Masoud,IRI,26,22,3,1
22,Franco,BRA,26,24,1,1
23,A.Khalili,IRI,24,24,0,0
24,Magalini,ITA,23,21,2,0
24,Gargiulo,ITA,23,19,4,0
25,Concepcion,CUB,22,14,5,3
25,Dirlic P.,CRO,22,21,1,0
25,Zelayeta,ARG,22,19,0,3
26,Maciel,ARG,21,15,6,0
26,Gomez,ARG,21,18,1,2
27,Esi,IRI,20,15,4,1
27,Halim,EGY,20,17,3,0
27,Hamada,EGY,20,14,6,0
28,Lucas Loh,BRA,18,16,2,0
28,Douglas,BRA,18,17,1,0
28,Facu,ARG,18,16,0,2
29,Eliezer,BRA,15,11,3,1
30,Boninfante,ITA,14,7,7,0
30,Podraščanin,ITA,14,9,5,0
31,Bartha,ROU,13,7,6,0
31,A. Ramezani,IRI,13,8,4,1
31,Hossam,EGY,13,6,4,3
32,Bristot,ITA,12,8,1,3
32,Matheus G.,BRA,12,3,3,6
33,Salim,IRI,11,9,2,0
33,Loeppky,CAN,11,10,1,0
34,Poriya,IRI,10,7,1,2
34,Rafa,BRA,10,10,0,0
35,Z. Osama,EGY,8,8,0,0
36,Younes,IRI,7,3,2,2
36,Diaz,ARG,7,4,2,1
37,Shayan,IRI,6,6,0,0
37,Garcia,ARG,6,3,1,2
38,Sbertoli,ITA,5,0,3,2
39,Temponi,BRA,4,2,1,1
39,Soria R.,ARG,4,3,1,0
40,Acquarone,ITA,3,1,2,0
40,Ilshan,IRI,3,1,2,0
40,Mohsen,IRI,3,2,1,0
40,Eslam,EGY,3,2,0,1
40,Oppenkoski,BRA,3,2,1,0
40,Soria S.,ARG,3,3,0,0
41,Karami,IRI,2,2,0,0
41,Orduna,ITA,2,0,1,1
41,Rech,BRA,2,2,0,0
41,B. Alves,BRA,2,1,0,1
41,Abdalla,EGY,2,1,0,1
41,Seif Abed,EGY,2,2,0,0
41,Gonzalez,ARG,2,0,1,1
41,Steeman,ARG,2,1,1,0
42,Davi Tenorio,ESP,1,1,0,0
42,Khaled. A,EGY,1,0,0,1
43,Pesaresi,ITA,0,0,0,0
43,Laurenzano,ITA,0,0,0,0
43,Ali Asghar,IRI,0,0,0,0
43,Mehdi,IRI,0,0,0,0
43,Ahmadreza,IRI,0,0,0,0
43,Seyed,IRI,0,0,0,0
43,M. R. Moazzen,IRI,0,0,0,0
43,Ashkan,IRI,0,0,0,0
43,Ahmadreza,IRI,0,0,0,0
43,Marandi,IRI,0,0,0,0
43,Armin,IRI,0,0,0,0
43,Bisotto,ITA,0,0,0,0
43,Balaso,ITA,0,0,0,0
43,Arthur,BRA,0,0,0,0
43,Wallaf,BRA,0,0,0,0
43,Gustavo,BRA,0,0,0,0
43,Aladdin,BRA,0,0,0,0
43,Pedro,BRA,0,0,0,0
43,M. Ramadan,EGY,0,0,0,0
43,Garcia,CUB,0,0,0,0
43,A. Seoudy,EGY,0,0,0,0
43,Felipe,BRA,0,0,0,0
43,Velasco,COL,0,0,0,0
43,Lukinhas,BRA,0,0,0,0
43,Rodrigo,BRA,0,0,0,0
43,Alexandre,BRA,0,0,0,0
43,Martos,BRA,0,0,0,0
43,Albrecht,ARG,0,0,0,0
43,Zalcman,ARG,0,0,0,0
43,Nicolas,ARG,0,0,0,0
