web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1742891140-42","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","30","Concepcion","CUB","14","6","6","4.67","53.85","26"
"1742891140-43","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","30","Hamada","EGY","14","1","13","4.67","50.00","28"
"1742891140-44","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","31","Eliezer","BRA","11","1","3","3.67","73.33","15"
"1742891140-45","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","32","Loeppky","CAN","10","8","14","2.00","31.25","32"
"1742891140-46","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","32","Rafa","BRA","10","7","9","3.33","38.46","26"
"1742891140-47","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","33","Salim","IRI","9","5","13","3.00","33.33","27"
"1742891140-48","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","33","Podraščanin","ITA","9","4","6","1.80","47.37","19"
"1742891140-49","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","34","Bristot","ITA","8","3","8","1.60","42.11","19"
"1742891140-50","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","34","A. Ramezani","IRI","8","1","3","1.60","66.67","12"
"1742891140-51","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","34","Z. Osama","EGY","8","4","4","2.67","50.00","16"
"1742891140-52","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","35","Bartha","ROU","7","2","1","1.40","70.00","10"
"1742891140-53","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","35","Boninfante","ITA","7","2","3","1.40","58.33","12"
"1742891140-54","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","35","Poriya","IRI","7","4","10","1.40","33.33","21"
"1742891140-55","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","36","Shayan","IRI","6","1","4","2.00","54.55","11"
"1742891140-56","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","36","Hossam","EGY","6","2","1","2.00","66.67","9"
"1742891140-57","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","37","Diaz","ARG","4","4","5","1.33","30.77","13"
"1742891140-58","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","38","Younes","IRI","3","1","3","1.00","42.86","7"
"1742891140-59","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","38","Matheus G.","BRA","3","0","4","0.60","42.86","7"
"1742891140-60","https://en.volleyballworld.com/volleyball/competitions/club-world-championship-men/statistics/best-attackers/","38","Garcia","ARG","3","1","7","1.00","27.27","11"
