Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
1,Wallace,BRA,55,5,40,13.75,55.0,100
2,Kaziyski,BUL,48,6,33,12.0,55.17,87
3,Michieletto,ITA,45,4,33,11.25,54.88,82
4,Estrada,FIV,38,10,21,9.5,55.07,69
5,Amin,IRI,37,5,39,18.5,45.68,81
5,Lavia,ITA,37,4,32,9.25,50.68,73
6,Vissotto,BRA,35,7,28,8.75,50.0,70
7,Leon,POL,33,3,15,8.25,64.71,51
8,Lopez,CUB,30,5,29,7.5,46.88,64
9,Vaccari,BRA,27,3,24,6.75,50.0,54
9,Semeniuk,POL,27,7,20,6.75,50.0,54
10,Herrera,CUB,24,9,12,6.0,53.33,45
10,Rychlicki,ITA,24,2,24,6.0,48.0,50
11,Lisinac,SRB,23,2,16,5.75,56.1,41
12,Matheus,BRA,21,1,4,5.25,80.77,26
12,P. Fayazi,IRI,21,2,19,10.5,50.0,42
13,Otávio,BRA,20,1,13,5.0,58.82,34
13,Podraščanin,ITA,20,1,9,5.0,66.67,30
14,Plotnytskyi,UKR,19,3,22,4.75,43.18,44
15,Lucas,BRA,18,0,9,4.5,66.67,27
16,Juninho,BRA,17,1,9,4.25,62.96,27
17,Flavio,BRA,16,0,6,4.0,72.73,22
18,Arthur,BRA,15,5,8,3.75,53.57,28
18,Adriano,BRA,15,1,19,7.5,42.86,35
19,Russo,ITA,14,0,4,3.5,77.78,18
20,Sole,ITA,13,1,4,3.25,72.22,18
21,Nicolas,ARG,12,3,13,6.0,42.86,28
22,A. Tashakori,IRI,11,1,5,5.5,64.71,17
22,Lucas Borges,BRA,11,1,14,5.5,42.31,26
23,Paulo,BRA,10,1,14,2.5,40.0,25
23,Honorato,BRA,10,5,25,2.5,25.0,40
23,Giannelli,ITA,10,1,0,2.5,90.91,11
24,A. Afshinfar,IRI,9,2,9,4.5,45.0,20
24,Mashhadi,IRI,9,1,2,4.5,75.0,12
24,Oppenkoski,BRA,9,5,9,2.25,39.13,23
24,Barreto,BRA,9,1,3,4.5,69.23,13
25,Rodriguinho,BRA,8,1,17,2.0,30.77,26
25,Roque,BRA,8,0,12,4.0,40.0,20
26,Kelvi,BRA,6,3,10,1.5,31.58,19
27,Amir Reza,IRI,5,1,2,2.5,62.5,8
27,Lucas,BRA,5,0,5,2.5,50.0,10
28,Marcus,BRA,4,5,3,1.0,33.33,12
28,Franck,BRA,4,1,3,2.0,50.0,8
28,Dzavoronok,CZE,4,1,2,1.0,57.14,7
29,André S.,BRA,3,0,8,0.75,27.27,11
29,Fallah,IRI,3,0,3,1.5,50.0,6
29,H. Zarini,IRI,3,2,4,1.5,33.33,9
30,Vadi,IRI,2,2,1,1.0,40.0,5
30,Sbertoli,ITA,2,0,2,0.5,50.0,4
31,Resley,BRA,1,0,1,0.25,50.0,2
31,William,BRA,1,0,3,0.25,25.0,4
31,Reza,IRI,1,0,0,0.5,100.0,1
31,C. Souza,BRA,1,1,1,0.25,33.33,3
31,Carlos,BRA,1,0,0,0.25,100.0,1
31,Gonzalez,ARG,1,0,0,0.5,100.0,1
32,Henrique,BRA,0,0,0,,,0
32,Maique,BRA,0,0,0,,,0
32,Saberi,IRI,0,0,0,,,0
32,Hazrat,IRI,0,0,0,,,0
32,A. Shafiei,IRI,0,0,0,,,0
32,R. Aslani,IRI,0,0,0,,,0
32,Guilherme,BRA,0,0,0,,,0
32,Lukinha,BRA,0,0,0,,,0
32,Uriarte,ARG,0,0,1,0.0,0.0,1
32,Bauer,BRA,0,0,0,,,0
32,Rodrigo,BRA,0,0,0,,,0
32,Bryan,BRA,0,0,0,,,0
32,Samuel,BRA,0,0,0,,,0
32,Everaldo,BRA,0,0,0,,,0
32,Lima,BRA,0,0,0,,,0
32,Brito,BRA,0,0,0,,,0
32,Alexandre,BRA,0,0,0,,,0
32,Nelli,ITA,0,0,2,0.0,0.0,2
32,D'heer,BEL,0,0,0,,,0
32,Cavuto,ITA,0,0,0,,,0
32,Pace,ITA,0,0,0,,,0
32,Berger,ITA,0,0,0,,,0
32,Depalma,ITA,0,0,0,,,0
32,Laurenzano,ITA,0,0,0,,,0
32,Piccinelli,ITA,0,0,0,,,0
32,Colaci,ITA,0,0,0,,,0
32,Ropret,SLO,0,0,0,,,0
32,Cardenas,CUB,0,0,0,,,0
32,Mengozzi,ITA,0,0,0,,,0
